#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	BRA.53_ERR1713336_db4.metaphlan	AUS.18_ERR1713332_db4.metaphlan	AUS.18a_ERR1713333_db4.metaphlan	BWA.19_ERR1713338_db4.metaphlan	CAN.22a_ERR1713340_db4.metaphlan	CAN.22_ERR1713339_db4.metaphlan	CHE.67_ERR1713343_db4.metaphlan	CAN.22b_ERR1713341_db4.metaphlan	DEU.27_ERR1713348_db4.metaphlan	ESP.75_ERR1713354_db4.metaphlan	FIN.25_ERR1713356_db4.metaphlan	ECU.14a_ERR1713353_db4.metaphlan	HRV.68_ERR1713360_db4.metaphlan	ISR.29_ERR1713366_db4.metaphlan	IRN.12_ERR1713364_db4.metaphlan	ISL.28_ERR1713365_db4.metaphlan	HUN.61_ERR1713361_db4.metaphlan	LVA.31_ERR1713373_db4.metaphlan	NLD.43_ERR1713379_db4.metaphlan	MKD.62_ERR1713375_db4.metaphlan	MLT.63_ERR1713376_db4.metaphlan	MYS.54_ERR1713377_db4.metaphlan	SGP.52_ERR1713387_db4.metaphlan	POL.36_ERR1713383_db4.metaphlan	TCD.1_ERR1713393_db4.metaphlan	USA.74g_ERR1713404_db4.metaphlan	USA.74f_ERR1713403_db4.metaphlan	AUT.70_ERR1713334_db4.metaphlan	COL.2_ERR1713346_db4.metaphlan	CIV.13_ERR1713345_db4.metaphlan	BGR.66_ERR1713335_db4.metaphlan	CZE.23_ERR1713347_db4.metaphlan	ALB.17_ERR1713331_db4.metaphlan	BRA.53a_ERR1713337_db4.metaphlan	CAN.22c_ERR1713342_db4.metaphlan	DNK.71_RA_ERR1713349_db4.metaphlan	CHN.64_ERR1713344_db4.metaphlan	DNK.71_RL_ERR1713351_db4.metaphlan	GEO.59_ERR1713357_db4.metaphlan	DNK.71_RD_ERR1713350_db4.metaphlan	IRL.69_ERR1713363_db4.metaphlan	ETH.24_ERR1713355_db4.metaphlan	IND.11_ERR1713362_db4.metaphlan	KEN.72_ERR1713369_db4.metaphlan	NOR.34_ERR1713380_db4.metaphlan	GHA.4_ERR1713358_db4.metaphlan	NGA.50_ERR1713378_db4.metaphlan	MDA.65_ERR1713374_db4.metaphlan	KAZ.6_ERR1713368_db4.metaphlan	KHM.21_ERR1713370_db4.metaphlan	ITA.30_ERR1713367_db4.metaphlan	LKA.40_ERR1713371_db4.metaphlan	NPL.33_ERR1713381_db4.metaphlan	LUX.32_ERR1713372_db4.metaphlan	SVN.38_ERR1713390_db4.metaphlan	SEN.8_ERR1713386_db4.metaphlan	USA.74b_ERR1713399_db4.metaphlan	PER.35_ERR1713385_db4.metaphlan	PAK.7_ERR1713384_db4.metaphlan	SRB.37_ERR1713388_db4.metaphlan	SVK.9_ERR1713389_db4.metaphlan	USA.74a_ERR1713398_db4.metaphlan	TUR.46_ERR1713395_db4.metaphlan	SWE.41_ERR1713391_db4.metaphlan	USA.74c_ERR1713400_db4.metaphlan	SWE.41a_ERR1713392_db4.metaphlan	USA.74_ERR1713397_db4.metaphlan	USA.74e_ERR1713402_db4.metaphlan	XK.60_ERR1713408_db4.metaphlan	USA.74d_ERR1713401_db4.metaphlan	ZAF.39_ERR1713409_db4.metaphlan	USA.74i_ERR1713406_db4.metaphlan	ZMB.49b_ERR1713411_db4.metaphlan	ZMB.49_ERR1713410_db4.metaphlan	ECU.14_ERR1713352_db4.metaphlan	TZA.15_ERR1713396_db4.metaphlan	NZL.56_ERR1713382_db4.metaphlan	USA.74h_ERR1713405_db4.metaphlan	TGO.44_ERR1713394_db4.metaphlan	VNM.48_ERR1713407_db4.metaphlan
k__Bacteria	99.54013	99.92528	99.72924	97.82968	98.68798	100.0	99.7891	99.88079	99.7615	99.86972	99.81872	97.35487	99.71171	97.25401	99.81518	99.96176	95.20896	99.46242	97.89275	99.73038	99.96879	99.75482	98.54577	98.68193	100.0	99.83245	97.00569	99.84149	98.30152	98.31693	99.94678	99.82902	99.21938	98.97035	98.75999	99.46538	99.5637	99.73322	99.97445	99.56107	99.94009	99.38091	99.36852	98.62358	99.95306	95.16659	93.5572	99.69984	99.93138	97.20919	99.85786	99.96217	98.17767	99.94294	97.64885	99.29112	99.49125	99.54781	99.58719	99.59214	99.83017	98.94645	99.99128	99.36293	99.6129	99.80106	95.84974	99.64749	99.57706	99.37734	98.84275	99.50654	99.53737	98.30096	99.98768	99.80639	99.9837	99.64289	99.869	99.98617
k__Archaea	0.45987	0.07472	0.27076	2.17032	1.31202	0.0	0.2109	0.11921	0.2385	0.13028	0.18128	2.64513	0.28829	2.74599	0.18482	0.03824	4.79104	0.53758	2.10725	0.26962	0.03121	0.24518	1.45423	1.31807	0.0	0.16755	2.99431	0.15851	1.69848	1.68307	0.05322	0.17098	0.78062	1.02965	1.24001	0.53462	0.4363	0.26678	0.02555	0.43893	0.05991	0.61909	0.63148	1.376	0.04694	4.83341	6.4428	0.27666	0.06862	2.79081	0.14214	0.03783	1.81253	0.05706	2.33651	0.70888	0.50875	0.45219	0.41281	0.40786	0.16983	1.05355	0.00872	0.63707	0.3871	0.19894	4.15026	0.35251	0.41499	0.61477	1.15725	0.49346	0.46263	1.61959	0.01232	0.19361	0.0163	0.35686	0.131	0.01383
k__Bacteria|p__Pseudomonadota	71.06712	73.5788	35.47513	50.35551	28.02075	39.69159	46.49894	28.51432	47.52549	37.8645	39.67989	19.23337	55.94599	25.70533	41.18818	69.61625	24.16368	32.63911	16.38252	41.56245	63.58802	38.34014	50.30722	23.1678	92.757	28.3133	40.8572	36.86664	9.85318	51.97544	65.07632	41.08107	61.09849	27.54633	36.92416	38.42141	42.08477	37.34832	77.69476	37.17998	62.23253	48.20835	16.46688	49.93691	49.70173	28.08803	37.39285	60.79881	50.73166	61.39052	60.18509	92.7349	5.3136	63.66812	15.85268	87.82734	26.80173	37.82527	25.60994	46.81348	50.78495	29.54599	63.67046	41.20655	34.48641	49.67892	46.5854	46.01632	48.15826	24.47347	34.20759	61.31837	39.34795	31.7125	49.90317	38.01625	63.82062	42.55983	18.70589	82.70527
k__Bacteria|p__Firmicutes	19.95002	6.11836	49.61274	29.03383	19.62933	28.05225	28.59886	36.00298	31.45314	24.46041	34.75229	41.50185	14.4297	50.94923	13.67033	7.80268	19.405	37.02713	5.82386	25.95162	9.56666	42.58614	17.32838	38.55395	6.03027	31.98861	34.66189	45.0754	56.57327	27.62776	10.50826	11.05711	18.0589	21.89436	27.2951	27.60409	7.63569	35.13081	1.06813	31.85935	19.64666	26.2709	41.74855	32.23924	15.69749	2.64696	37.65081	17.90941	13.82913	17.85375	4.67507	5.63156	69.76572	22.51139	49.75084	7.55056	16.71925	36.39056	45.10591	36.2679	19.01748	45.38396	0.79112	36.97483	41.31789	27.52618	20.94997	36.43682	37.92369	53.04177	40.00046	20.93963	28.80461	47.02528	0.71335	28.49016	3.49112	21.70132	5.36776	0.86848
k__Bacteria|p__Bacteroidota	5.54007	15.97864	2.44152	2.51396	5.30516	6.30804	9.28858	6.19723	3.07387	5.14837	6.91132	13.42552	6.57937	2.54206	33.79902	19.69114	12.2844	13.34344	22.38818	9.86226	12.74036	10.25574	16.8029	7.55392	0.90113	8.11206	2.71415	9.45662	3.57636	11.78424	14.21015	6.58295	7.10504	24.49517	6.19207	9.34967	33.21492	10.81798	20.82541	7.74586	12.24636	1.41333	22.72668	7.34401	25.53056	46.79377	4.28254	6.32744	20.2828	1.02378	20.35376	0.79459	3.1989	8.85995	8.41507	0.67353	18.10556	12.01716	14.43632	7.44716	16.96653	7.19195	29.71522	8.37516	5.66986	15.70901	6.45144	5.96378	5.57068	4.54754	3.06162	4.93813	9.41076	6.42955	47.29758	24.59452	30.78361	11.01678	51.42842	15.92109
k__Bacteria|p__Fusobacteriota	0.94941	2.64682	10.13508	2.05502	20.05178	21.71687	6.14385	24.99594	11.90586	26.01864	11.65791	0.64314	14.68707	6.88462	5.23768	1.60632	2.12272	7.37932	1.6685	11.33239	1.81794	0.65933	0.33149	6.51931	0.25316	5.60246	4.47362	3.11881	1.31606	0.28409	1.85819	33.37687	7.93177	0.4955	18.24514	11.08638	1.29819	4.25023	0.23668	11.27699	1.54867	19.74124	0.21228	2.82308	2.2422	0.1657	0.33511	8.33016	6.60545	0.27037	2.67354	0.07802	0.60474	0.88771	2.41281	0.20504	4.75728	4.5106	1.1277	4.05348	2.93902	3.44663	0.54815	3.63658	6.51375	1.48956	12.7014	5.54841	3.43596	10.79395	15.30625	2.12523	5.98069	2.17254	1.80489	0.27775	1.42003	11.21441	0.05007	0.06562
k__Bacteria|p__Actinomycetota	0.91666	0.45865	0.96187	5.27176	0.42684	1.04677	1.48214	0.7267	1.95622	0.68222	2.09594	4.71986	1.54765	3.4669	0.48156	0.46218	2.83614	1.38891	3.10036	1.24928	0.5012	5.25907	1.5089	7.42166	0.0	1.21818	2.81313	2.40443	5.83808	2.32332	0.46056	2.27727	2.31565	1.35672	4.37772	1.56711	1.58692	4.17705	0.01624	2.39443	2.54495	2.5066	8.71502	2.67646	0.57567	3.08492	5.02359	0.82207	0.52389	2.91333	2.15045	0.30392	13.50121	1.4032	1.69287	1.69976	5.51536	1.20581	3.41968	1.76237	1.87382	6.03038	0.47476	3.02673	2.1444	1.40734	4.72135	1.93511	1.64648	3.03374	3.73275	3.91591	1.29443	2.94554	0.1082	3.13669	0.23638	2.03935	0.02104	0.02235
k__Bacteria|p__Campylobacterota	0.65417	0.75545	0.29618	0.84189	1.1995	1.34049	5.07186	0.724	1.45379	4.40845	3.17801	8.30929	5.74993	2.18111	4.77169	0.49287	9.00658	5.04019	9.55371	8.65228	9.74347	1.3425	0.32691	4.13362	0.0559	23.50677	1.60531	1.59608	3.25737	0.6727	7.46286	3.21368	1.83311	12.55627	1.45468	9.67262	5.0013	5.95967	0.07872	7.70611	0.9008	0.71101	4.9376	1.2217	5.82657	0.47873	0.97233	4.94166	7.46151	0.29748	7.81749	0.08355	4.79034	1.81895	1.92663	0.65853	2.584	5.45751	2.9117	1.84567	6.21714	0.28336	4.69549	2.51061	6.8924	3.16759	2.26638	1.64498	1.4503	2.08807	0.84211	2.87799	10.50838	4.37377	0.13014	2.25943	0.1568	7.99821	1.41002	0.12014
k__Archaea|p__Methanobacteriota	0.45987	0.07472	0.27076	2.17032	1.31202	0.0	0.2109	0.11921	0.2385	0.13028	0.18128	2.64513	0.28829	2.74599	0.18482	0.03824	4.66779	0.53758	2.10725	0.26962	0.03121	0.24518	1.45423	1.31807	0.0	0.16755	2.99431	0.15851	1.69848	1.68307	0.05322	0.17098	0.78062	1.00928	1.24001	0.53462	0.4363	0.26678	0.02555	0.43893	0.05991	0.61909	0.63148	1.376	0.04694	4.83341	6.38245	0.27666	0.06862	2.79081	0.14214	0.03783	1.81253	0.05015	2.31428	0.70888	0.50875	0.44611	0.41281	0.40786	0.16983	1.05355	0.00872	0.63707	0.3871	0.19894	4.15026	0.35251	0.41499	0.61477	1.15725	0.49346	0.46263	1.61959	0.01232	0.19361	0.0163	0.34888	0.131	0.01383
k__Bacteria|p__Verrucomicrobiota	0.33145	0.22529	0.4496	1.34178	0.73144	1.05629	0.83228	0.72532	1.48961	0.66983	0.84365	7.56433	0.36556	5.09909	0.36128	0.07081	0.79787	1.05155	1.47515	0.73808	0.3253	0.41869	0.49468	1.05693	0.0	0.28212	0.67554	0.8361	6.23976	0.16426	0.19704	0.31342	0.24242	0.99567	0.94405	0.48824	0.11839	0.6695	0.02364	0.75135	0.62874	0.17901	0.42871	0.47179	0.26935	0.07444	2.16757	0.36165	0.21378	0.32013	0.18773	0.12947	0.06945	0.45023	0.98137	0.10492	0.6877	0.38582	0.16788	0.8367	0.76526	1.03387	0.01658	1.36217	1.15665	0.5732	0.84523	1.11731	0.13117	0.77854	1.24254	1.01304	0.52914	0.7415	0.02363	0.16017	0.04556	0.84285	0.01838	0.00684
