genus	sum_abundance	ALB.17	AUS.18	AUS.18a	AUT.70	BGR.66	BRA.53	BRA.53a	BWA.19	CAN.22	CAN.22a	CAN.22b	CAN.22c	CHE.67	CHN.64	CIV.13	COL.2	CZE.23	DEU.27	DNK.71_RA	DNK.71_RD	DNK.71_RL	ECU.14	ECU.14a	ESP.75	ETH.24	FIN.25	GEO.59	GHA.4	HRV.68	HUN.61	IND.11	IRL.69	IRN.12	ISL.28	ISR.29	ITA.30	KAZ.6	KEN.72	KHM.21	LKA.40	LUX.32	LVA.31	MDA.65	MKD.62	MLT.63	MYS.54	NGA.50	NLD.43	NOR.34	NPL.33	NZL.56	PAK.7	PER.35	POL.36	SEN.8	SGP.52	SRB.37	SVK.9	SVN.38	SWE.41	SWE.41a	TCD.1	TGO.44	TUR.46	TZA.15	USA.74	USA.74a	USA.74b	USA.74c	USA.74d	USA.74e	USA.74f	USA.74g	USA.74h	USA.74i	VNM.48	XK.60	ZAF.39	ZMB.49	ZMB.49b
Abiotrophia	2.0325916837435165e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0325916837435165e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Abyssicoccus	7.154847103476027e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.660302764336256e-05	0.0	0.0	2.4945443391397704e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetivibrio	0.0016398702296738861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013663759474109226	0.0	0.0	0.0	0.0	0.0	0.00010506065501816381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.155880054281137e-05	0.0	0.0	0.0	0.0	0.0013666131793718186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetoanaerobium	0.26209366780228993	0.0014610566077006338	0.0017002571803738918	0.004745216364624524	0.00034499938392967155	0.0005611043801210673	0.0026931657260508895	0.0011566147711881173	0.008417338839858773	0.002708095781071836	0.0012651821862348178	0.001962115860482085	0.0003007610702590727	0.0010131425988116765	0.0004765436677174115	0.002563725730335244	0.0020986696066168653	0.0016914765457924374	0.007205049096680412	0.0007781813400825021	0.0004719578384331	0.0011096059126143628	0.00015023783497796346	0.0019337372695629753	0.0034270846932875766	0.0019839237036243028	0.001553361240355304	5.336829081659498e-05	0.0020238763112969097	0.005392793774536513	0.0041597644027240935	0.0004247133443896921	9.72666123540348e-05	0.003948894966562836	0.00010029513816500467	0.0034480601729503196	0.001344269427773199	0.0008985233020002131	0.004989479662618509	0.008324440848625271	1.8636030657837948e-05	0.0003757097844220608	0.003133315394504739	0.0008690161397707698	0.0018959868508141022	0.00017053629012253808	0.0021450430227378994	0.0009358466095824798	0.002308591910815449	0.00013288105101610196	0.00033681279069521126	7.756396409253846e-05	0.00848087949861467	0.0035200792341194536	0.0024523044421796364	0.00022371825132636578	0.0018564855920574703	0.0023973514628115172	0.0010531289223882163	0.0089353329531757	0.0011156061481717176	0.0002889572744310185	3.325193536655063e-05	0.00409175781547503	0.0008835364448083216	0.0008398477674870227	0.0003255591380135401	0.00022976559097875329	0.0013109646958658655	0.03861392541119269	0.0019197619229504549	0.013193193731351308	0.01633166996552461	0.02223695172864567	0.008104986404799891	0.0023573688169188567	3.351910806047793e-05	0.0017206610988506766	0.010953098155562451	0.004583232379009765	0.0026284805873197743
Acetobacter	0.0008688241583580259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020003592481915118	0.0	0.0	0.0	3.369106118625405e-05	9.894294306773585e-06	0.0	0.0	0.0	0.0	8.113359623777e-05	0.0	0.0	0.00017795633735695628	0.0	0.0	0.00015849058949176314	0.0	0.0	0.0	0.0	0.0	0.0	1.7437023284238425e-05	0.0	2.386108598246541e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9510270200860336e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3636629284986072e-05	0.0	0.0	0.0	0.0	0.00011317734620680735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacterium	0.010912543642172853	2.988056531968856e-05	1.8122896302434894e-05	0.00020615078993234506	2.785709311233373e-05	2.375643544867422e-05	3.537219477150172e-05	0.00010653030787258975	0.0001368882965672031	0.0003398824664503114	0.0	0.00014893497826779057	0.00024044802141032817	0.0001089834668044433	2.41053217133321e-05	4.3545235334781214e-05	0.00021011415378378512	0.00010622799562947676	0.0004301521848764425	0.00019721596791953588	0.00011378438452789623	0.00025758708685690566	0.0	0.0	0.000268882381831633	4.145512216528394e-05	0.00038505856098948384	0.0	0.00010858352787882079	0.0001886080724254998	0.0	1.2430634469942208e-05	1.1097532953144911e-05	2.1506840967664464e-05	0.0	0.0	4.288562559601273e-05	4.121666522936757e-05	0.0002100746138529677	0.000400497799950005	0.0	2.817823383165456e-05	0.00015546984781893744	2.2326501614664047e-05	7.721837356042889e-05	1.627846405715136e-05	6.869455961247404e-05	3.500213697257306e-05	0.00018225725611700915	1.606254462832002e-05	0.0006100759982403827	8.53203605017923e-06	5.2351108016139945e-05	0.0	0.00026917800462986167	3.880482489069693e-06	0.00029887018344520967	9.63302710606599e-05	8.1132288582778e-05	0.00043692535765411564	0.0002941615745761281	3.646148573262063e-05	0.0	0.00010210563581263114	0.0	1.032967842363718e-05	0.00031771433950718975	2.2856262976944047e-05	0.0002612254375526079	0.000477125085419372	0.0002806572361406807	0.00022257466197145239	0.0004135188127828422	0.0003268109237702013	0.0006763892946225927	0.00020324528802760818	0.0	4.996869352722924e-05	7.114367237582023e-05	0.0001250894502262316	2.4565239133829667e-05
Acetobacteroides	0.0001203335079827659	0.0	0.0	0.0	0.0	0.0	0.0	3.652467698488791e-05	3.874197072656692e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7610065499084796e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7456794772226275e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acholeplasma	0.00420221140634076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7554200905057644e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004184657205435702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter	0.03207180366133379	0.00015867610549075996	0.00014827824247446732	0.00025487734027999025	0.0002646423845671704	0.00016403253047894104	0.00026346186450497834	0.0008826796938014579	0.0008884825286626013	0.0007126567844925884	0.00018074031231925968	0.0002801070692192391	0.0008958498189000186	0.0004036424696460863	0.0002725755609122937	0.0003606089801161569	0.00012359656104928536	0.00017276641047431383	0.0012607908867068142	0.00025802422469472613	0.00019244402426674622	0.00021482971616405898	0.00018817164048734957	0.00019605947316402389	0.000379232954722072	0.0002759726704146045	0.00014585551552631962	0.0	0.00024129672861960175	0.00018162258826159242	0.00020860175470887785	0.00033977067551175367	0.00015014309289548995	0.0001863926217197587	0.000141990869761692	0.0006880482884798824	0.00023236211686566895	0.000265054862551933	0.0003329641112847433	0.0006209059851573903	2.2641906406719005e-05	0.0005404440745148105	0.00048135856728555624	4.6942900830832094e-05	0.00038609186780214446	0.0001116237535347522	0.0002681303778422374	0.0005287164900593931	0.0003493264075576009	0.00013434128234594925	7.908392569782738e-05	4.498709917367231e-05	0.0003200331886269687	0.0002217372745902018	0.0002673216045979316	0.000152857266743354	0.00037304234576007923	0.00018539033298466622	0.0003436191045858833	0.00017309502986936212	0.0002759794021961467	0.00017592666865989457	0.0	0.00011214881310567682	0.005610609285509452	0.00014641196374372696	0.0008080142461540876	0.00014676126753616702	0.0004498882535628247	0.0002988585699879583	0.00020094393830190748	0.00023977850057794146	0.0008874392499047513	0.0003682376605861423	0.0006575133143075436	0.00036777718785948146	0.0012737261062981614	5.952792185417745e-05	0.00036934161829149225	0.001155105283620607	0.00030882014911100156
Acidaminococcus	0.023114668331376258	5.3578944711165695e-05	6.754897712725733e-05	0.00012743867013999513	0.000256070971301837	0.00019118274242028302	0.0001268520088357303	0.0003895965545054711	0.0001368882965672031	0.0	0.0	0.00022955115916503498	0.00010454261800449051	0.0002381490570911909	0.00012794363063230112	0.00019323198179809162	0.0007539390224006407	0.00021712535370420523	0.00020024325847696462	0.00018324650352523542	0.00021965333361037359	0.00021587257886388452	1.0980838436927562e-05	0.0006821795367624941	0.00040099222261596134	0.0003618439948998355	0.0001618996222342148	0.0	0.0	0.0001466951674420554	0.0004172035094177557	0.0006619312855244226	6.136282927033068e-05	0.0002306011281532912	5.296484824444066e-05	0.00042221144974901876	0.00020195230962485994	3.233922964150379e-05	0.0003321337768426367	0.00037093084827584356	6.21781583630668e-05	0.00028322737594893815	0.00011660238586420306	8.873353205828018e-05	0.0002523386135992587	0.0001589088157960014	0.0018835605055033207	0.0013116590276037905	0.0	0.00014894359564442198	8.402667105394159e-05	2.4432648689149616e-05	0.002342959022911018	0.0003307581012637177	0.0001355172023308959	1.8558829295550705e-05	0.0005977403668904193	0.00014267785430682644	0.0005170194860667225	0.00012982127240202158	0.0002201341584576323	0.0001832189658064187	0.0	0.0	0.0	0.00011048264748759765	0.0003543233992034915	0.0003211906428865295	0.000604688512853259	0.0009332776396115188	0.0005480289226415658	0.0003365500927394425	0.00018585115181251336	0.0007594901749589185	0.0003838115997393317	0.000194949561985665	1.0844417313684038e-05	0.00025331955066412737	0.0001801297236749491	0.00015889740974683474	0.0001649380341842849
