	ALB.17_ERR1713331_db11.ganon_report.tre	AUS.18_ERR1713332_db11.ganon_report.tre	AUS.18a_ERR1713333_db11.ganon_report.tre	AUT.70_ERR1713334_db11.ganon_report.tre	BGR.66_ERR1713335_db11.ganon_report.tre	BRA.53_ERR1713336_db11.ganon_report.tre	BRA.53a_ERR1713337_db11.ganon_report.tre	BWA.19_ERR1713338_db11.ganon_report.tre	CAN.22_ERR1713339_db11.ganon_report.tre	CAN.22a_ERR1713340_db11.ganon_report.tre	CAN.22b_ERR1713341_db11.ganon_report.tre	CAN.22c_ERR1713342_db11.ganon_report.tre	CHE.67_ERR1713343_db11.ganon_report.tre	CHN.64_ERR1713344_db11.ganon_report.tre	CIV.13_ERR1713345_db11.ganon_report.tre	COL.2_ERR1713346_db11.ganon_report.tre	CZE.23_ERR1713347_db11.ganon_report.tre	DEU.27_ERR1713348_db11.ganon_report.tre	DNK.71_RA_ERR1713349_db11.ganon_report.tre	DNK.71_RD_ERR1713350_db11.ganon_report.tre	DNK.71_RL_ERR1713351_db11.ganon_report.tre	ECU.14_ERR1713352_db11.ganon_report.tre	ECU.14a_ERR1713353_db11.ganon_report.tre	ESP.75_ERR1713354_db11.ganon_report.tre	ETH.24_ERR1713355_db11.ganon_report.tre	FIN.25_ERR1713356_db11.ganon_report.tre	GEO.59_ERR1713357_db11.ganon_report.tre	GHA.4_ERR1713358_db11.ganon_report.tre	HRV.68_ERR1713360_db11.ganon_report.tre	HUN.61_ERR1713361_db11.ganon_report.tre	IND.11_ERR1713362_db11.ganon_report.tre	IRL.69_ERR1713363_db11.ganon_report.tre	IRN.12_ERR1713364_db11.ganon_report.tre	ISL.28_ERR1713365_db11.ganon_report.tre	ISR.29_ERR1713366_db11.ganon_report.tre	ITA.30_ERR1713367_db11.ganon_report.tre	KAZ.6_ERR1713368_db11.ganon_report.tre	KEN.72_ERR1713369_db11.ganon_report.tre	KHM.21_ERR1713370_db11.ganon_report.tre	LKA.40_ERR1713371_db11.ganon_report.tre	LUX.32_ERR1713372_db11.ganon_report.tre	LVA.31_ERR1713373_db11.ganon_report.tre	MDA.65_ERR1713374_db11.ganon_report.tre	MKD.62_ERR1713375_db11.ganon_report.tre	MLT.63_ERR1713376_db11.ganon_report.tre	MYS.54_ERR1713377_db11.ganon_report.tre	NGA.50_ERR1713378_db11.ganon_report.tre	NLD.43_ERR1713379_db11.ganon_report.tre	NOR.34_ERR1713380_db11.ganon_report.tre	NPL.33_ERR1713381_db11.ganon_report.tre	NZL.56_ERR1713382_db11.ganon_report.tre	PAK.7_ERR1713384_db11.ganon_report.tre	PER.35_ERR1713385_db11.ganon_report.tre	POL.36_ERR1713383_db11.ganon_report.tre	SEN.8_ERR1713386_db11.ganon_report.tre	SGP.52_ERR1713387_db11.ganon_report.tre	SRB.37_ERR1713388_db11.ganon_report.tre	SVK.9_ERR1713389_db11.ganon_report.tre	SVN.38_ERR1713390_db11.ganon_report.tre	SWE.41_ERR1713391_db11.ganon_report.tre	SWE.41a_ERR1713392_db11.ganon_report.tre	TCD.1_ERR1713393_db11.ganon_report.tre	TGO.44_ERR1713394_db11.ganon_report.tre	TUR.46_ERR1713395_db11.ganon_report.tre	TZA.15_ERR1713396_db11.ganon_report.tre	USA.74_ERR1713397_db11.ganon_report.tre	USA.74a_ERR1713398_db11.ganon_report.tre	USA.74b_ERR1713399_db11.ganon_report.tre	USA.74c_ERR1713400_db11.ganon_report.tre	USA.74d_ERR1713401_db11.ganon_report.tre	USA.74e_ERR1713402_db11.ganon_report.tre	USA.74f_ERR1713403_db11.ganon_report.tre	USA.74g_ERR1713404_db11.ganon_report.tre	USA.74h_ERR1713405_db11.ganon_report.tre	USA.74i_ERR1713406_db11.ganon_report.tre	VNM.48_ERR1713407_db11.ganon_report.tre	XK.60_ERR1713408_db11.ganon_report.tre	ZAF.39_ERR1713409_db11.ganon_report.tre	ZMB.49_ERR1713410_db11.ganon_report.tre	ZMB.49b_ERR1713411_db11.ganon_report.tre
root	283	49	109	382	151	172	390	337	14	15	216	128	45	138	284	899	96	88	402	728	360	45	280	109	497	270	34	22	50	22	781	164	200	41	38	87	450	393	575	307	253	194	236	165	344	188	241	9	65	1313	106	933	1487	159	647	195	236	177	376	414	169	89	67	22	528	270	86	51	426	399	337	64	65	305	155	646	281	418	576	525
Cellvibrio	60	8	1	12	9	63	15	29	0	2	16	20	10	132	16	3	7	8	148	57	24	60	74	28	67	7	2	8	11	7	12	23	16	11	7	57	12	432	1	6	157	10	9	29	7	17	46	3	15	68	3	68	158	8	7	29	25	28	42	18	35	0	3	0	141	33	5	7	76	9	32	3	17	144	13	1	78	157	315	86
Flavihumibacter	1	1	0	6	3	2	13	1	0	0	4	5	0	30	6	0	9	5	3	6	3	5	2	0	1	3	0	2	3	1	11	6	2	1	0	10	3	3	2	0	10	3	2	1	0	3	3	1	8	1	4	5	2	5	1	13	5	2	1	4	8	0	2	2	1	8	4	5	3	4	1	0	0	5	3	0	1	10	0	1
Ferruginibacter	1	0	0	0	0	0	1	0	0	0	0	1	0	105	1	0	4	3	5	3	2	1	0	4	0	4	1	0	0	1	3	1	0	2	0	47	1	0	0	0	2	0	0	0	0	0	1	2	39	0	7	1	2	0	0	2	2	1	2	22	5	0	0	0	1	22	18	43	0	1	0	0	1	1	6	0	1	0	2	1
Fimbriimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Caldinitratiruptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saprospira	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrosarchaeum	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Methanomethylovorans	23	31	5	12	28	10	35	0	19	3	16	145	16	285	178	3	45	55	162	238	69	8	3	40	20	128	6	201	43	8	26	7	1	33	0	36	76	254	14	1	30	43	70	46	4	19	21	13	12	258	98	54	4	21	8	6	29	158	57	106	56	0	6022	3	28	90	13	18	14	47	9	2	7	135	15	6	27	5	32	59
Weeksella	30	68	9	26	38	109	76	69	8	5	38	34	10	14	235	3	28	11	37	57	31	118	95	23	49	37	34	5	20	3	50	79	550	226	12	113	381	124	6	5	25	49	62	23	208	36	11	8	16	22	22	88	112	61	45	60	67	23	31	135	28	1	5	62	151	48	8	22	185	60	145	32	29	83	64	53	114	67	295	532
Capnocytophaga	26	9	2	25	13	10	1	1	3	6	52	22	16	39	11	2	9	12	32	33	39	26	16	8	19	23	11	2	10	2	12	18	29	34	0	49	65	34	1	12	68	15	53	56	15	8	61	7	22	40	9	39	152	13	15	16	73	37	37	61	22	0	7	9	34	20	14	9	23	33	8	6	3	44	17	27	110	17	28	7
