taxonomy_id	name	rank	AUS.18a_ERR1713333_db2.bracken	AUS.18_ERR1713332_db2.bracken	BRA.53_ERR1713336_db2.bracken	BWA.19_ERR1713338_db2.bracken	AUT.70_ERR1713334_db2.bracken	CAN.22a_ERR1713340_db2.bracken	CAN.22_ERR1713339_db2.bracken	CAN.22b_ERR1713341_db2.bracken	ALB.17_ERR1713331_db2.bracken	CHE.67_ERR1713343_db2.bracken	BRA.53a_ERR1713337_db2.bracken	BGR.66_ERR1713335_db2.bracken	COL.2_ERR1713346_db2.bracken	CIV.13_ERR1713345_db2.bracken	CZE.23_ERR1713347_db2.bracken	CAN.22c_ERR1713342_db2.bracken	DEU.27_ERR1713348_db2.bracken	DNK.71_RL_ERR1713351_db2.bracken	CHN.64_ERR1713344_db2.bracken	DNK.71_RA_ERR1713349_db2.bracken	DNK.71_RD_ERR1713350_db2.bracken	ESP.75_ERR1713354_db2.bracken	FIN.25_ERR1713356_db2.bracken	ECU.14a_ERR1713353_db2.bracken	ETH.24_ERR1713355_db2.bracken	GEO.59_ERR1713357_db2.bracken	IND.11_ERR1713362_db2.bracken	GHA.4_ERR1713358_db2.bracken	IRN.12_ERR1713364_db2.bracken	HRV.68_ERR1713360_db2.bracken	ISR.29_ERR1713366_db2.bracken	KAZ.6_ERR1713368_db2.bracken	ISL.28_ERR1713365_db2.bracken	HUN.61_ERR1713361_db2.bracken	KEN.72_ERR1713369_db2.bracken	IRL.69_ERR1713363_db2.bracken	KHM.21_ERR1713370_db2.bracken	LKA.40_ERR1713371_db2.bracken	LVA.31_ERR1713373_db2.bracken	NLD.43_ERR1713379_db2.bracken	MKD.62_ERR1713375_db2.bracken	LUX.32_ERR1713372_db2.bracken	MLT.63_ERR1713376_db2.bracken	ITA.30_ERR1713367_db2.bracken	MDA.65_ERR1713374_db2.bracken	NGA.50_ERR1713378_db2.bracken	NOR.34_ERR1713380_db2.bracken	MYS.54_ERR1713377_db2.bracken	PAK.7_ERR1713384_db2.bracken	NPL.33_ERR1713381_db2.bracken	SEN.8_ERR1713386_db2.bracken	SGP.52_ERR1713387_db2.bracken	POL.36_ERR1713383_db2.bracken	PER.35_ERR1713385_db2.bracken	SVN.38_ERR1713390_db2.bracken	SRB.37_ERR1713388_db2.bracken	TCD.1_ERR1713393_db2.bracken	SWE.41_ERR1713391_db2.bracken	SVK.9_ERR1713389_db2.bracken	SWE.41a_ERR1713392_db2.bracken	TUR.46_ERR1713395_db2.bracken	USA.74b_ERR1713399_db2.bracken	USA.74c_ERR1713400_db2.bracken	USA.74_ERR1713397_db2.bracken	USA.74a_ERR1713398_db2.bracken	USA.74i_ERR1713406_db2.bracken	USA.74g_ERR1713404_db2.bracken	USA.74e_ERR1713402_db2.bracken	USA.74f_ERR1713403_db2.bracken	XK.60_ERR1713408_db2.bracken	USA.74d_ERR1713401_db2.bracken	ZAF.39_ERR1713409_db2.bracken	ZMB.49b_ERR1713411_db2.bracken	ZMB.49_ERR1713410_db2.bracken	ECU.14_ERR1713352_db2.bracken	NZL.56_ERR1713382_db2.bracken	TZA.15_ERR1713396_db2.bracken	TGO.44_ERR1713394_db2.bracken	USA.74h_ERR1713405_db2.bracken	VNM.48_ERR1713407_db2.bracken
469	Acinetobacter	genus	18627	229708	105283	29076	183678	8979	10199	56929	1168381	28330	15158	286717	8348	106829	229396	76535	27601	97843	42037	108436	218277	71692	34964	22883	177406	602663	14483	36662	152616	85714	15080	266845	161656	5524	140032	756998	60274	73334	33843	7452	184457	308127	469642	415485	1175537	24460	161971	22733	79669	22885	3911679	36394	37740	93980	123443	291279	268676	225221	62709	301877	303549	14365	45531	63730	139718	85537	17936	144263	14043	1152991	65479	54432	32827	50368	852723	302735	435117	518414	147903	1207198
1604696	Faucicola	genus	14496	36561	92891	3092	1182	198	186	3349	2724	630	429	18724	216	20838	10091	3230	565	2036	1230	3645	8803	1701	2218	529	23248	8630	1049	450	9202	2835	274	28873	6820	181	73590	7000	900	9306	664	229	4847	1822	565	32283	5602	3099	2793	1446	1937	560	3827	3596	2151	2529	4153	8825	181	5831	975	36182	2580	635	5026	15157	3751	2097	862	8031	571	2662	2826	6862	667	3994	12735	13429	91960	301	3389	17418
497	Psychrobacter	genus	576	5198	1056	950	3434	1182	3593	2124	17814	7877	947	3036	825	4405	3032	5781	961	10057	913	17688	25597	1221	9510	338	7817	853	463	1149	2155	3210	693	12115	760	708	2964	52772	21810	1038	2509	608	869	6974	18236	1196	2405	2315	5863	574	1030	10092	65190	783	7559	10233	21788	1165	394	45984	5286	9091	111388	3318	7940	6250	1481	82136	1565	1721	1614	10941	1049	1739	609	1445	9685	827984	1500	945	6940	29372
475	Moraxella	genus	19	0	36	192	0	0	0	0	0	0	0	0	0	4325	0	14	0	20	0	18	0	0	10	0	32	0	0	0	2243	0	15	239	17	0	23	0	0	13	0	0	0	14	429	19	28	15	20	0	121	0	188	61	10	5310	103	26	0	57	0	23	0	0	6377	868	0	148	336	1874	40	0	12	113	0	90	0	0	20	0	0	0
547	Enterobacter	genus	7920	1724	8818	28282	2893	1140	1135	5575	1435	1262	12377	2426	5043	7884	3295	3577	1474	6259	8914	6626	6739	7495	3180	6260	17190	1618	38653	1788	4507	1342	904	5591	1257	242	10958	8340	13206	26432	1403	342	1280	10933	6887	2034	1780	5418	1531	12659	9689	1214	226568	21231	4441	20024	2815	1648	14079	5075	1935	3571	288	3211	22035	7081	5396	3624	2691	11636	3201	2324	9128	13300	9143	10291	1714	4687	25686	8981	11722	110156
570	Klebsiella	genus	11157	6217	16098	39053	9521	1386	1452	33803	7291	3454	9621	5492	18428	18110	15112	8738	5461	8873	15686	28316	13484	14085	22000	14284	18442	1291	86584	8443	5713	2833	2383	20991	4705	826	17981	14528	24969	45419	5030	2222	2807	17057	45781	3618	4844	26223	12079	32862	20207	1792	66890	49319	5792	19976	6976	5947	13618	26200	7513	14577	751	10885	40431	7816	7522	8958	9749	65580	4261	33026	104769	26366	23527	18707	4170	9188	44819	2187	26892	40517
160674	Raoultella	genus	610	507	313	331	672	0	134	4988	1036	36	301	1217	988	218	199	850	67	738	1819	836	936	3641	773	90	1420	175	2047	0	293	87	126	756	2310	0	522	5368	159	3334	305	82	25	771	6613	411	192	398	602	191	549	445	840	32	264	324	144	364	182	384	194	249	78	1622	1586	732	1629	515	395	549	252	139	2716	68	46	467	375	1795	1508	0	2798	2541
544	Citrobacter	genus	8100	1832	2519	11350	4735	147	968	10977	4819	765	1904	9403	4152	5027	2747	6417	2474	2843	6594	11963	5807	18202	7967	3379	6123	1373	7460	415	5429	1487	1098	6786	5880	358	5717	12351	1501	10720	1361	2210	1362	7351	30177	8715	5058	3561	1842	1938	5187	708	25030	5660	3295	6298	2555	1238	99167	13007	9377	3946	5823	3557	34573	10948	2867	8990	4134	11514	3358	3732	11974	6024	7423	4079	2402	4972	15839	6270	32681	27272
579	Kluyvera	genus	1625	432	599	314	345	0	216	2168	565	63	272	434	1207	501	1161	289	207	727	3536	10689	3192	4134	1114	137	1015	125	507	156	203	112	364	1002	98	0	1340	2698	295	2127	223	168	237	319	12460	301	464	149	167	331	1024	130	1116	300	842	2727	164	126	1131	358	440	784	185	956	2375	1479	482	785	816	699	183	160	2779	124	615	299	742	430	8817	43	4531	2028
561	Escherichia	genus	14874	7429	22482	25934	24828	2655	4546	25642	23865	11041	21836	18077	92429	29955	17584	18645	18114	15266	16699	20634	39807	22920	16881	40628	30914	4066	92680	7156	23417	6742	11967	27085	12152	3645	24231	41499	51517	41252	13106	0	17157	25892	51361	7906	17960	41940	8368	26977	115101	12574	109586	36048	26502	50085	35987	24223	23293	43383	20247	25600	1048	12398	59584	12333	6070	16810	7070	16097	10826	15595	25219	26177	61834	26755	7752	14268	70338	3725	42106	154447
447792	Phytobacter	genus	697	130	266	0	0	0	0	142	0	0	54	111	0	78	0	251	0	0	1004	85	0	541	152	0	303	0	697	0	0	0	0	0	402	0	232	67	0	0	0	0	0	329	0	0	0	0	388	521	1056	0	0	637	0	0	0	0	0	177	0	136	0	0	157	142	0	0	0	294	0	0	689	0	0	60	0	0	377	0	782	0
83654	Leclercia	genus	70	115	234	990	170	0	33	358	163	10	272	150	291	430	191	45	134	90	130	209	220	79	130	262	908	211	654	175	82	67	50	189	25	0	333	90	428	1044	102	51	38	89	758	116	233	197	49	213	876	43	46309	273	167	986	51	39	368	168	119	147	63	122	263	143	512	316	115	80	45	189	58	160	952	312	99	70	363	26	210	48852
1903434	Atlantibacter	genus	25	0	40	85	70	0	0	0	0	0	0	51	0	202	63	41	43	108	53	137	212	78	75	48	0	0	155	0	37	0	0	36	0	0	43	0	40	254	55	0	0	41	56	0	0	46	40	53	51	0	404	95	42	47	86	31	385	113	53	69	0	0	100	36	165	0	34	0	64	0	0	0	47	81	0	152	108	0	171	2641
34037	Rahnella	genus	118	788	242	382	825	118	123	1635	10785	35	25	403	281	241	571	381	277	144	158	1099	271	827	444	241	760	1177	323	374	178	41	278	494	462	0	49	1466	366	463290	428	21	81	409	835	580	1096	0	428	38	369	1860	11392	198	688	512	375	510	260	110	322	271	9147	140	742	97	2439	266	61	361	70	82	955	551	69	97	39188	1657	332	33	629	11528
613	Serratia	genus	243	594	303	58	1496	112	148	706	5074	71	125	456	54	169	193	1249	187	654	108	1328	1573	2619	543	326	674	1622	1457	16	155	95	101	311	663	10	230	4724	101	1141	121	0	179	1356	986	122	560	289	293	195	151	50	1856	770	300	249	67	127	251	891	163	576	484	1889	815	448	1900	224	114	597	292	444	3331	251	146	368	485	1969	633	36	3065	3421
629	Yersinia	genus	35	134	33	19	617	222	372	5687	78	55	59	1082	57	49	798	2714	120	413	93	3119	652	6588	6052	0	156	201	17	36	17	75	83	545	2245	0	100	24696	17	1776	144	81	204	684	894	166	80	43	1047	26	58	116	105	32	1241	55	262	62	0	968	700	1449	4746	747	112	152	466	250	33	91	50	218	1483	78	36	29	977	3142	42	43	5341	581
581	Morganella	genus	140	70	90	60	88	0	0	34	35	0	177	87	118	78	66	60	27	29	73	41	69	127	67	81	164	0	105	0	825	0	54	55	76	0	249	56	195	49	50	0	29	162	701	39	0	651	51	69	338	0	115	68	87	313	90	168	52	120	75	74	0	40	74	47	30	88	76	93	0	0	80	54	634	236	0	0	266	0	369	0
