taxonomy_id	name	rank	AUS.18a_ERR1713333_db2.bracken.kraken2.report	AUS.18_ERR1713332_db2.bracken.kraken2.report	BRA.53_ERR1713336_db2.bracken.kraken2.report	AUT.70_ERR1713334_db2.bracken.kraken2.report	BWA.19_ERR1713338_db2.bracken.kraken2.report	CAN.22_ERR1713339_db2.bracken.kraken2.report	CAN.22a_ERR1713340_db2.bracken.kraken2.report	ALB.17_ERR1713331_db2.bracken.kraken2.report	CAN.22b_ERR1713341_db2.bracken.kraken2.report	CHE.67_ERR1713343_db2.bracken.kraken2.report	BRA.53a_ERR1713337_db2.bracken.kraken2.report	BGR.66_ERR1713335_db2.bracken.kraken2.report	COL.2_ERR1713346_db2.bracken.kraken2.report	CIV.13_ERR1713345_db2.bracken.kraken2.report	CZE.23_ERR1713347_db2.bracken.kraken2.report	CAN.22c_ERR1713342_db2.bracken.kraken2.report	DEU.27_ERR1713348_db2.bracken.kraken2.report	CHN.64_ERR1713344_db2.bracken.kraken2.report	DNK.71_RL_ERR1713351_db2.bracken.kraken2.report	DNK.71_RA_ERR1713349_db2.bracken.kraken2.report	DNK.71_RD_ERR1713350_db2.bracken.kraken2.report	ESP.75_ERR1713354_db2.bracken.kraken2.report	FIN.25_ERR1713356_db2.bracken.kraken2.report	ECU.14a_ERR1713353_db2.bracken.kraken2.report	ETH.24_ERR1713355_db2.bracken.kraken2.report	GEO.59_ERR1713357_db2.bracken.kraken2.report	IND.11_ERR1713362_db2.bracken.kraken2.report	GHA.4_ERR1713358_db2.bracken.kraken2.report	IRN.12_ERR1713364_db2.bracken.kraken2.report	ISR.29_ERR1713366_db2.bracken.kraken2.report	HRV.68_ERR1713360_db2.bracken.kraken2.report	ISL.28_ERR1713365_db2.bracken.kraken2.report	HUN.61_ERR1713361_db2.bracken.kraken2.report	KAZ.6_ERR1713368_db2.bracken.kraken2.report	KEN.72_ERR1713369_db2.bracken.kraken2.report	IRL.69_ERR1713363_db2.bracken.kraken2.report	KHM.21_ERR1713370_db2.bracken.kraken2.report	LKA.40_ERR1713371_db2.bracken.kraken2.report	LVA.31_ERR1713373_db2.bracken.kraken2.report	NLD.43_ERR1713379_db2.bracken.kraken2.report	MKD.62_ERR1713375_db2.bracken.kraken2.report	LUX.32_ERR1713372_db2.bracken.kraken2.report	ITA.30_ERR1713367_db2.bracken.kraken2.report	MLT.63_ERR1713376_db2.bracken.kraken2.report	MDA.65_ERR1713374_db2.bracken.kraken2.report	NGA.50_ERR1713378_db2.bracken.kraken2.report	NOR.34_ERR1713380_db2.bracken.kraken2.report	MYS.54_ERR1713377_db2.bracken.kraken2.report	PAK.7_ERR1713384_db2.bracken.kraken2.report	NPL.33_ERR1713381_db2.bracken.kraken2.report	SEN.8_ERR1713386_db2.bracken.kraken2.report	SGP.52_ERR1713387_db2.bracken.kraken2.report	POL.36_ERR1713383_db2.bracken.kraken2.report	PER.35_ERR1713385_db2.bracken.kraken2.report	SVN.38_ERR1713390_db2.bracken.kraken2.report	SRB.37_ERR1713388_db2.bracken.kraken2.report	TCD.1_ERR1713393_db2.bracken.kraken2.report	SWE.41_ERR1713391_db2.bracken.kraken2.report	SVK.9_ERR1713389_db2.bracken.kraken2.report	SWE.41a_ERR1713392_db2.bracken.kraken2.report	TUR.46_ERR1713395_db2.bracken.kraken2.report	USA.74b_ERR1713399_db2.bracken.kraken2.report	USA.74c_ERR1713400_db2.bracken.kraken2.report	USA.74_ERR1713397_db2.bracken.kraken2.report	USA.74a_ERR1713398_db2.bracken.kraken2.report	USA.74i_ERR1713406_db2.bracken.kraken2.report	USA.74g_ERR1713404_db2.bracken.kraken2.report	USA.74e_ERR1713402_db2.bracken.kraken2.report	USA.74f_ERR1713403_db2.bracken.kraken2.report	XK.60_ERR1713408_db2.bracken.kraken2.report	USA.74d_ERR1713401_db2.bracken.kraken2.report	ZAF.39_ERR1713409_db2.bracken.kraken2.report	ZMB.49b_ERR1713411_db2.bracken.kraken2.report	ZMB.49_ERR1713410_db2.bracken.kraken2.report	ECU.14_ERR1713352_db2.bracken.kraken2.report	NZL.56_ERR1713382_db2.bracken.kraken2.report	TZA.15_ERR1713396_db2.bracken.kraken2.report	TGO.44_ERR1713394_db2.bracken.kraken2.report	USA.74h_ERR1713405_db2.bracken.kraken2.report	VNM.48_ERR1713407_db2.bracken.kraken2.report
0			5621231	13474434	20649916	19937058	19508495	2585513	1902976	37059787	16174655	10322675	37521371	23865777	26991122	27931947	36071527	42496176	8153021	50574224	26043098	50263531	56318737	15458194	20702965	15726653	48807081	23020993	37295219	48416587	22603059	2887441	15191151	20683904	3951351	46104251	36407434	33637781	40138600	51218326	9335668	7882290	20450654	41769301	57825924	23063288	24578544	22450138	30420590	12358487	51027888	45582446	57348661	20997330	24578688	31223385	38696741	24432099	3686261	46886727	24366023	32683636	37667606	16005044	25855293	42745473	21647627	43862446	4910216	20410226	7530123	39285192	23908983	18354386	17324888	24378852	64354551	64943720	53543992	79082447	60408314	55767018
1	root	no rank	29101	12725	24556	14987	27425	8286	9166	36347	13740	29307	26348	15191	37530	38719	35737	44650	13920	22704	21156	22377	30933	32603	25320	32427	50335	24384	46620	49827	30528	29526	14755	72031	6471	56769	23698	58095	62361	41944	15287	15257	19254	28669	38303	40067	33373	30918	18434	17071	35910	26204	95740	31839	50589	34687	30308	26412	12551	32497	24096	47327	25350	15866	154270	32964	19967	18719	17292	20168	17900	29431	75536	24899	21186	31898	51676	39376	45118	35419	30169	40375
131567	cellular organisms	cellular root	4941	17742	19696	20764	8409	2105	1246	55646	14691	7192	14277	27911	7679	19216	26317	26901	6065	15683	20962	32953	49173	13388	16207	7626	37636	30592	21325	9604	23159	2086	14303	30492	2025	46935	29250	42017	15856	80633	8253	1959	19857	36121	44517	31331	54476	12481	25540	9444	24330	31418	159397	10280	12091	23004	32045	28006	8862	36330	16522	33353	43145	5823	19889	18163	17787	19687	4797	19052	4132	64721	21273	13458	11931	18473	59267	66437	52585	33815	46506	77239
2	Bacteria	domain	12011	29902	44677	43935	28077	4807	2492	71126	35719	15739	23370	45801	18738	46059	44269	76046	17391	38116	48967	70768	105461	31849	39411	17267	97115	52184	51448	28125	39652	4528	26630	65376	4750	76411	62483	60973	23705	227403	17648	3388	36749	81844	74828	52373	61056	34391	39151	30196	59551	60346	218731	34394	26889	48652	68061	52685	19394	80275	36203	54971	66046	13789	46782	52224	35764	49292	8212	43544	11025	82728	54307	36202	32589	44099	80802	103487	103561	54751	111655	172805
3379134	Pseudomonadati	kingdom	1885	7908	10825	8068	8494	1008	594	17347	6453	3435	6909	13390	4174	11815	10529	14524	3818	9658	11116	17197	25850	7380	7752	4591	23193	13968	9726	8437	12099	750	6998	15075	1161	21708	14380	15156	7564	44987	3945	1247	9427	20525	21929	15115	15720	7996	10859	4750	12096	4039	45822	7364	4948	14390	7635	11808	3148	17526	10016	13250	19915	2844	13182	10224	5465	10709	2312	11426	3125	17981	8605	6693	8246	9665	26824	26965	24587	16012	34117	42535
1224	Pseudomonadota	phylum	9508	39741	62071	36873	30565	4725	2607	75082	32976	17005	19344	54920	5819	59433	41045	90063	20253	36404	44410	72299	102540	36345	40284	12137	133246	66153	23358	37801	53564	3062	35200	73723	4923	84835	72089	63216	11398	306992	16858	3107	39109	111860	94952	58585	57602	45222	39990	28263	40589	10939	170040	43487	20831	58899	36345	61719	11259	82309	44153	54033	88866	10634	50052	58862	26325	60256	7992	49299	13065	84523	44485	37065	37560	46789	99890	110519	87067	46934	151381	140911
1236	Gammaproteobacteria	class	5207	20057	19689	21892	12598	1602	1159	92211	12791	4248	5066	28702	7767	15872	23187	22048	5333	10704	14524	24071	32706	16223	9994	6975	22059	59745	27910	3630	17536	1876	9415	16522	1177	32913	21626	69898	13941	268782	5627	1483	16763	37060	38732	52776	71506	7885	21434	9081	20292	5296	279911	11814	7641	22471	14216	27318	24630	28147	11601	33033	62847	4920	15561	13846	14566	15953	3537	23904	3185	97623	22751	11365	14638	14572	84920	93766	80346	36287	44587	273849
2887326	Moraxellales	order	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
468	Moraxellaceae	family	1452	5812	9861	2344	905	337	145	11244	956	637	206	4720	135	3878	3526	1371	536	592	1816	2772	5103	972	1192	310	3910	7229	256	337	2327	186	1444	2777	97	5899	8124	11738	2818	1547	685	108	2139	3884	6385	5409	11049	694	2693	474	1167	787	44932	792	993	2220	3353	3928	3074	6060	1260	7149	8391	284	2324	2494	1967	4055	368	2564	278	11248	963	1446	456	1075	10465	28129	13819	4805	2160	14274
469	Acinetobacter	genus	14193	187684	76928	142566	20502	6986	6078	917757	46773	19237	10471	230945	6109	73767	178361	61328	20227	29773	76187	81356	168785	59416	26859	16311	143037	466286	10622	19318	115947	10693	59693	111231	4052	207992	103829	583773	33187	47796	25378	4107	146313	237843	330238	377659	945164	16234	119759	15195	56547	15987	3056192	24782	27492	68901	77857	229924	194362	163898	47507	230204	221702	10831	30996	49620	112337	67244	12682	98120	10447	921782	51569	40360	24191	36982	581310	194410	310459	319063	119907	915101
