sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
ALB.17,ERR1713331,ILLUMINA,00-reads/ERR1713331_R1.fastq.gz,00-reads/ERR1713331_R2.fastq.gz,
AUS.18,ERR1713332,ILLUMINA,00-reads/ERR1713332_R1.fastq.gz,00-reads/ERR1713332_R2.fastq.gz,
AUS.18a,ERR1713333,ILLUMINA,00-reads/ERR1713333_R1.fastq.gz,00-reads/ERR1713333_R2.fastq.gz,
AUT.70,ERR1713334,ILLUMINA,00-reads/ERR1713334_R1.fastq.gz,00-reads/ERR1713334_R2.fastq.gz,
BGR.66,ERR1713335,ILLUMINA,00-reads/ERR1713335_R1.fastq.gz,00-reads/ERR1713335_R2.fastq.gz,
BRA.53,ERR1713336,ILLUMINA,00-reads/ERR1713336_R1.fastq.gz,00-reads/ERR1713336_R2.fastq.gz,
BRA.53a,ERR1713337,ILLUMINA,00-reads/ERR1713337_R1.fastq.gz,00-reads/ERR1713337_R2.fastq.gz,
BWA.19,ERR1713338,ILLUMINA,00-reads/ERR1713338_R1.fastq.gz,00-reads/ERR1713338_R2.fastq.gz,
CAN.22,ERR1713339,ILLUMINA,00-reads/ERR1713339_R1.fastq.gz,00-reads/ERR1713339_R2.fastq.gz,
CAN.22a,ERR1713340,ILLUMINA,00-reads/ERR1713340_R1.fastq.gz,00-reads/ERR1713340_R2.fastq.gz,
CAN.22b,ERR1713341,ILLUMINA,00-reads/ERR1713341_R1.fastq.gz,00-reads/ERR1713341_R2.fastq.gz,
CAN.22c,ERR1713342,ILLUMINA,00-reads/ERR1713342_R1.fastq.gz,00-reads/ERR1713342_R2.fastq.gz,
CHE.67,ERR1713343,ILLUMINA,00-reads/ERR1713343_R1.fastq.gz,00-reads/ERR1713343_R2.fastq.gz,
CHN.64,ERR1713344,ILLUMINA,00-reads/ERR1713344_R1.fastq.gz,00-reads/ERR1713344_R2.fastq.gz,
CIV.13,ERR1713345,ILLUMINA,00-reads/ERR1713345_R1.fastq.gz,00-reads/ERR1713345_R2.fastq.gz,
COL.2,ERR1713346,ILLUMINA,00-reads/ERR1713346_R1.fastq.gz,00-reads/ERR1713346_R2.fastq.gz,
CZE.23,ERR1713347,ILLUMINA,00-reads/ERR1713347_R1.fastq.gz,00-reads/ERR1713347_R2.fastq.gz,
DEU.27,ERR1713348,ILLUMINA,00-reads/ERR1713348_R1.fastq.gz,00-reads/ERR1713348_R2.fastq.gz,
DNK.71_RA,ERR1713349,ILLUMINA,00-reads/ERR1713349_R1.fastq.gz,00-reads/ERR1713349_R2.fastq.gz,
DNK.71_RD,ERR1713350,ILLUMINA,00-reads/ERR1713350_R1.fastq.gz,00-reads/ERR1713350_R2.fastq.gz,
DNK.71_RL,ERR1713351,ILLUMINA,00-reads/ERR1713351_R1.fastq.gz,00-reads/ERR1713351_R2.fastq.gz,
ECU.14,ERR1713352,ILLUMINA,00-reads/ERR1713352_R1.fastq.gz,00-reads/ERR1713352_R2.fastq.gz,
ECU.14a,ERR1713353,ILLUMINA,00-reads/ERR1713353_R1.fastq.gz,00-reads/ERR1713353_R2.fastq.gz,
ESP.75,ERR1713354,ILLUMINA,00-reads/ERR1713354_R1.fastq.gz,00-reads/ERR1713354_R2.fastq.gz,
ETH.24,ERR1713355,ILLUMINA,00-reads/ERR1713355_R1.fastq.gz,00-reads/ERR1713355_R2.fastq.gz,
FIN.25,ERR1713356,ILLUMINA,00-reads/ERR1713356_R1.fastq.gz,00-reads/ERR1713356_R2.fastq.gz,
GEO.59,ERR1713357,ILLUMINA,00-reads/ERR1713357_R1.fastq.gz,00-reads/ERR1713357_R2.fastq.gz,
GHA.4,ERR1713358,ILLUMINA,00-reads/ERR1713358_R1.fastq.gz,00-reads/ERR1713358_R2.fastq.gz,
HRV.68,ERR1713360,ILLUMINA,00-reads/ERR1713360_R1.fastq.gz,00-reads/ERR1713360_R2.fastq.gz,
HUN.61,ERR1713361,ILLUMINA,00-reads/ERR1713361_R1.fastq.gz,00-reads/ERR1713361_R2.fastq.gz,
IND.11,ERR1713362,ILLUMINA,00-reads/ERR1713362_R1.fastq.gz,00-reads/ERR1713362_R2.fastq.gz,
IRL.69,ERR1713363,ILLUMINA,00-reads/ERR1713363_R1.fastq.gz,00-reads/ERR1713363_R2.fastq.gz,
IRN.12,ERR1713364,ILLUMINA,00-reads/ERR1713364_R1.fastq.gz,00-reads/ERR1713364_R2.fastq.gz,
ISL.28,ERR1713365,ILLUMINA,00-reads/ERR1713365_R1.fastq.gz,00-reads/ERR1713365_R2.fastq.gz,
ISR.29,ERR1713366,ILLUMINA,00-reads/ERR1713366_R1.fastq.gz,00-reads/ERR1713366_R2.fastq.gz,
ITA.30,ERR1713367,ILLUMINA,00-reads/ERR1713367_R1.fastq.gz,00-reads/ERR1713367_R2.fastq.gz,
KAZ.6,ERR1713368,ILLUMINA,00-reads/ERR1713368_R1.fastq.gz,00-reads/ERR1713368_R2.fastq.gz,
KEN.72,ERR1713369,ILLUMINA,00-reads/ERR1713369_R1.fastq.gz,00-reads/ERR1713369_R2.fastq.gz,
KHM.21,ERR1713370,ILLUMINA,00-reads/ERR1713370_R1.fastq.gz,00-reads/ERR1713370_R2.fastq.gz,
LKA.40,ERR1713371,ILLUMINA,00-reads/ERR1713371_R1.fastq.gz,00-reads/ERR1713371_R2.fastq.gz,
LUX.32,ERR1713372,ILLUMINA,00-reads/ERR1713372_R1.fastq.gz,00-reads/ERR1713372_R2.fastq.gz,
LVA.31,ERR1713373,ILLUMINA,00-reads/ERR1713373_R1.fastq.gz,00-reads/ERR1713373_R2.fastq.gz,
MDA.65,ERR1713374,ILLUMINA,00-reads/ERR1713374_R1.fastq.gz,00-reads/ERR1713374_R2.fastq.gz,
MKD.62,ERR1713375,ILLUMINA,00-reads/ERR1713375_R1.fastq.gz,00-reads/ERR1713375_R2.fastq.gz,
MLT.63,ERR1713376,ILLUMINA,00-reads/ERR1713376_R1.fastq.gz,00-reads/ERR1713376_R2.fastq.gz,
MYS.54,ERR1713377,ILLUMINA,00-reads/ERR1713377_R1.fastq.gz,00-reads/ERR1713377_R2.fastq.gz,
NGA.50,ERR1713378,ILLUMINA,00-reads/ERR1713378_R1.fastq.gz,00-reads/ERR1713378_R2.fastq.gz,
NLD.43,ERR1713379,ILLUMINA,00-reads/ERR1713379_R1.fastq.gz,00-reads/ERR1713379_R2.fastq.gz,
NOR.34,ERR1713380,ILLUMINA,00-reads/ERR1713380_R1.fastq.gz,00-reads/ERR1713380_R2.fastq.gz,
NPL.33,ERR1713381,ILLUMINA,00-reads/ERR1713381_R1.fastq.gz,00-reads/ERR1713381_R2.fastq.gz,
NZL.56,ERR1713382,ILLUMINA,00-reads/ERR1713382_R1.fastq.gz,00-reads/ERR1713382_R2.fastq.gz,
