taxonomy_id	name	rank	CAN.22a_ERR1713340_db6.diamond	CAN.22_ERR1713339_db6.diamond	AUS.18a_ERR1713333_db6.diamond	AUS.18_ERR1713332_db6.diamond	AUT.70_ERR1713334_db6.diamond	BWA.19_ERR1713338_db6.diamond	BRA.53_ERR1713336_db6.diamond	BGR.66_ERR1713335_db6.diamond	BRA.53a_ERR1713337_db6.diamond	ALB.17_ERR1713331_db6.diamond
91347	Enterobacterales	order	2236	4593	28755	14680	25966	62690	34098	24288	18822	74943
1239	Bacillota	phylum	27051	45446	139469	62942	494593	270004	224977	136549	780767	357260
0			521768	581429	1190405	2321148	4273137	6107662	3976807	4400365	13262225	8315529
80864	Comamonadaceae	family	43702	55407	96209	550615	594994	220641	840293	1522249	215659	965141
85009	Propionibacteriales	order	396	560	1264	1829	5445	1564	3894	1759	10063	2326
497	Psychrobacter	genus	11538	33374	11351	360701	34809	16110	24899	51573	11905	155253
131567	cellular organisms	cellular root	21848	17751	32014	43268	96243	199544	82975	82478	598760	149205
3042610	Empedobacter sedimenti	species	971	98	204	2115	2519	60	52	4930	51	1316
2	Bacteria	domain	266495	317251	820802	1094201	1993057	2389182	1938925	1799747	4228263	3598030
364317	Verminephrobacter eiseniae	species	29	49	81	279	383	227	348	690	180	388
1224	Pseudomonadota	phylum	86549	131167	239906	956676	1034292	1017756	1782862	1898345	1071018	2179697
1898956	Ottowia sp.	species	2705	7520	6463	27861	84767	32380	14557	64798	27615	41574
848	Fusobacterium	genus	680	1163	1780	881	4284	3645	3378	1960	1692	3499
469	Acinetobacter	genus	50406	58417	98963	1188639	1120040	152839	566711	1737496	89109	5835450
1129771	Leptotrichiaceae	family	21394	32834	43825	30982	46436	23716	68720	28589	9271	183513
203557	Verrucomicrobiaceae	family	1319	319	450	1543	3681	12105	1011	1326	8690	2927
13687	Sphingomonas	genus	272	547	813	1705	2230	2158	2122	7659	11801	2951
171549	Bacteroidales	order	6072	15818	16191	32269	153263	79091	58509	164243	426068	174254
82800	Desemzia	genus	10	16	6	11	37	26	7	3	6	306
12916	Acidovorax	genus	27635	35796	82806	483823	369128	112574	1008567	1055232	80823	520112
1986204	Candidatus Brevifilum fermentans	species	4068	201	223	192	107	500	186	145	2149	375
82802	Trichococcus	genus	33681	108309	6235	11861	174553	4897	5613	47244	7277	324866
219181	Ottowia	genus	3782	9757	13529	59094	102803	103500	42819	78655	27259	51826
204455	Rhodobacterales	order	3369	3025	2846	11014	37223	20564	11049	15039	16363	64901
39948	Dialister	genus	11665	18231	14838	23376	192251	46619	49571	62531	30574	242429
46913	Devosia	genus	345	174	210	484	1447	808	357	621	804	1073
1246981	Tolypothrix bouteillei	species	186	275	679	1517	2453	1516	2655	3201	3287	5218
203491	Fusobacteriales	order	5887	9180	11876	7953	13485	5865	17978	8014	2836	50684
3379134	Pseudomonadati	kingdom	40865	46725	75331	259646	289313	567303	389336	464676	1523063	649313
2640670	unclassified Phenylobacterium	no rank	937	1296	690	4080	9776	6667	1863	4714	1901	10769
649776	Synergistales	order	5223	1569	1495	1603	2309	19194	1555	1552	23736	4019
2892396	Vescimonas	genus	497	560	1752	912	10655	8113	5187	3147	13120	7961
265	Paracoccus	genus	2095	1988	2832	11265	19884	7861	6374	6701	4450	35246
1903261	Mailhella massiliensis	species	3	2	8	2	51	51	12	24	41	7
85006	Micrococcales	order	1795	1677	1955	5112	22707	4613	4146	7252	8645	32501
1427172	Aminivibrio	genus	3386	1268	280	406	558	5884	416	519	4300	1098
80840	Burkholderiales	order	22863	30223	52093	260600	309416	173255	412349	681032	166159	516532
1689272	Vitreoscilla massiliensis	species	11455	7518	18099	65583	36865	5110	74813	35648	1859	105600
213121	Desulfobulbaceae	family	554	3361	2473	4126	1590	111583	3839	1729	23307	7997
3133499	Maccoyibacter intestinihominis	species	406	279	108	239	979	69	243	136	129	410
2802975	Desulfuromonas versatilis	species	9	5	1	4	2	85	4	3	183	9
2762318	Weeksellaceae	family	10263	8104	40934	295396	114276	45163	202894	269702	83284	137109
3024411	Desulfobulbales	order	512	2201	1866	3372	1210	73161	2731	1352	16357	5572
186826	Lactobacillales	order	8485	20147	44984	12170	75465	10268	51745	32006	6955	71460
116071	Micropruina	genus	212	437	596	734	4171	1161	2268	1477	1357	1239
1236	Gammaproteobacteria	class	42198	56671	137371	713331	755162	319533	710813	897925	232931	2888515
286	Pseudomonas	genus	22702	13018	11948	78465	294329	51734	16420	33339	29710	649532
2704656	unclassified Bulleidia	no rank	54	54	186	112	899	1547	840	170	719	1900
2601066	Acinetobacter sp. YH12070	species	7	3	69	280	81	8	503	237	6	669
2974253	Segatella sp.	species	232	403	1282	579	10066	10888	2663	3202	6282	7364
1827	Rhodococcus	genus	784	46	76	535	628	508	393	3391	717	1211
1760	Actinomycetes	class	8231	9212	18717	27709	92762	95956	56198	42026	112418	116727
76892	Caulobacteraceae	family	1030	1923	1047	5635	9030	9031	3606	8386	6977	10468
976	Bacteroidota	phylum	24918	31903	37037	252663	220678	102984	163643	398477	721476	257251
252130	Uruburuella suis	species	9636	41620	63397	71905	56493	106956	250761	46208	6715	157782
80878	Acidovorax temperans	species	1290	1617	6042	31317	16885	8064	82719	47650	6072	15964
543	Enterobacteriaceae	family	1798	4293	30348	16148	31426	67656	34554	28836	26011	52310
3436058	Pseudolactococcus	genus	7312	3388	53834	4500	71899	1656	3204	121265	4122	46242
67575	Rheinheimera	genus	34	130	40	90	163	242	95	241	896	13603
200644	Flavobacteriales	order	11075	13160	39960	286778	150377	84473	243923	336096	102240	231633
136099	Knoellia	genus	4	1	3	12	58	19	12	22	67	48
1330072	Lampropedia puyangensis	species	7	15	8	69	70	28	118	79	16	72
2981633	Gallintestinimicrobium	genus	2099	3008	10427	5417	19045	12597	23907	4422	2326	47170
2008795	Azonexaceae	family	603	979	1077	3736	4604	9415	4754	14671	181819	25598
32068	Sebaldella	genus	9725	19891	45769	23000	23504	50278	40328	6536	2186	31206
237	Flavobacterium	genus	29832	41010	14157	267387	515274	42832	41423	1022296	43676	390539
2847780	Atribacter sp.	species	158	19	13	12	19	222	42	24	759	52
196806	unclassified Psychrobacter	no rank	156	384	405	10447	599	253	1725	1776	211	2144
1350	Enterococcus	genus	2789	4121	4621	1516	43065	6991	5729	3702	1985	33169
186801	Clostridia	class	15102	22919	77722	40962	367128	172279	186903	99984	282337	276531
1783272	Bacillati	kingdom	10231	11864	39022	17816	119315	101269	60119	38024	219085	98461
165697	Sphingopyxis	genus	2454	6063	3334	10284	16722	9396	18746	24005	16750	16480
2222	Methanothrix	genus	6785	620	4188	1610	1558	29685	2295	758	12189	5549
32011	Methylophilaceae	family	638	188	88	226	200	282	301	1200	858	1286
229921	Levilinea saccharolytica	species	430	54	105	163	276	721	145	89	2835	168
28211	Alphaproteobacteria	class	9723	14282	14293	44850	89182	139504	46332	68632	140265	117642
2978004	Zwartia sp.	species	78	15	16	16	40	26	6	35	85	94
91061	Bacilli	class	5787	11409	31793	10109	45557	12694	40128	16580	15174	43510
117506	Comamonas denitrificans	species	1560	2427	17355	68173	22660	10086	31800	48370	4138	26093
32067	Leptotrichia	genus	3727	5514	9611	7471	8335	8723	83672	5053	3196	31270
2834276	Methanospirillum purgamenti	species	18	6	11	12	18	515	24	11	482	57
40323	Stenotrophomonas	genus	740	4376	2760	15031	8239	5859	9214	9243	4936	9721
186803	Lachnospiraceae	family	3725	5519	23322	10409	84275	39054	57151	21732	31699	79737
83564	Desulfosarcina ovata	species	17	14	13	8	15	194	8	15	543	39
149698	Massilia	genus	38	43	71	131	347	284	783	716	631	746
239	Flavobacterium sp.	species	3749	5546	2643	27827	54072	27025	9473	71463	18214	55805
470	Acinetobacter baumannii	species	721	910	2297	9878	14894	7616	11814	16375	4149	53454
1300	Streptococcaceae	family	1886	1342	23158	4026	18072	2200	21348	25708	2133	11998
2321111	Aliarcobacter	genus	2647	3028	2874	14112	41036	9867	19125	136145	123641	75786
547	Enterobacter	genus	81	191	4355	893	1276	10605	5766	928	1850	482
2982024	Candidatus Brachybacter algidus	species	887	1079	729	839	10179	648	460	526	787	1675
1678	Bifidobacterium	genus	2410	3869	14057	8567	54131	61918	24422	10449	24026	79344
158751	uncultured Acidovorax sp.	species	104	162	381	2274	1656	711	5140	4241	401	1574
356	Hyphomicrobiales	order	3782	3854	7444	15083	33349	84615	20390	14810	47034	27113
826	Sebaldella termitidis	species	3041	9222	27776	12997	9304	25473	21791	2729	1202	12409
481	Neisseriaceae	family	8985	27368	49125	65038	43720	252097	580346	37610	7156	126150
39485	Lachnospira eligens	species	185	384	802	752	7068	4887	4412	1950	2241	4731
2684926	unclassified Acidovorax	no rank	7559	8410	5045	46731	99619	6389	30601	271388	8202	230273
181070	Proteocatella sphenisci	species	948	2175	9265	5372	4971	18141	1916	6028	1032	19657
3373086	Mariniflexile sp. HMF6888	species	3	2	0	0	9	2	0	12	7	11
2584121	Antrihabitans stalactiti	species	26	2	5	16	2	15	7	4	11	6
498374	Candidatus Nitrosocaldus	genus	2	1	2	0	0	2	0	2	16	2
1366	Pseudolactococcus raffinolactis	species	2932	1174	16896	1524	29084	519	1190	42172	1303	15868
3029087	Aminobacteriaceae	family	375	291	136	236	245	1486	106	163	2149	427
68336	Bacteroidota/Chlorobiota group	clade	1346	1363	1177	6433	5813	7086	4176	10237	50016	7455
3384194	Thermotogati	kingdom	115	68	65	60	81	782	71	83	885	158
59732	Chryseobacterium	genus	798	1043	3102	21071	9943	7398	14828	38024	7695	67206
1055487	Methylotenera versatilis	species	133	8	3	9	8	19	13	53	55	92
1874826	Novosphingobium sp.	species	77	71	107	1405	531	413	745	776	4987	1051
49546	Flavobacteriaceae	family	7648	13119	3839	58268	119057	13549	11822	216764	28329	87628
363276	Ktedonobacter	genus	5	0	0	2	8	73	3	14	81	10
201174	Actinomycetota	phylum	1211	820	2186	2447	9672	78356	5472	2988	15467	10913
1783270	FCB group	clade	364	365	382	1285	1635	3253	955	2558	15831	2920
2614943	unclassified Sphingopyxis	no rank	334	780	415	1538	2608	617	1970	3382	1274	2491
28256	Halomonadaceae	family	40	30	70	126	559	657	277	498	707	1182
2045199	Desulfoluna sp.	species	10	3	2	2	1	99	5	6	319	13
85413	Bosea	genus	826	1206	2550	4417	17237	6230	8949	3948	3052	8527
1082851	Comamonas serinivorans	species	433	80	218	3025	2676	1604	1108	901	751	5014
186828	Carnobacteriaceae	family	3640	11678	800	1405	20767	634	777	5116	941	34211
186802	Eubacteriales	order	8075	11892	40631	24067	393712	91460	83029	54051	114044	146556
2812025	Syntrophotalea	genus	1	13	3	11	14	35	4	8	250	9
80882	Simplicispira psychrophila	species	170	409	59	212	743	106	371	23809	368	2785
2974251	Segatella	genus	614	608	989	1547	21953	6659	8448	17269	34311	55372
563835	Chitinophagaceae	family	804	1115	1286	15284	9155	1907	4033	7204	17885	4378
1506	Clostridium sp.	species	159	218	485	433	2543	2975	1260	2148	4341	4843
