sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
ALB.17,ERR1713331,ILLUMINA,00-reads/ERR1713331_R1.fastq.gz,00-reads/ERR1713331_R2.fastq.gz,
AUS.18,ERR1713332,ILLUMINA,00-reads/ERR1713332_R1.fastq.gz,00-reads/ERR1713332_R2.fastq.gz,
AUS.18a,ERR1713333,ILLUMINA,00-reads/ERR1713333_R1.fastq.gz,00-reads/ERR1713333_R2.fastq.gz,
AUT.70,ERR1713334,ILLUMINA,00-reads/ERR1713334_R1.fastq.gz,00-reads/ERR1713334_R2.fastq.gz,
BGR.66,ERR1713335,ILLUMINA,00-reads/ERR1713335_R1.fastq.gz,00-reads/ERR1713335_R2.fastq.gz,
BRA.53,ERR1713336,ILLUMINA,00-reads/ERR1713336_R1.fastq.gz,00-reads/ERR1713336_R2.fastq.gz,
BRA.53a,ERR1713337,ILLUMINA,00-reads/ERR1713337_R1.fastq.gz,00-reads/ERR1713337_R2.fastq.gz,
BWA.19,ERR1713338,ILLUMINA,00-reads/ERR1713338_R1.fastq.gz,00-reads/ERR1713338_R2.fastq.gz,
CAN.22,ERR1713339,ILLUMINA,00-reads/ERR1713339_R1.fastq.gz,00-reads/ERR1713339_R2.fastq.gz,
CAN.22a,ERR1713340,ILLUMINA,00-reads/ERR1713340_R1.fastq.gz,00-reads/ERR1713340_R2.fastq.gz,
