genus	sum_abundance	ALB.17	AUS.18	AUS.18a	AUT.70	BGR.66	BRA.53	BRA.53a	BWA.19	CAN.22	CAN.22a	CAN.22b	CAN.22c	CHE.67	CHN.64	CIV.13	COL.2	CZE.23	DEU.27	DNK.71_RA	DNK.71_RD	DNK.71_RL	ECU.14	ECU.14a	ESP.75	ETH.24	FIN.25	GEO.59	GHA.4	HRV.68	HUN.61	IND.11	IRL.69	IRN.12	ISL.28	ISR.29	ITA.30	KAZ.6	KEN.72	KHM.21	LKA.40	LUX.32	LVA.31	MDA.65	MKD.62	MLT.63	MYS.54	NGA.50	NLD.43	NOR.34	NPL.33	NZL.56	PAK.7	PER.35	POL.36	SEN.8	SGP.52	SRB.37	SVK.9	SVN.38	SWE.41	SWE.41a	TCD.1	TGO.44	TUR.46	TZA.15	USA.74	USA.74a	USA.74b	USA.74c	USA.74d	USA.74e	USA.74f	USA.74g	USA.74h	USA.74i	VNM.48	XK.60	ZAF.39	ZMB.49	ZMB.49b
Abiotrophia	0.001438882500904507	6.646344637145515e-06	5.292461417956263e-06	3.983042197842685e-05	1.577904884057102e-05	2.827592984452762e-06	1.857681864234141e-05	2.169077063000125e-05	1.94104486575395e-05	1.53660257171394e-05	2.562694082293678e-05	3.891951260920703e-05	1.267829668820747e-05	1.246423634831602e-05	8.940457346266289e-06	2.7072286065957e-05	3.076441856857923e-05	1.150193794817442e-05	1.96561055139744e-05	1.066964003147062e-05	1.434618655441441e-05	1.82331435074923e-05	6.635060322248795e-07	2.640941780966627e-05	1.015421662487234e-05	2.208840861974576e-05	2.510132197834839e-05	1.145717627787486e-06	3.311743977882952e-05	8.802420643392324e-06	2.171864769478912e-05	1.537066265322885e-05	5.3516473958775e-06	1.686610713978137e-05	3.155519576534761e-06	2.579548853027786e-05	3.891689657429747e-06	1.127180874840301e-05	2.136638211459721e-05	1.971023582185681e-05	1.098527037908668e-06	1.226409937154809e-05	2.234421783206086e-05	8.476888235165058e-06	8.410673422206661e-06	6.635832166532844e-06	1.929815091792453e-05	3.974183453940935e-05	1.516107261372757e-05	2.873015584194201e-06	7.508735715633282e-05	1.030822487038574e-06	2.30987216555999e-05	5.106736055019381e-05	3.530776439333973e-05	7.881488533954184e-06	1.39732506541015e-05	1.28180164370771e-05	1.077261498097496e-05	3.65770859045792e-05	2.429475749075406e-05	7.358980590835871e-06	1.621760128702884e-06	1.94241553072212e-05	1.007554924772128e-06	1.304836890014134e-05	1.730491214689659e-05	1.269361913553612e-05	9.80153714682902e-06	3.335012454031582e-05	2.716537057342466e-05	4.663858371370786e-05	2.870002036480169e-05	2.727692213272193e-05	1.101054490634762e-05	1.451008466713549e-05	6.489122597779146e-07	1.593385758467704e-05	4.176750372189593e-05	1.95131822386679e-05	1.361921999726231e-05
Absicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abyssalbus	0.002063820214053704	8.681787682271329e-06	2.191079027033893e-05	1.244700686825839e-05	1.259053638055926e-05	3.160620602621643e-05	9.551643593430605e-06	5.124161145345244e-05	8.858459790018027e-06	3.003359571986338e-05	3.231222973326811e-05	1.573124656645113e-05	2.001607799062891e-05	3.281026921100834e-05	8.815969965495494e-05	1.294458922433934e-05	2.548684048777694e-05	3.594355608804508e-05	1.223046565313963e-05	4.835756207811684e-05	1.584588652953071e-05	2.413782699212503e-05	8.547164069660494e-05	3.32758664401795e-05	1.912017385747239e-05	5.621844558391778e-06	1.616000140436154e-05	3.270503046593368e-05	7.607365292884528e-05	2.618441583793919e-05	5.42966192369728e-05	3.044910738529365e-05	1.770829666765969e-05	1.283615233647078e-05	2.490116535395909e-05	1.047941721542538e-05	4.995917048033796e-05	2.747503382423235e-05	1.43926323966384e-05	1.956203856003834e-05	1.457660877224964e-06	1.056182690357296e-05	2.692764713094514e-05	7.424202768053057e-06	1.804620219716186e-05	2.031796034495108e-05	1.538048118270677e-05	1.199556685572723e-05	0.0001130189049386	3.563547400044386e-05	7.924787034969162e-06	3.286962269990925e-05	2.659264593964022e-05	9.818111899327584e-06	3.779118513048594e-05	1.846520170812124e-06	4.362380692012174e-05	8.760051434384349e-06	1.623478595724395e-05	2.614096444149981e-05	2.160376251127896e-05	2.217506151371876e-05	1.621760128702884e-06	0.0001086827737427	3.283239323826416e-05	1.96472007695492e-05	3.408894065057557e-05	1.4304003652731e-05	7.974131916064287e-05	5.546502588794529e-06	1.038675933689766e-05	7.649714789020866e-06	1.435001018240084e-05	1.477499948855771e-05	2.231160550943264e-05	1.778144921027149e-05	2.051400047039859e-05	6.657809037728906e-06	5.590095195102233e-06	8.271019632027958e-06	1.535047677657531e-05
Abyssibius	0.001664791860502983	2.2140635572491e-05	1.037322437919428e-05	7.779379292661494e-06	2.681620735599635e-05	1.451497732019085e-05	8.573916296465268e-06	2.010364107170848e-05	2.826890844755753e-05	1.676293714597026e-05	2.0055866730994e-05	1.440328419395851e-05	6.94267000152183e-05	5.168992132683995e-05	4.532472363518543e-05	2.115674797956537e-05	1.081259899481446e-05	2.829271343501834e-05	2.577133834054421e-05	1.934302483124674e-05	2.331609017916661e-05	2.277520772644056e-05	2.915405293109319e-06	3.521255707955503e-05	1.501527777507719e-05	1.07721795731765e-05	2.223025573899481e-05	3.437152883362456e-06	2.321436069933487e-05	2.618441583793919e-05	2.810648525208004e-05	1.461089605820233e-05	2.58010317541086e-05	1.485112973812607e-05	1.59833926376652e-05	1.209163524856775e-05	2.914021280075444e-05	9.68671064315884e-06	8.75428156084191e-06	1.808006594185361e-05	9.083973582706296e-07	3.141466463626828e-05	1.661493120845551e-05	1.24106076122678e-05	1.575980553869792e-05	1.039841741559786e-05	4.381986148280607e-05	1.731533998304974e-05	3.307870388449652e-05	1.930464857449788e-05	1.238247974213932e-05	5.990440113356242e-06	1.931363701455622e-05	1.561672832309153e-05	2.677775403531576e-05	4.954078507056916e-06	2.703767199736712e-05	1.732686644006904e-05	2.344181710648776e-05	2.127752919656961e-05	3.09274915950941e-05	2.24694207373522e-05	1.297408102962307e-06	2.402004919687621e-05	4.169192792160528e-06	4.896870708519862e-06	4.73425355724462e-05	2.927110681254224e-05	5.465602917469064e-05	1.137744120778365e-05	1.619753379110615e-05	2.270237937386838e-05	3.66383238699596e-05	7.198076673912731e-06	1.568784762381982e-05	4.442724105355667e-05	5.484355227800439e-06	1.387666939886193e-05	3.44898326188383e-05	2.360854147394388e-05	1.511964253933358e-05
Abyssicoccus	0.0004770298206576288	2.949315432733322e-06	6.350953701547515e-07	2.178226201945218e-06	3.024999000523979e-06	1.759391190326163e-06	1.729825217707905e-06	1.881882190547147e-05	5.86221603751193e-06	1.257220285947769e-05	6.685288910331334e-06	4.903245683049704e-06	4.472138900292361e-06	3.849249460509358e-06	3.791206596201528e-06	5.289186994891341e-06	1.042643474499966e-05	3.286267985192693e-06	5.023226964682346e-06	4.130183237988627e-06	5.008431992369527e-06	5.839796852933476e-06	2.814874076105549e-07	5.810071918126579e-06	2.376518784544591e-06	4.424935716927722e-06	7.546802686300822e-06	3.645465179323817e-07	8.745576329943328e-06	3.454114429685595e-06	1.022054009166547e-05	9.818522151111965e-06	1.087733210544207e-06	1.791091023693597e-06	1.714956291594979e-06	3.224436066284732e-06	1.740186432184033e-06	1.902117726293008e-06	4.30295195363416e-06	9.114131601836045e-06	2.957572794369491e-07	2.282592627512104e-06	8.975882376981712e-06	3.102651903066949e-06	3.102966893629642e-06	4.583512939770109e-06	2.03138430714995e-06	8.240432883499577e-06	3.215985099881606e-06	1.209690772292295e-06	4.764778204775209e-05	1.108620410588655e-06	1.014208576895038e-05	1.72640625343881e-05	1.511647405219438e-05	1.508742090785515e-06	4.544146554179349e-06	3.478255716593785e-06	3.262129888605092e-06	1.094272930109295e-05	6.594832766600947e-06	2.747352753912059e-06	0	5.82724659216636e-05	1.18127129111215e-06	3.284486450836493e-06	8.623518093269541e-06	2.936583531355371e-06	5.980598937048216e-06	3.55545037743239e-06	4.285446159978756e-06	2.056374943285179e-06	2.137235559080976e-06	5.682692110983735e-06	4.18342603301862e-06	4.590463149239229e-06	2.302591889534536e-07	5.760126920282312e-06	5.062727723866173e-06	3.613552266419982e-06	4.039599151730345e-06
Acaricomes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaryochloris	0.001572690430955483	5.607853287591528e-06	3.810572220928509e-06	7.157028949248574e-06	6.785808568742979e-06	5.529515169596514e-06	5.339895237272228e-06	5.003236988522937e-05	4.403175601508961e-05	1.396911428830855e-05	2.228429636777112e-05	6.537660910732939e-06	1.719385441277451e-05	1.631348580882538e-05	7.23158511932172e-05	1.78858033906194e-05	0.0001069674971987	1.30423760662335e-05	1.528808206642453e-05	1.462773230120972e-05	7.80975836098299e-06	1.388573918364182e-05	3.418061378128167e-06	5.158639612154811e-05	6.589438448055457e-06	8.450901820034092e-06	1.140223449343276e-05	2.13520103360395e-06	6.096181147636968e-05	1.091945851965124e-05	4.279851163384915e-05	2.62996129047642e-05	3.524255602163232e-06	4.328469973926193e-06	5.830851391422928e-06	1.531607131485248e-05	2.565983993638638e-05	8.207285744930944e-06	1.132616088945083e-05	6.972681168559121e-05	1.01402495806954e-06	6.92515390380791e-06	1.432321655901337e-05	5.20802283729095e-06	8.655644492756368e-06	8.004044984374668e-06	1.929815091792453e-05	3.473498924310581e-05	7.304880441159648e-05	1.073600560409412e-05	1.436367650088161e-05	1.808801722539385e-06	4.488722170468469e-05	8.104884319579147e-06	3.422801624675441e-05	3.512892032276722e-06	4.351020325626726e-05	5.346207860690448e-06	1.767619218709271e-05	2.148017233177504e-05	1.315176419546281e-05	7.211800979019154e-06	0	1.644694102650128e-05	3.578557146604453e-06	8.300793030295864e-06	3.912414920167926e-05	6.820452072825377e-06	5.74802008949634e-05	1.29418393738539e-05	7.336102748438209e-06	8.554519764066346e-06	4.243939181603654e-05	1.629038405148671e-05	1.263743280807708e-05	5.476897412540597e-05	3.412022527219358e-06	5.834933763402861e-06	9.281667493754651e-06	1.557842532634392e-05	1.973632728416825e-05
Aceticella	0.00239438113414393	1.399886339198774e-05	6.880199843343142e-06	2.24046123628651e-05	1.676012959749772e-05	8.545614353012793e-06	7.972237959871213e-06	7.761819316031808e-05	3.608519649757343e-05	4.679653286583364e-05	6.128181501137056e-05	3.513992739518955e-05	2.179624978589092e-05	1.521370024867984e-05	2.342626165414078e-05	3.215268936368158e-05	0.0001404350655159	4.703471053807042e-05	2.904735592620661e-05	1.855140637729892e-05	2.617400899967125e-05	2.296986762153833e-05	1.065630900239958e-06	3.503649429415725e-05	3.888848920163876e-05	3.383987724502922e-05	3.461685580020594e-05	9.374053318261244e-07	6.199070280930418e-05	2.228460922377804e-05	6.707229435155464e-05	4.535222136466003e-05	7.005001875904695e-06	1.529890249404947e-05	4.527484609810743e-06	1.45099622982813e-05	1.161178946566436e-05	1.313870207235726e-05	2.829067261469816e-05	0.0001343408178384	2.344932715535811e-06	8.898242446233627e-06	3.513962462477947e-05	1.634432698937054e-05	2.727344585453422e-05	2.48330626438291e-05	1.509028342454249e-05	4.662624682182672e-05	6.386027555479189e-05	5.897242514924938e-06	4.319008934058194e-05	1.964397569639547e-06	5.396171949795608e-05	2.38533993795744e-05	6.575666212704555e-05	6.192598133821145e-06	4.748633149117419e-05	1.784216358326812e-05	2.298663619179867e-05	8.3336989353231e-05	2.895662203266163e-05	9.174195803242053e-06	9.730560772217302e-07	4.708623362420139e-05	1.459217477256185e-06	1.394413793218766e-05	4.768979133459129e-05	2.093499872353345e-05	4.718028050338037e-05	2.168824730233758e-05	2.513159951445169e-05	1.793158950544676e-05	3.389044957971263e-05	2.424615300686393e-05	3.230534547719934e-05	2.300507969044027e-05	1.779275551003959e-06	1.357744202637974e-05	3.5333620572816e-05	2.465245657313188e-05	3.047011931590889e-05
Acetilactobacillus	0.0001882854194236505	1.495427543357741e-06	4.23396913436501e-07	9.335255151193792e-07	1.798648054365609e-06	2.513415986180233e-07	1.128146881113851e-06	4.005612694738907e-06	3.126515220006362e-06	1.396911428830855e-06	0	6.129057103812131e-07	1.649915322437958e-06	1.283083153503119e-06	2.602917961571198e-06	2.505404366001162e-06	1.068387757820952e-05	1.23235049444726e-06	2.839215240907413e-06	1.617655101545546e-06	2.037328268082519e-06	2.011485582677086e-06	1.206374604045235e-07	1.408502283182201e-06	1.080235811156632e-06	1.341988701035457e-06	3.199188095279697e-06	5.207807399034025e-08	2.572228332336273e-06	1.782768737902243e-06	5.110270045832735e-06	5.902802007513741e-06	5.656212694829878e-07	1.343318267770198e-06	2.057947549913975e-07	4.836654099427098e-06	8.54273339435798e-07	2.817952187100754e-07	1.928909496456692e-06	4.964608270918822e-06	2.006924396179298e-06	1.083264297802355e-06	4.392453078097433e-06	1.772943944609685e-06	1.959768564397669e-06	1.16298089516555e-06	2.17648318623209e-06	2.086185540126475e-06	3.675411542721835e-06	5.544416039673019e-07	5.844530438289757e-06	1.944948088752027e-07	4.027718271879815e-06	3.426455159496876e-06	7.450262211438658e-06	5.179263893741321e-07	3.748920907197962e-06	1.867952144096662e-06	2.048314116100872e-06	4.762113677327486e-06	2.880501668170528e-06	1.717095471195037e-06	0	7.312963233224648e-06	2.084596396080264e-07	1.254076644864843e-06	4.803704709673637e-06	2.273484024275126e-06	8.140259664315627e-06	1.137744120778365e-06	1.888501697617757e-06	5.757849841198501e-07	6.106387311659933e-07	4.924999829519237e-06	1.481630053360761e-06	3.271364543136002e-06	1.465285747885614e-07	2.431222401417859e-06	3.26967832166357e-06	2.971142974611985e-06	1.038754067587803e-06
Acetivibrio	0.02209727779343628	9.059798533508981e-05	5.440650337659038e-05	0.0002343149042949	0.0001608154874062	5.975646507143505e-05	7.76917152127072e-05	0.0007060459206462	0.000267707865713	0.000230490385757	0.0002874674231442	0.0004876686435599	0.0001564380238616	0.0001805481294572	0.0002043290599833	0.0003176295979563	0.0008119746959439	0.0002338385063213	0.0002594605927844	0.0001427666672598	0.0001929519647229	0.0001882361185595	1.174204614604029e-05	0.0003135678207934	0.000187744983979	0.0001958578104213	0.0002501929151436	7.967945320522058e-06	0.0007779704591151	0.000147189843923	0.0009562592823264	0.000469711086479	6.295799822629871e-05	9.813686233987832e-05	4.705840064136622e-05	0.000323249715645	0.0001015003286262	9.433094946319772e-05	0.0002532806546501	0.000691414325014	1.846370444484954e-05	9.470825003643444e-05	0.0003112912398825	0.0001083711986142	0.0002096952363905	0.0003339807488351	0.0001580126793204	0.0003436990677358	0.0005889846997211	5.388164314918597e-05	0.0004540407671847	1.474270651274036e-05	0.0004976415768449	0.0002185024097863	0.000565680053996	5.965160893269896e-05	0.0003095699840034	0.0001844763772652	0.0001791895534159	0.0025040105609496	0.0002738371651648	0.0001144566781228	1.556889723554768e-05	0.0005957319060741	1.709369044785817e-05	0.0001540722735119	0.0003856275238621	0.0002107709147505	0.0004086742606982	0.0002047939417401	0.0001966947152749	0.0001463316409641	0.0002482246442189	0.0002451134530537	0.000245311454325	0.0002190231325573	1.551109627404628e-05	0.0001356248065775	0.0002496557608831	0.0002376914379689	0.0002336042480886
