genus	sum_abundance	ALB.17	AUS.18	AUS.18a	AUT.70	BGR.66	BRA.53	BRA.53a	BWA.19	CAN.22	CAN.22a	CAN.22b	CAN.22c	CHE.67	CHN.64	CIV.13	COL.2	CZE.23	DEU.27	DNK.71_RA	DNK.71_RD	DNK.71_RL	ECU.14	ECU.14a	ESP.75	ETH.24	FIN.25	GEO.59	GHA.4	HRV.68	HUN.61	IND.11	IRL.69	IRN.12	ISL.28	ISR.29	ITA.30	KAZ.6	KEN.72	KHM.21	LKA.40	LUX.32	LVA.31	MDA.65	MKD.62	MLT.63	MYS.54	NGA.50	NLD.43	NOR.34	NPL.33	NZL.56	PAK.7	PER.35	POL.36	SEN.8	SGP.52	SRB.37	SVK.9	SVN.38	SWE.41	SWE.41a	TCD.1	TGO.44	TUR.46	TZA.15	USA.74	USA.74a	USA.74b	USA.74c	USA.74d	USA.74e	USA.74f	USA.74g	USA.74h	USA.74i	VNM.48	XK.60	ZAF.39	ZMB.49	ZMB.49b
Abiotrophia	0.00149203330810827	1.22490673751721e-05	2.50797670679816e-06	6.84132297774837e-06	2.54117977235255e-05	2.1731945444031e-06	2.5045538746823e-06	2.12525736635234e-06	1.07556728522801e-05	9.03098037555253e-05	4.6213386663334e-05	4.20254185847265e-05	6.39244621802389e-05	2.39066196044218e-05	1.04967069316729e-05	6.0957938180497e-06	1.89505362436049e-05	1.19235677070809e-05	4.50250405826503e-05	2.68635638836051e-05	2.96215290076416e-05	4.22181296476904e-05	5.81076983451042e-07	3.31150150016738e-05	1.60369342066553e-05	9.88099010960942e-06	2.31148528812522e-05	3.43445314242654e-06	1.44589928461483e-06	2.10191616873422e-05	1.64057951724135e-05	2.39377874799758e-06	1.14214014188048e-05	4.23164010922127e-06	6.17228573079423e-06	2.45809935085439e-05	4.45553040726962e-06	1.0754465902119e-05	8.06156203278452e-06	6.3608513776286e-06	1.660401360482e-06	1.48222722982966e-05	3.42733011513796e-05	1.00638464983311e-05	1.56127360895631e-05	3.04851877038214e-06	7.0259447881528e-06	9.18536465486059e-05	1.0741284269078e-05	2.44739356764702e-06	0.000122092155601018	8.98820690116338e-06	1.01094808318208e-05	4.36207183748497e-05	4.4991491430305e-05	4.29407566190525e-06	5.81779564531024e-06	2.66277414277577e-05	1.11401757923228e-05	4.89804461626269e-05	3.23147421941758e-05	9.80765913160449e-06	1.16008930505737e-06	6.87618145752858e-07	9.02435628639962e-07	1.50226986893194e-06	1.38726749670016e-05	1.41095302548803e-05	1.00134570667768e-05	6.96557945473461e-06	1.64064582637657e-05	5.48257127641769e-06	8.27487875855671e-06	1.0026261268283e-05	1.87970753996964e-05	1.9678171526589e-05	3.4293366043172e-07	4.36992024412667e-05	9.09855431376862e-06	1.51636134710376e-05	9.90580880409782e-06
Acaricomes	4.85884399662188e-06	1.2472843498881e-06	0.0	9.47202639994118e-08	9.25081606209444e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.38929340353721e-07	0.0	0.0	0.0	0.0	0.0	0.0	1.55397280222322e-07	1.92440625957366e-07	0.0	0.0	0.0	2.4330933514105e-07	0.0	0.0	0.0	6.10577347864191e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.82044354582122e-07	0.0	0.0	0.0	0.0	0.0	0.0	1.26341773714778e-07	0.0	0.0	1.37837740765672e-07	9.86094912736727e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.07918261286536e-08	0.0	0.0	1.04442999658197e-07	0.0	0.0	2.43609106451682e-07	0.0	0.0	0.0
Acaryochloris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetivibrio	0.00455793608178832	2.5560008509777e-05	8.55925526429027e-06	3.81755333713359e-05	6.21731194685038e-05	1.42175006131272e-05	2.64363131341752e-05	7.06946113062922e-05	5.85355170903783e-05	4.09085204094098e-05	4.25257835287921e-05	3.94168418072998e-05	5.01387063939042e-05	4.5455356507902e-05	3.86291358072089e-05	3.33527616795248e-05	0.000140747597546096	2.86112453744853e-05	4.62629289571764e-05	4.08212202148917e-05	5.40732362561826e-05	7.57122867113101e-05	2.35703348609635e-06	0.000110916245235163	4.57150653862975e-05	4.08703590681714e-05	6.70762937075718e-05	1.20248353604008e-06	1.15729483180092e-05	2.35683837207857e-05	0.000104256266494803	8.94899064692427e-05	3.02421014002965e-05	2.21768939060392e-05	1.29232060657001e-05	8.03597322266314e-05	1.70352661223933e-05	1.91881266226389e-05	6.64607441617725e-05	3.49967944204477e-05	3.32367452045452e-06	4.80905777006577e-05	8.40353973799293e-05	1.59964072631816e-05	5.12678775094357e-05	3.60415483389989e-05	7.63450144336562e-05	0.000139186814191251	0.000155504072364144	3.9042665388962e-05	0.00022335753905739	2.98477613184177e-06	0.000104623118381388	0.000118228621989787	0.000129139464981636	9.06640685277819e-06	2.03096113560682e-05	4.54134469642417e-05	3.8618207514781e-05	7.66171366582034e-05	8.03589877193616e-05	4.6572202301339e-05	8.70777535122525e-07	4.49302183475916e-05	1.26797476035677e-06	6.21259418601143e-05	0.000104712470523491	8.12595046489224e-05	7.45537554776442e-05	8.38309846543397e-05	8.8609083068603e-05	6.29335179064709e-05	5.90427383431136e-05	0.000100187616442184	6.04801159153854e-05	5.37405300723415e-05	3.29088563946457e-07	6.25732224894045e-05	0.000114428891916764	0.000113555327962714	8.29654220001615e-05
Acetobacter	0.00348014711301703	3.73083575304882e-06	1.01944700356506e-05	8.89510414724899e-05	1.81495487295547e-05	1.37555168789727e-05	1.11338630068145e-05	7.1239329026833e-05	3.52569445185888e-05	2.33327776926678e-05	9.00080638845336e-06	1.8679826261562e-05	3.06421760323471e-05	1.07571694449653e-05	5.07249232112722e-05	0.000351051297081827	1.11618191595168e-05	1.4459322635028e-05	1.25025929031345e-05	5.27266949680045e-05	1.88587910416739e-05	2.50523745359349e-05	7.11186202848897e-07	3.4893818279305e-05	1.89690490287805e-05	0.000187135058731838	4.37012842377603e-05	4.35142536273541e-07	0.000489589993755464	4.1599775309666e-06	6.93034083604674e-06	0.000331857164272049	8.43093873856856e-06	5.2629753347526e-06	9.79921742857316e-06	4.71309319282414e-05	7.54474787892653e-06	1.09273203292878e-05	3.4596710396144e-05	9.64644053726931e-06	8.66425285998194e-05	1.37647557541737e-05	3.34969857962832e-05	2.18654657305206e-06	2.97472556898443e-06	1.57011635903169e-05	1.61868770076567e-05	0.00013838962477202	9.86642668055331e-06	1.52274853971187e-05	6.80297121428758e-06	7.0376224347347e-06	8.57909256718865e-05	2.94721815468352e-05	3.90054907221571e-05	2.96412666249233e-06	2.04064045900249e-05	7.25122815010111e-06	3.10188101227705e-05	1.7296356327348e-05	3.77269657207662e-05	4.02807814832917e-05	5.60737869676301e-07	1.23451882386246e-05	6.29564561506465e-07	0.000193078033245227	0.000176860366769815	7.71173379117006e-06	5.04818743725471e-05	9.98491287583459e-06	3.43091483116759e-05	1.17664155663504e-05	2.26159067710445e-05	1.36751102922935e-05	1.99803494997083e-05	1.93446436529356e-05	8.60465009287544e-06	1.82772401690656e-06	9.86785018618151e-06	7.94001145540078e-05	1.45273852005393e-05
Acetobacterium	0.0485897398038122	0.000159156380549928	8.57730537779989e-05	0.000675384228449036	0.000112248510100929	8.18511136672097e-05	6.37933107392031e-05	6.03307276316311e-05	7.37869016094623e-05	0.00200693522907687	0.00140486072649994	0.000953167492803176	0.00180019136263129	0.00052611177887572	7.00800121990484e-05	5.70248182547709e-05	0.000669146971326539	0.000498454157529132	0.00279995876716197	0.000905629950042124	0.000572007329096926	0.00127979560622403	4.39496946272238e-06	7.06355372565244e-05	0.00117642327379668	0.000117496237897935	0.00215205677827318	5.23727081799166e-06	8.96437902660357e-05	0.000740543292211042	0.00105084639711486	1.34347986186779e-05	3.36442203044147e-05	5.44804312404917e-05	2.90581190355986e-05	0.000180035450930699	0.000108182750127042	0.000163190034976218	0.00039278291949508	5.48154005802064e-05	3.62957148529726e-06	0.000112489531750958	0.000634631613462523	0.000123923173654564	0.000338509541804188	0.000128902910377273	4.48623202131808e-05	7.83449415444384e-05	0.00055582289954699	6.7409149387342e-05	0.00358560021740413	1.12163595923201e-05	0.000109966196612576	2.0903021475278e-05	0.00169955996725102	1.31019586620074e-05	0.000104074642750448	0.000426960143938793	0.000334469154169441	0.00194601582969271	0.00110336808899685	0.00016067102732839	2.20936073745404e-05	3.03685886626404e-05	8.41780015883867e-06	1.86114671204264e-05	0.00167059165172151	0.000148471456801314	0.00161570766485987	0.00177709932742644	0.000983222497223819	0.000897896709530755	0.00207899504640942	0.00131516687280774	0.00333473526288434	0.00103611687520294	3.80539158204565e-06	0.000321991775498572	0.000310986000356631	8.01859294464019e-05	3.825351699092e-05
Acetohalobium	1.37170356814417e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47588110111403e-07	0.0	0.0	0.0	0.0	0.0	0.0	4.90474074763858e-07	0.0	0.0	0.0	0.0	0.0	0.0	9.70177705121827e-08	0.0	0.0	1.9321202110298e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4778433723057e-07	0.0	0.0	1.95627254423179e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetonema	0.000355636482394107	7.80212401198272e-07	2.2580810827334e-07	6.36160708630886e-07	4.6597782668072e-07	5.75257077187056e-07	4.6039569097517e-07	0.000107347126905178	6.62471862597891e-06	2.78781617835082e-06	5.26374736084488e-07	7.5246006922934e-07	1.22830809202578e-06	1.75199875744946e-07	3.07151377003492e-06	2.42645358427247e-06	5.2466568128918e-05	3.35484359327739e-07	3.34035505438116e-06	4.34866661276402e-07	9.15500072158915e-07	5.21726488732419e-07	4.57780996465279e-08	2.33513423320547e-05	1.13480233886971e-06	6.94283377058671e-07	7.68243705586724e-07	0.0	8.88498568412213e-06	1.07634831295801e-06	0.0	7.42555057918675e-06	4.22512344218396e-07	1.06679946708711e-06	2.28829059126022e-07	2.66272439479084e-06	9.29152695536879e-07	3.03493485105845e-07	1.4569980572177e-06	4.15709423612335e-05	5.66838401953402e-07	8.92962672922185e-07	3.72427736298506e-06	3.74572267672046e-07	5.10563679525273e-07	7.7592348754173e-07	6.31006264492978e-06	1.16743780358465e-05	2.86976981926803e-06	1.9280926590591e-07	7.69487971382874e-07	0.0	5.9732982987711e-06	6.44344569207554e-07	2.5282418215822e-06	4.81638343145051e-07	3.61843026455194e-06	7.07114374672204e-08	7.94843265087064e-07	7.27011172813754e-07	8.48600977350229e-07	3.31140778106257e-07	1.37090313293046e-07	1.08343138315638e-06	0.0	3.55053091317651e-07	2.35395944778331e-06	1.85261591943044e-07	3.18136426890382e-06	2.8704295859916e-06	7.33595224568293e-07	1.32118244839935e-06	4.02319824319688e-06	2.20277402080213e-06	2.63047722849885e-06	9.00159853774296e-07	7.13244003082873e-07	4.09032173385311e-07	1.37625118998757e-06	2.65767564141576e-06	5.70132543815253e-06
Acholeplasma	0.0917554601661516	1.39051173378106e-05	1.26597755080892e-05	3.63428825310342e-05	2.02801185317096e-05	1.74946304786441e-05	2.59583174770182e-05	9.86897882348024e-05	9.93106601816372e-06	4.81356724149503e-05	7.29304287633173e-05	3.61639701465803e-05	1.48833355703749e-05	3.93521510184058e-05	0.000110785886433078	1.8115324335342e-05	1.1919020662232e-05	3.74886203452113e-05	4.00089882093931e-05	8.2204013066558e-05	4.04928497830859e-05	9.06758360773302e-05	4.21557293525663e-07	8.55800024561211e-06	4.54526819975786e-05	2.31769743075025e-05	3.61188857826928e-05	1.42329081388609e-05	0.00012344068184536	0.000102735651618507	0.000787390981258295	8.27602217972743e-06	2.97850245053066e-05	1.35617062728326e-05	5.02169378866744e-06	9.41903005063167e-06	4.75819887967277e-06	1.20306783406717e-05	4.93462415495502e-05	6.73878236867513e-06	6.00055015089524e-07	9.83592179176862e-06	3.55378351442207e-05	2.43670571485979e-05	2.75825391298558e-05	2.55980062357877e-05	2.48221663704417e-05	7.35277636038787e-05	0.00063412115832132	7.43565778870629e-06	7.46129929876017e-05	2.96894969519798e-05	6.59927622748816e-05	0.000304401913722492	9.08272608897595e-05	5.72616648791592e-06	8.33556514965934e-05	1.46672213556901e-05	1.4616487394713e-05	8.82808473214035e-05	0.000131925392968844	3.78547073972672e-05	2.8485969811821e-06	0.086885486338044	2.97670901146181e-05	2.73906557522592e-05	0.000123804653335999	6.39035834306001e-05	7.02089222307922e-05	4.73283672856269e-05	7.40169668057667e-05	3.93907729282157e-05	3.32500599430964e-05	5.03958198400969e-05	0.00011292723748695	7.17421696813294e-05	1.92654594910585e-05	3.44266057022569e-05	3.38471783511658e-05	5.53829566267537e-05	1.58141769542571e-05
Achromobacter	0.0318961726113853	0.000202126253588274	0.00018840595010896	0.000376812685086302	0.000266464859498654	0.000168881400426525	0.000180517454931791	0.000299047573045013	0.00100984101616185	0.00131870768739729	0.000329732264041683	0.000258082117811715	0.00225761234332715	0.000389805000142713	0.000476904538961338	0.000373360395163605	0.000206210598056324	0.000173114760869408	0.000590141960905723	0.000289280212607758	0.000236073158924657	0.000258808972688637	0.000183364797893383	0.000296331958414744	0.000715431715759906	0.00027212148748426	0.000287877539712521	0.000426693481105503	0.000542501909315996	0.000206596668037814	0.000325016880594926	0.000271957813364929	0.000275978145011588	0.000201798511480464	0.00014443580602056	0.000510824067463317	0.000182203278748373	0.000118202469325959	0.000271049684848907	0.000190059438729338	5.09786472508074e-05	0.000343096305576682	0.000339669268501475	8.32991962460811e-05	0.000259054300216404	0.000263619509499513	0.000262167403659699	0.000569333471698879	0.000360981701195119	0.000178085212838272	9.98145201822468e-05	0.000108894291130359	0.000316720524423068	0.00027847785685452	0.000335655654720536	0.000144582139031442	0.000461245593382351	0.000186617568115982	0.000302802128634309	0.000153583815125477	0.000394983974186564	0.000226355334250216	1.88064520779871e-05	0.000761894160623068	0.00412844549106756	8.44253268901101e-05	0.000478691268297689	0.000216725669577403	0.00026504414103006	0.000220352112944639	0.000202395755086968	0.000229342619814339	0.00050386773708512	0.000342042726236082	0.000327730825818577	0.00090871231631922	0.000827884069621606	0.000136049207481971	0.000350492779366923	0.00057251006542921	0.000328364612838927
