taxonomy_id	name	rank	AUS.18a_ERR1713333_db8	AUS.18_ERR1713332_db8	BRA.53_ERR1713336_db8	BWA.19_ERR1713338_db8	CAN.22a_ERR1713340_db8	CAN.22_ERR1713339_db8	CAN.22b_ERR1713341_db8	CHE.67_ERR1713343_db8	DEU.27_ERR1713348_db8	FIN.25_ERR1713356_db8	ECU.14a_ERR1713353_db8	ESP.75_ERR1713354_db8	IRN.12_ERR1713364_db8	HRV.68_ERR1713360_db8	ISR.29_ERR1713366_db8	ISL.28_ERR1713365_db8	HUN.61_ERR1713361_db8	LVA.31_ERR1713373_db8	MKD.62_ERR1713375_db8	MLT.63_ERR1713376_db8	NLD.43_ERR1713379_db8	MYS.54_ERR1713377_db8	SGP.52_ERR1713387_db8	POL.36_ERR1713383_db8	TCD.1_ERR1713393_db8	USA.74g_ERR1713404_db8	USA.74f_ERR1713403_db8	AUT.70_ERR1713334_db8	CIV.13_ERR1713345_db8	COL.2_ERR1713346_db8	CZE.23_ERR1713347_db8	BGR.66_ERR1713335_db8	ALB.17_ERR1713331_db8	BRA.53a_ERR1713337_db8	CAN.22c_ERR1713342_db8	DNK.71_RL_ERR1713351_db8	DNK.71_RD_ERR1713350_db8	GEO.59_ERR1713357_db8	DNK.71_RA_ERR1713349_db8	IND.11_ERR1713362_db8	CHN.64_ERR1713344_db8	ETH.24_ERR1713355_db8	GHA.4_ERR1713358_db8	IRL.69_ERR1713363_db8	KEN.72_ERR1713369_db8	KAZ.6_ERR1713368_db8	KHM.21_ERR1713370_db8	MDA.65_ERR1713374_db8	NGA.50_ERR1713378_db8	LUX.32_ERR1713372_db8	NOR.34_ERR1713380_db8	ITA.30_ERR1713367_db8	LKA.40_ERR1713371_db8	NPL.33_ERR1713381_db8	SEN.8_ERR1713386_db8	PAK.7_ERR1713384_db8	PER.35_ERR1713385_db8	SVK.9_ERR1713389_db8	SRB.37_ERR1713388_db8	SWE.41_ERR1713391_db8	SWE.41a_ERR1713392_db8	SVN.38_ERR1713390_db8	TUR.46_ERR1713395_db8	USA.74b_ERR1713399_db8	USA.74a_ERR1713398_db8	USA.74c_ERR1713400_db8	USA.74_ERR1713397_db8	USA.74e_ERR1713402_db8	USA.74d_ERR1713401_db8	USA.74i_ERR1713406_db8	ZMB.49_ERR1713410_db8	ZMB.49b_ERR1713411_db8	XK.60_ERR1713408_db8	ZAF.39_ERR1713409_db8	ECU.14_ERR1713352_db8	NZL.56_ERR1713382_db8	TZA.15_ERR1713396_db8	TGO.44_ERR1713394_db8	USA.74h_ERR1713405_db8	VNM.48_ERR1713407_db8
61648	Kluyvera intermedia	species	1	1	2	1	0	0	3	0	0	3	0	5	0	0	0	0	0	0	0	10	0	1	1	1	0	0	0	0	1	1	2	2	2	1	2	1	4	0	16	1	2	2	0	2	1	1	0	0	0	0	1	0	3	0	0	1	1	3	0	0	2	0	0	0	0	1	2	0	3	1	1	1	0	0	1	0	3	0	9	1
573	Klebsiella pneumoniae	species	6	5	15	42	1	1	18	2	8	32	15	8	5	2	2	4	1	8	3	38	1	57	65	3	4	8	3	9	26	29	3	6	4	14	15	6	21	1	12	159	16	16	3	12	19	19	24	3	38	27	17	4	59	4	34	31	23	10	6	28	15	9	1	5	5	24	7	93	154	6	26	29	28	36	1	10	65	1	18	53
51288	Kluyvera ascorbata	species	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	1
580	Kluyvera cryocrescens	species	3	1	1	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	2	0	2	0	4	1	0	2	2	1	0	0	0	0	0	0	1	0	1	1	3	1	0	1	1	0	0	1	0	2	3	1	3	2	0	0	0	0	3	1	10	0	4	3
562	Escherichia coli	species	13	8	18	24	2	3	31	5	18	26	43	20	26	7	9	4	2	13	20	87	1	35	25	17	28	6	5	37	29	131	12	22	38	20	17	25	64	7	28	180	15	30	4	38	32	32	43	30	54	39	7	8	81	12	120	183	41	19	38	50	26	47	3	10	6	28	9	14	28	23	27	99	26	31	11	13	115	4	57	240
294	Pseudomonas fluorescens	species	1	10	2	3	10	1	22	1	2	3	1	0	1	1	1	2	0	2	0	5	0	0	1	4	4	0	10	13	2	2	17	3	19	2	59	1	2	69	3	3	1	22	2	4	0	7	3	13	1	3	2	4	1251	3	683	1	3	1	2	8	0	3	58	1	16	26	2	15	42	1	1	2	2	3	48	81	3	0	2	71
1608996	Pseudomonas helleri	species	1	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	4	0	0	0	1	0	0	0	2	2	1	3	2	2	0	14	0	1	11	1	1	0	1	1	3	1	1	2	3	0	1	0	1	359	2	101	1	2	0	1	0	0	0	14	0	16	0	2	1	1	0	0	0	1	1	76	31	1	0	0	6
296	Pseudomonas fragi	species	2	1	1	3	1	2	3	1	2	3	1	1	3	1	2	2	0	2	1	30	0	1	1	4	1	1	1	9	2	2	15	1	5	1	4	1	1	65	1	2	0	5	2	4	2	15	3	14	0	4	3	3	2703	3	413	2	4	2	3	2	1	1	60	1	4	1	1	1	1	1	0	1	1	6	336	262	3	1	0	182
470	Acinetobacter baumannii	species	1	1	3	3	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	3	0	3	1	0	0	0	0	0	5	0	0	0	1	1	2	1	0	0	0	6	1	2	0	3	1	2	3	2	2	1	0	0	1	0	4	1	1	0	0	0	3	1	0	0	1	0	1	2	19	0	3	1	1	1	2	1	3	6	1	3
134533	Acinetobacter parvus	species	14	86	83	10	2	10	28	17	57	35	9	15	77	42	2	390	6	75	56	10	2	82	69	32	5	6	9	78	46	3	53	109	65	5	22	69	136	10	74	6	27	36	2	36	118	154	2	74	37	88	35	57	11	12	83	22	18	135	117	96	63	146	2	6	13	36	57	46	13	26	33	11	141	75	62	25	333	3	82	91
40215	Acinetobacter junii	species	1	3	7	4	1	2	3	2	3	2	5	1	8	3	0	6	1	4	3	4	1	8	10	2	3	1	3	3	13	0	3	4	3	3	1	4	6	29	3	7	5	4	1	2	6	7	2	9	4	5	1	4	14	2	196	10	2	4	4	5	3	8	2	2	2	4	2	4	3	4	14	7	5	9	5	2	29	697	5	300
1318	Streptococcus parasanguinis	species	1	0	3	2	0	1	3	1	1	1	4	1	1	2	1	0	1	2	2	1	0	2	2	2	0	1	1	3	1	4	2	1	2	0	3	2	3	0	1	3	1	2	0	3	4	1	1	1	6	3	1	1	1	11	2	3	5	2	3	8	1	9	0	1	2	4	4	5	4	3	6	2	5	5	1	1	2	0	7	0
1895730	Burkholderiales bacterium 68-10	species	2	5	5	16	0	0	1	5	2	4	1	2	2	0	1	1	8	1	0	1	5	4	99	8	1	0	2	1	11	1	11	1	1	6	3	2	3	0	2	4	32	5	96	1	3	1	4	1	15	2	3	6	1	1	3	4	4	1	2	4	4	4	0	1	1	2	2	4	2	60	5	2	0	2	1	2	3	1	3	2
721785	[Acidovorax] ebreus	species	1	1	5	17	0	1	2	2	5	4	1	2	14	7	0	2	1	6	3	4	1	5	16	6	0	2	1	5	55	0	4	2	3	12	3	7	13	1	13	1	3	8	24	3	8	18	1	3	30	7	3	2	3	0	26	14	3	11	3	8	2	7	1	2	1	13	6	6	1	1	40	9	4	6	3	2	8	1	12	14
1797569	Burkholderiales bacterium RIFCSPLOWO2_12_FULL_65_40	species	1	2	2	1	0	0	1	17	1	4	1	2	3	5	1	31	0	2	5	1	0	2	2	3	0	0	0	2	2	0	2	6	3	1	4	5	12	4	5	2	3	1	5	3	4	4	1	1	1	9	2	94	2	4	1	2	3	5	4	5	4	3	4	3	2	1	1	2	2	32	3	1	3	1	6	1	1	2	4	2
1307	Streptococcus suis	species	14	5	18	1	0	0	10	0	0	5	2	0	3	2	0	0	0	2	0	0	0	9	4	1	0	1	2	0	27	0	3	2	0	3	0	3	4	0	4	3	0	16	0	0	27	12	0	3	3	1	0	1	3	0	0	19	3	1	4	23	3	7	0	1	0	4	0	7	15	5	17	0	1	10	0	0	18	0	0	0
1006576	Defluviitoga tunisiensis	species	2	2	0	1	0	1	1	0	1	1	0	0	0	0	3	1	0	2	0	0	0	0	0	2	1	0	0	0	6	1	4	0	3	0	2	0	0	0	0	1	1	3	2	0	0	1	0	0	0	1	1	2	2	2	4	2	2	2	1	0	0	1712	4	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0
40518	Ruminococcus bromii	species	4	7	6	3	1	1	13	13	4	20	3	10	4	7	1	13	3	6	38	5	1	18	1	19	0	5	1	19	4	1	9	7	15	4	30	47	98	2	69	37	5	7	1	27	28	18	1	26	2	44	15	22	4	48	4	15	22	11	58	55	27	40	2	3	11	11	18	7	46	11	21	5	68	14	1	10	39	11	50	1
649756	Anaerostipes hadrus	species	3	2	7	9	1	2	7	5	15	10	13	9	5	6	2	4	5	4	11	1	1	9	3	15	0	12	4	17	4	4	13	3	5	1	27	23	38	0	18	6	6	15	1	14	18	2	1	7	20	22	4	3	0	76	22	12	16	11	27	26	6	52	1	2	16	48	15	23	30	15	16	4	46	26	1	3	6	2	26	0
301302	Roseburia faecis	species	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	3	0	0	1	1	0	0	1	1	0	0	1	0	0
360807	Roseburia inulinivorans	species	3	1	1	0	0	0	2	1	2	3	2	1	2	2	0	2	1	1	5	3	0	7	1	4	0	2	0	5	1	1	2	2	2	1	3	9	13	1	6	9	4	6	0	2	8	2	1	3	3	7	3	1	2	27	2	34	16	2	7	9	6	5	0	0	5	5	2	5	4	3	6	3	23	5	0	3	13	2	7	0
285	Comamonas testosteroni	species	4	9	50	2	0	1	3	1	2	2	1	3	11	2	0	3	0	2	1	7	1	2	3	1	1	1	1	1	4	1	1	6	4	2	6	3	5	1	4	3	2	19	1	3	57	7	0	2	1	5	3	6	2	1	2	4	2	3	3	3	4	2	5	1	2	7	33	12	10	3	2	5	5	8	13	4	83	14	5	89
1335	Streptococcus equinus	species	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106648	Acinetobacter bereziniae	species	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	10	1	1	1	0	0	0	0	0	0	0	1	1	1	0	9
106649	Acinetobacter guillouiae	species	2	30	0	0	0	0	1	0	0	5	0	4	1	0	1	3	0	2	1	1	0	1	1	1	0	0	1	4	0	2	2	2	37	1	5	2	2	2	1	0	1	6	0	22	8	8	0	5	0	12	5	1	9	1	2	0	0	2	2	9	45	1	12	0	58	1	8	3	4	1	0	1	2	1	11	21	1	1	3	10
