name	rank	AUS.18a	AUS.18	BRA.53	BWA.19	CAN.22a	CAN.22	CAN.22b	CHE.67	DEU.27	FIN.25	ECU.14a	ESP.75	IRN.12	HRV.68	ISR.29	ISL.28	HUN.61	LVA.31	MKD.62	MLT.63	NLD.43	MYS.54	SGP.52	POL.36	TCD.1	USA.74g	USA.74f	AUT.70	CIV.13	COL.2	CZE.23	BGR.66	ALB.17	BRA.53a	CAN.22c	DNK.71_RL	DNK.71_RD	GEO.59	DNK.71_RA	IND.11	CHN.64	ETH.24	GHA.4	IRL.69	KEN.72	KAZ.6	KHM.21	MDA.65	NGA.50	LUX.32	NOR.34	ITA.30	LKA.40	NPL.33	SEN.8	PAK.7	PER.35	SVK.9	SRB.37	SWE.41	SWE.41a	SVN.38	TUR.46	USA.74b	USA.74a	USA.74c	USA.74	USA.74e	USA.74d	USA.74i	ZMB.49	ZMB.49b	XK.60	ZAF.39	ECU.14	NZL.56	TZA.15	TGO.44	USA.74h	VNM.48
Abiotrophia	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001322401481089659	0.0
Abyssicoccus	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013533631073216944	0.0	0.0	0.00024919013207077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetivibrio	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002726281352235551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacter	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047824007651841227	0.0	0.0	0.0	0.00030845157310302283	0.0	0.0	0.0	0.0	0.0	0.0	0.0005812263876780006	0.0	0.0006049606775559589	0.0029282576866764276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002827654460624912	0.0	0.0	0.00018264840182648402	0.00074757039621231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004729250413809411	0.0	0.0	0.0	0.0002625705658395694	0.0	0.0	0.0
Acetobacterium	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010080645161290322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009129640900791236	0.0	0.0003780718336483932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016969285593076533	0.0	0.0	0.0	0.0	0.0	0.0007952286282306163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acholeplasma	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001584786053882726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010080645161290322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00030845157310302283	0.0006963788300835655	0.0	0.0005470459518599562	0.00011669973159061734	0.0	0.0002043318348998774	0.0	0.0	0.00020165355918531962	0.0	0.0	0.00030432136335970786	0.00019817677368212446	0.0	0.00017733640716439085	0.00041459369817578774	0.0	0.0	0.0	0.0	0.00013533631073216944	6.222000995520159e-05	0.00018264840182648402	0.00124595066035385	0.0	0.0	0.00016969285593076533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003439972480220158	0.0003681885125184094	0.0010905125408942203	0.00011823126034523528	0.001015744032503809	0.0	0.0	0.0002625705658395694	0.001497454327643007	0.0	0.0
Achromobacter	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005952380952380953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047824007651841227	0.0	0.00029515938606847696	0.0	0.00030845157310302283	0.0	0.00026068821689259646	0.0	0.00011669973159061734	0.0	0.0002043318348998774	0.0002906131938390003	0.0	0.00020165355918531962	0.0	0.0	0.0	0.0	0.0007561436672967864	0.0	0.00041459369817578774	0.0	0.0	0.0	0.0001413827230312456	0.0	0.00024888003982080636	0.00018264840182648402	0.0	0.0	0.0	0.00033938571186153065	0.00025329280648429586	0.0	0.007819287576020852	0.0	0.0	0.00039761431411530816	0.0020876826722338203	0.0	0.0	0.0003439972480220158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002994908655286014	0.0	0.0010464461080254366
Acidaminococcus	genus	0.0	0.0	0.0006451612903225806	0.0	0.0	0.0	0.0008442380751371887	0.0	0.0	0.0003852080123266564	0.0	0.0004621072088724584	0.0004317789291882556	0.0	0.0	0.0	0.0	0.0	0.0003454231433506045	0.0	0.0	0.0022304832713754648	0.0010080645161290322	0.0004904364884747426	0.0	0.0013908205841446453	0.002036659877800407	0.0003007518796992481	0.0	0.0005455537370430987	0.00029515938606847696	0.0	0.0	0.0	0.00026068821689259646	0.0002735229759299781	0.00023339946318123468	0.0	0.0004086636697997548	0.0005812263876780006	0.0	0.00020165355918531962	0.0	0.00017568517217146873	0.00030432136335970786	0.0	0.0	0.0	0.0	0.00018583906337112061	0.0	0.00020483408439164277	0.0001413827230312456	0.0	0.0	0.0012785388127853881	0.0	0.0003720238095238095	0.00026089225150013044	0.00033938571186153065	0.0005065856129685917	0.00013631406761177754	0.0	0.001597444089456869	0.00040064102564102563	0.0011928429423459245	0.0010438413361169101	0.0005083884087442806	0.0007394626571358146	0.0003439972480220158	0.0	0.0	0.00023646252069047056	0.0	0.0	8.499065102838688e-05	0.00039385584875935406	0.0	0.00039672044432689763	0.0
Acidiphilium	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007711289327575571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017568517217146873	0.0	0.0	0.0	0.0	0.0	0.00018583906337112061	0.0	0.0	0.0	0.00013533631073216944	0.0	0.00018264840182648402	0.00299028158484924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009458500827618822	0.0	0.0	0.0	0.0	0.0	0.0002644802962179318	0.0
Acidipropionibacterium	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007363770250368188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
