genus	sum_abundance	ALB.17	AUS.18	AUS.18a	AUT.70	BGR.66	BRA.53	BRA.53a	BWA.19	CAN.22	CAN.22a	CAN.22b	CAN.22c	CHE.67	CHN.64	CIV.13	COL.2	CZE.23	DEU.27	DNK.71_RA	DNK.71_RD	DNK.71_RL	ECU.14	ECU.14a	ESP.75	ETH.24	FIN.25	GEO.59	GHA.4	HRV.68	HUN.61	IND.11	IRL.69	IRN.12	ISL.28	ISR.29	ITA.30	KAZ.6	KEN.72	KHM.21	LKA.40	LUX.32	LVA.31	MDA.65	MKD.62	MLT.63	MYS.54	NGA.50	NLD.43	NOR.34	NPL.33	NZL.56	PAK.7	PER.35	POL.36	SEN.8	SGP.52	SRB.37	SVK.9	SVN.38	SWE.41	SWE.41a	TCD.1	TGO.44	TUR.46	TZA.15	USA.74	USA.74a	USA.74b	USA.74c	USA.74d	USA.74e	USA.74f	USA.74g	USA.74h	USA.74i	VNM.48	XK.60	ZAF.39	ZMB.49	ZMB.49b
Abiotrophia	0.0001031992648146404	8.378074244578967e-07	0	8.776872589651365e-07	2.778916010547755e-06	0	0	7.431424670992252e-07	3.048564857607632e-06	2.41057955153578e-06	3.53847024854215e-06	2.849956443165694e-06	2.75729718700541e-06	4.198505332101772e-06	8.69356571814069e-07	1.912740766243951e-06	1.114027387249288e-06	7.85185127023324e-07	8.261649752315741e-07	5.745802260513526e-07	1.156876235182295e-06	1.216395256447746e-06	0	5.017199587335334e-06	0	1.2085002889071e-06	7.101458177914962e-07	0	1.122846730859814e-06	0	0	9.163492280215928e-07	1.008830582324395e-06	0	0	0	1.224757992923757e-06	4.763888959465022e-07	9.096284167917404e-07	0	0	2.258425359823621e-06	6.706692205750586e-07	4.23352221427888e-07	1.332785114389614e-06	5.247295412761877e-07	2.016447151188671e-06	1.312036251561631e-05	0	3.182365114659024e-07	3.597367602795561e-06	0	4.571378416876798e-07	6.893398703507361e-06	4.00976940217145e-06	4.897944789713271e-07	1.023681332096044e-06	1.285591052629098e-06	1.062550581834989e-06	2.677494642896902e-06	2.223704338812488e-06	4.311513768172492e-07	0	0	0	4.218747989502911e-07	1.478128866230816e-06	0	1.073757474694221e-06	7.113699865533289e-07	2.20568246296797e-06	2.344086046710603e-07	0	0	1.134138826221991e-06	3.3734936507476e-07	0	1.795054624509476e-06	1.058298488855588e-06	1.949647294878304e-06	8.92004163875437e-07
Absicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abyssalbus	4.926592782226273e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.926592782226273e-08	0	0	0	0
Abyssibius	7.105127409512462e-05	3.5906032476767e-07	0	0	7.578861846948421e-07	0	3.233215730499829e-07	7.431424670992252e-07	6.097129715215266e-07	0	0	0	2.584966112817572e-06	1.049626333025443e-06	2.173391429535172e-06	9.563703831219754e-07	5.570136936246441e-07	5.234567513488826e-07	1.652329950463148e-06	7.6610696806847e-07	2.313752470364591e-07	7.298371538686478e-07	2.096955461819316e-07	6.898649432586084e-06	0	1.510625361133875e-07	7.101458177914962e-07	1.604610237766331e-07	5.614233654299071e-06	3.351728737889785e-06	0	4.581746140107964e-07	7.205932730888533e-07	2.034526495929203e-06	6.698300507195315e-07	0	1.633010657231675e-06	3.175925972976681e-07	4.548142083958703e-07	0	3.788543217996187e-08	1.21607519375118e-06	2.682676882300235e-06	0	6.663925571948072e-07	5.247295412761877e-07	5.041117877971676e-07	0	0	3.182365114659024e-07	1.564072870780679e-07	7.689009698609274e-08	4.571378416876798e-07	6.67103100339422e-07	2.004884701085725e-06	1.632648263237757e-07	3.071043996288132e-06	4.28530350876366e-07	1.062550581834989e-06	9.864453947514905e-07	9.53016145205352e-07	2.155756884086246e-07	0	1.049490367477553e-06	0	2.109373994751456e-07	2.956257732461632e-07	0	3.221272424082662e-06	1.778424966383322e-07	0	2.812903256052723e-06	4.606291088116506e-06	0	5.155176482827231e-07	2.02409619044856e-06	2.955955669335764e-07	0	1.41106465180745e-06	8.355631263764162e-07	0
Abyssicoccus	0.0001474517561896477	1.79530162383835e-06	0	8.776872589651365e-07	0	0	0	0	6.097129715215266e-07	0	0	9.499854810552312e-07	5.169932225635144e-07	0	4.346782859070345e-07	1.912740766243951e-06	8.355205404369661e-06	2.617283756744413e-07	8.261649752315741e-07	1.915267420171175e-07	2.313752470364591e-07	0	2.096955461819316e-07	1.254299896833833e-06	3.528904017692513e-07	3.323375794494526e-06	0	0	5.614233654299071e-07	5.586214563149642e-07	0	0	2.882373092355414e-07	0	4.465533671463543e-07	1.492365802736104e-06	0	0	1.819256833583481e-06	1.142968174051193e-06	3.788543217996187e-08	0	0	2.822348142852587e-07	9.995888357922108e-07	0	5.041117877971676e-07	0	0	9.547095343977072e-07	6.975765003681828e-05	0	2.285689208438399e-06	2.223677001131407e-05	1.202930820651435e-06	2.857134460666075e-07	0	6.427955263145489e-07	3.541835272783298e-07	2.818415413575687e-07	4.76508072602676e-07	0	0	0	0	0	5.912515464923263e-07	0	0	1.067054979829993e-06	1.47045497531198e-06	7.032258140131808e-07	9.212582176233012e-07	4.309142168295702e-06	2.577588241413615e-06	2.36144555552332e-06	0	2.692581936764215e-06	1.763830814759313e-06	2.785210421254721e-07	0
Acaricomes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaryochloris	2.956257732461632e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.956257732461632e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aceticella	3.902376592641203e-05	0	0	0	2.526287282316141e-07	0	0	0	5.487416743693739e-06	0	0	6.333236540368208e-07	0	0	0	0	1.671041080873932e-06	2.617283756744413e-07	0	3.83053484034235e-07	1.156876235182295e-07	2.432790512895493e-07	0	6.271499484169167e-07	0	0	3.550729088957481e-07	0	0	0	8.818238468683496e-06	0	0	5.231639560960808e-06	0	0	0	0	2.274071041979351e-07	0	0	0	0	0	0	3.498196941841252e-07	0	0	6.518033769932962e-06	0	0	0	0	0	8.019538804342901e-07	4.081620658094393e-08	0	0	3.541835272783298e-07	1.409207706787843e-07	3.17672048401784e-07	0	0	1.499271953539361e-07	0	0	2.956257732461632e-07	0	3.221272424082662e-06	0	1.838068719139975e-07	0	0	0	1.031035296565446e-07	1.6867468253738e-06	0	1.994505138343863e-07	3.527661629518626e-07	0	0
Acetilactobacillus	3.564940954534472e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.156876235182295e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.543399666490929e-05	0	0	0	0	0	0	0	0	9.972525691719313e-08	0	0	0
Acetivibrio	0.006016845961192583	5.984338746127834e-07	2.389314983394261e-06	1.843143243826787e-05	0	2.756232461748317e-06	9.699647191499488e-07	1.48628493419845e-06	3.109536154759786e-05	1.446347730921468e-05	4.246164298250581e-05	0.0002856289679706	1.051219552545812e-05	6.297757998152658e-06	3.91210457316331e-06	2.773474111053729e-05	1.058326017886824e-05	0.0001431654214939	9.087814727547316e-06	1.723740678154058e-06	1.272563858700525e-06	1.216395256447746e-06	4.193910923638633e-07	1.066154912308758e-05	1.411561607077005e-06	8.61056455846309e-06	5.68116654233197e-06	4.813830713298994e-07	2.694832154063554e-05	2.234485825259857e-06	0.0010670068547107	4.352658833102566e-06	0	4.069052991858406e-06	2.902596886451303e-06	6.118699791218024e-05	2.653642318001472e-06	4.28750006351852e-06	5.230363396552508e-06	2.800272026425424e-05	4.167397539795805e-07	2.08470033214488e-06	1.073070752920094e-05	0	6.663925571948072e-07	1.014477113133963e-05	1.512335363391503e-06	2.829078167429766e-05	0.0004073771106208	4.455311160522633e-06	5.16144047357624e-06	7.689009698609274e-08	1.188558388387967e-05	6.003927903054798e-06	0.0001042540044564	2.612237221180411e-06	1.023681332096044e-05	2.14265175438183e-06	3.187651745504968e-06	0.0033997135926256	3.17672048401784e-06	0	1.450688907984253e-06	1.319359319114638e-05	2.614236746871071e-06	5.167966287141066e-06	9.164398970631056e-06	2.712865525383645e-05	4.402405646246305e-05	8.892124831916611e-07	8.087502364215891e-06	9.376344186842412e-07	5.527549305739808e-06	0	4.124141186261785e-06	6.07228857134568e-06	1.477977834667882e-07	1.994505138343863e-07	1.904937279940058e-05	1.671126252752832e-06	1.338006245813155e-06
