genus	sum_abundance	ALB.17	AUS.18	AUS.18a	AUT.70	BGR.66	BRA.53	BRA.53a	BWA.19	CAN.22	CAN.22a	CAN.22b	CAN.22c	CHE.67	CHN.64	CIV.13	COL.2	CZE.23	DEU.27	DNK.71_RA	DNK.71_RD	DNK.71_RL	ECU.14	ECU.14a	ESP.75	ETH.24	FIN.25	GEO.59	GHA.4	HRV.68	HUN.61	IND.11	IRL.69	IRN.12	ISL.28	ISR.29	ITA.30	KAZ.6	KEN.72	KHM.21	LKA.40	LUX.32	LVA.31	MDA.65	MKD.62	MLT.63	MYS.54	NGA.50	NLD.43	NOR.34	NPL.33	NZL.56	PAK.7	PER.35	POL.36	SEN.8	SGP.52	SRB.37	SVK.9	SVN.38	SWE.41	SWE.41a	TCD.1	TGO.44	TUR.46	TZA.15	USA.74	USA.74a	USA.74b	USA.74c	USA.74d	USA.74e	USA.74f	USA.74g	USA.74h	USA.74i	VNM.48	XK.60	ZAF.39	ZMB.49	ZMB.49b
Abiotrophia	0.001492033308108254	1.22490673751721e-05	2.50797670679816e-06	6.84132297774837e-06	2.54117977235255e-05	2.1731945444031e-06	2.5045538746823e-06	2.12525736635234e-06	1.07556728522801e-05	9.03098037555253e-05	4.6213386663334e-05	4.20254185847265e-05	6.39244621802389e-05	2.39066196044218e-05	1.04967069316729e-05	6.0957938180497e-06	1.89505362436049e-05	1.19235677070809e-05	4.50250405826503e-05	2.68635638836051e-05	2.96215290076416e-05	4.22181296476904e-05	5.810769834510419e-07	3.31150150016738e-05	1.60369342066553e-05	9.880990109609419e-06	2.31148528812522e-05	3.43445314242654e-06	1.44589928461483e-06	2.10191616873422e-05	1.64057951724135e-05	2.39377874799758e-06	1.14214014188048e-05	4.23164010922127e-06	6.17228573079423e-06	2.45809935085439e-05	4.45553040726962e-06	1.0754465902119e-05	8.061562032784521e-06	6.3608513776286e-06	1.660401360482e-06	1.48222722982966e-05	3.42733011513796e-05	1.00638464983311e-05	1.56127360895631e-05	3.04851877038214e-06	7.0259447881528e-06	9.18536465486059e-05	1.0741284269078e-05	2.44739356764702e-06	0.000122092155601	8.98820690116338e-06	1.01094808318208e-05	4.36207183748497e-05	4.4991491430305e-05	4.29407566190525e-06	5.81779564531024e-06	2.66277414277577e-05	1.11401757923228e-05	4.89804461626269e-05	3.23147421941758e-05	9.80765913160449e-06	1.16008930505737e-06	6.87618145752858e-07	9.02435628639962e-07	1.50226986893194e-06	1.38726749670016e-05	1.41095302548803e-05	1.00134570667768e-05	6.96557945473461e-06	1.64064582637657e-05	5.48257127641769e-06	8.274878758556709e-06	1.0026261268283e-05	1.87970753996964e-05	1.9678171526589e-05	3.4293366043172e-07	4.36992024412667e-05	9.098554313768621e-06	1.51636134710376e-05	9.905808804097821e-06
Absicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abyssalbus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abyssibius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abyssicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaricomes	4.858843996621885e-06	1.2472843498881e-06	0	9.47202639994118e-08	9.25081606209444e-08	0	0	0	0	0	0	0	4.38929340353721e-07	0	0	0	0	0	0	1.55397280222322e-07	1.92440625957366e-07	0	0	0	2.4330933514105e-07	0	0	0	6.10577347864191e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.82044354582122e-07	0	0	0	0	0	0	1.26341773714778e-07	0	0	1.37837740765672e-07	9.860949127367271e-08	0	0	0	0	0	0	0	0	0	9.07918261286536e-08	0	0	1.04442999658197e-07	0	0	2.43609106451682e-07	0	0	0
Acaryochloris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aceticella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetilactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetivibrio	0.004557936081787511	2.5560008509777e-05	8.55925526429027e-06	3.81755333713359e-05	6.21731194685038e-05	1.42175006131272e-05	2.64363131341752e-05	7.069461130629221e-05	5.85355170903783e-05	4.09085204094098e-05	4.25257835287921e-05	3.94168418072998e-05	5.01387063939042e-05	4.5455356507902e-05	3.86291358072089e-05	3.33527616795248e-05	0.000140747597546	2.86112453744853e-05	4.62629289571764e-05	4.08212202148917e-05	5.40732362561826e-05	7.57122867113101e-05	2.35703348609635e-06	0.0001109162452351	4.57150653862975e-05	4.08703590681714e-05	6.707629370757181e-05	1.20248353604008e-06	1.15729483180092e-05	2.35683837207857e-05	0.0001042562664948	8.94899064692427e-05	3.02421014002965e-05	2.21768939060392e-05	1.29232060657001e-05	8.03597322266314e-05	1.70352661223933e-05	1.91881266226389e-05	6.64607441617725e-05	3.49967944204477e-05	3.32367452045452e-06	4.80905777006577e-05	8.40353973799293e-05	1.59964072631816e-05	5.12678775094357e-05	3.60415483389989e-05	7.63450144336562e-05	0.0001391868141912	0.0001555040723641	3.9042665388962e-05	0.0002233575390573	2.98477613184177e-06	0.0001046231183813	0.0001182286219897	0.0001291394649816	9.06640685277819e-06	2.03096113560682e-05	4.54134469642417e-05	3.8618207514781e-05	7.66171366582034e-05	8.03589877193616e-05	4.6572202301339e-05	8.70777535122525e-07	4.49302183475916e-05	1.26797476035677e-06	6.212594186011429e-05	0.0001047124705234	8.12595046489224e-05	7.45537554776442e-05	8.38309846543397e-05	8.8609083068603e-05	6.29335179064709e-05	5.90427383431136e-05	0.0001001876164421	6.04801159153854e-05	5.37405300723415e-05	3.29088563946457e-07	6.25732224894045e-05	0.0001144288919167	0.0001135553279627	8.29654220001615e-05
