genus	sum_abundance	ALB.17	AUS.18	AUS.18a	AUT.70	BGR.66	BRA.53	BRA.53a	BWA.19	CAN.22	CAN.22a	CAN.22b	CAN.22c	CHE.67	CHN.64	CIV.13	COL.2	CZE.23	DEU.27	DNK.71_RA	DNK.71_RD	DNK.71_RL	ECU.14	ECU.14a	ESP.75	ETH.24	FIN.25	GEO.59	GHA.4	HRV.68	HUN.61	IND.11	IRL.69	IRN.12	ISL.28	ISR.29	ITA.30	KAZ.6	KEN.72	KHM.21	LKA.40	LUX.32	LVA.31	MDA.65	MKD.62	MLT.63	MYS.54	NGA.50	NLD.43	NOR.34	NPL.33	NZL.56	PAK.7	PER.35	POL.36	SEN.8	SGP.52	SRB.37	SVK.9	SVN.38	SWE.41	SWE.41a	TCD.1	TGO.44	TUR.46	TZA.15	USA.74	USA.74a	USA.74b	USA.74c	USA.74d	USA.74e	USA.74f	USA.74g	USA.74h	USA.74i	VNM.48	XK.60	ZAF.39	ZMB.49	ZMB.49b
Abiotrophia	0.0001031992648146404	8.378074244578967e-07	0	8.776872589651365e-07	2.778916010547755e-06	0	0	7.431424670992252e-07	3.048564857607632e-06	2.41057955153578e-06	3.53847024854215e-06	2.849956443165694e-06	2.75729718700541e-06	4.198505332101772e-06	8.69356571814069e-07	1.912740766243951e-06	1.114027387249288e-06	7.85185127023324e-07	8.261649752315741e-07	5.745802260513526e-07	1.156876235182295e-06	1.216395256447746e-06	0	5.017199587335334e-06	0	1.2085002889071e-06	7.101458177914962e-07	0	1.122846730859814e-06	0	0	9.163492280215929e-07	1.008830582324395e-06	0	0	0	1.224757992923757e-06	4.763888959465022e-07	9.096284167917405e-07	0	0	2.258425359823621e-06	6.706692205750586e-07	4.23352221427888e-07	1.332785114389614e-06	5.247295412761877e-07	2.016447151188671e-06	1.312036251561631e-05	0	3.182365114659024e-07	3.597367602795561e-06	0	4.571378416876798e-07	6.893398703507361e-06	4.00976940217145e-06	4.897944789713271e-07	1.023681332096044e-06	1.285591052629098e-06	1.062550581834989e-06	2.677494642896902e-06	2.223704338812488e-06	4.311513768172492e-07	0	0	0	4.218747989502911e-07	1.478128866230816e-06	0	1.073757474694221e-06	7.113699865533289e-07	2.20568246296797e-06	2.344086046710603e-07	0	0	1.134138826221991e-06	3.3734936507476e-07	0	1.795054624509476e-06	1.058298488855588e-06	1.949647294878304e-06	8.92004163875437e-07
Abyssalbus	4.926592782226272e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.926592782226272e-08	0	0	0	0
Abyssibius	7.105127409512462e-05	3.5906032476767e-07	0	0	7.578861846948421e-07	0	3.233215730499829e-07	7.431424670992252e-07	6.097129715215266e-07	0	0	0	2.584966112817572e-06	1.049626333025443e-06	2.173391429535172e-06	9.563703831219754e-07	5.570136936246441e-07	5.234567513488826e-07	1.652329950463148e-06	7.6610696806847e-07	2.313752470364591e-07	7.298371538686478e-07	2.096955461819316e-07	6.898649432586084e-06	0	1.510625361133875e-07	7.101458177914962e-07	1.604610237766331e-07	5.614233654299071e-06	3.351728737889785e-06	0	4.581746140107964e-07	7.205932730888533e-07	2.034526495929203e-06	6.698300507195315e-07	0	1.633010657231675e-06	3.175925972976681e-07	4.548142083958703e-07	0	3.788543217996187e-08	1.21607519375118e-06	2.682676882300235e-06	0	6.663925571948072e-07	5.247295412761877e-07	5.041117877971676e-07	0	0	3.182365114659024e-07	1.564072870780679e-07	7.689009698609273e-08	4.571378416876798e-07	6.67103100339422e-07	2.004884701085725e-06	1.632648263237757e-07	3.071043996288132e-06	4.28530350876366e-07	1.062550581834989e-06	9.864453947514905e-07	9.53016145205352e-07	2.155756884086246e-07	0	1.049490367477553e-06	0	2.109373994751456e-07	2.956257732461632e-07	0	3.221272424082662e-06	1.778424966383322e-07	0	2.812903256052723e-06	4.606291088116506e-06	0	5.155176482827231e-07	2.02409619044856e-06	2.955955669335764e-07	0	1.41106465180745e-06	8.355631263764162e-07	0
Abyssicoccus	0.0001474517561896477	1.79530162383835e-06	0	8.776872589651365e-07	0	0	0	0	6.097129715215266e-07	0	0	9.499854810552312e-07	5.169932225635144e-07	0	4.346782859070345e-07	1.912740766243951e-06	8.355205404369661e-06	2.617283756744413e-07	8.261649752315741e-07	1.915267420171175e-07	2.313752470364591e-07	0	2.096955461819316e-07	1.254299896833833e-06	3.528904017692513e-07	3.323375794494526e-06	0	0	5.614233654299071e-07	5.586214563149642e-07	0	0	2.882373092355414e-07	0	4.465533671463543e-07	1.492365802736104e-06	0	0	1.819256833583481e-06	1.142968174051193e-06	3.788543217996187e-08	0	0	2.822348142852587e-07	9.995888357922108e-07	0	5.041117877971676e-07	0	0	9.547095343977072e-07	6.975765003681828e-05	0	2.285689208438399e-06	2.223677001131407e-05	1.202930820651435e-06	2.857134460666075e-07	0	6.427955263145489e-07	3.541835272783298e-07	2.818415413575687e-07	4.76508072602676e-07	0	0	0	0	0	5.912515464923263e-07	0	0	1.067054979829993e-06	1.47045497531198e-06	7.032258140131808e-07	9.212582176233012e-07	4.309142168295702e-06	2.577588241413615e-06	2.36144555552332e-06	0	2.692581936764215e-06	1.763830814759313e-06	2.785210421254721e-07	0
Acaryochloris	2.956257732461632e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.956257732461632e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aceticella	3.902376592641203e-05	0	0	0	2.526287282316141e-07	0	0	0	5.487416743693739e-06	0	0	6.333236540368208e-07	0	0	0	0	1.671041080873932e-06	2.617283756744413e-07	0	3.83053484034235e-07	1.156876235182295e-07	2.432790512895493e-07	0	6.271499484169167e-07	0	0	3.550729088957481e-07	0	0	0	8.818238468683496e-06	0	0	5.231639560960808e-06	0	0	0	0	2.274071041979351e-07	0	0	0	0	0	0	3.498196941841252e-07	0	0	6.518033769932962e-06	0	0	0	0	0	8.019538804342901e-07	4.081620658094393e-08	0	0	3.541835272783298e-07	1.409207706787843e-07	3.17672048401784e-07	0	0	1.499271953539361e-07	0	0	2.956257732461632e-07	0	3.221272424082662e-06	0	1.838068719139975e-07	0	0	0	1.031035296565446e-07	1.6867468253738e-06	0	1.994505138343863e-07	3.527661629518626e-07	0	0
Acetilactobacillus	3.564940954534471e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.156876235182295e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.543399666490929e-05	0	0	0	0	0	0	0	0	9.972525691719313e-08	0	0	0
Acetivibrio	0.006016845961192751	5.984338746127834e-07	2.389314983394261e-06	1.843143243826787e-05	0	2.756232461748317e-06	9.699647191499488e-07	1.48628493419845e-06	3.109536154759786e-05	1.446347730921468e-05	4.246164298250581e-05	0.0002856289679706062	1.051219552545812e-05	6.297757998152658e-06	3.91210457316331e-06	2.773474111053729e-05	1.058326017886824e-05	0.0001431654214939194	9.087814727547315e-06	1.723740678154058e-06	1.272563858700525e-06	1.216395256447746e-06	4.193910923638633e-07	1.066154912308758e-05	1.411561607077005e-06	8.61056455846309e-06	5.68116654233197e-06	4.813830713298994e-07	2.694832154063554e-05	2.234485825259857e-06	0.001067006854710703	4.352658833102566e-06	0	4.069052991858406e-06	2.902596886451303e-06	6.118699791218024e-05	2.653642318001472e-06	4.28750006351852e-06	5.230363396552508e-06	2.800272026425424e-05	4.167397539795805e-07	2.08470033214488e-06	1.073070752920094e-05	0	6.663925571948072e-07	1.014477113133963e-05	1.512335363391503e-06	2.829078167429766e-05	0.0004073771106208101	4.455311160522633e-06	5.16144047357624e-06	7.689009698609273e-08	1.188558388387967e-05	6.003927903054798e-06	0.0001042540044564577	2.612237221180411e-06	1.023681332096044e-05	2.14265175438183e-06	3.187651745504968e-06	0.003399713592625672	3.17672048401784e-06	0	1.450688907984253e-06	1.319359319114638e-05	2.614236746871071e-06	5.167966287141066e-06	9.164398970631057e-06	2.712865525383645e-05	4.402405646246305e-05	8.892124831916611e-07	8.087502364215891e-06	9.376344186842411e-07	5.527549305739808e-06	0	4.124141186261785e-06	6.07228857134568e-06	1.477977834667882e-07	1.994505138343863e-07	1.904937279940058e-05	1.671126252752832e-06	1.338006245813155e-06
Acetoanaerobium	0.4338312056141502	0.002491758967112707	0.002937264552919345	0.008020306172423417	0.0005964564273548408	0.001048195205202885	0.005350972033977218	0.00226361195478424	0.01499771967348651	0.003967813941827894	0.002399082828511578	0.003490879981050956	0.0004883862642483332	0.002018431438407927	0.0008715299632436041	0.00462660112341641	0.003437888517051303	0.00274553066082489	0.01249822374530325	0.001315022610689529	0.0007842463998300781	0.001972019989753087	0.0002533122197877734	0.003145784141259254	0.006043601020700199	0.004062524783697332	0.003043684975054353	6.578901974841958e-05	0.002741430293394236	0.009391543923567178	0.006898801895333389	0.0006923018417703134	0.0001477216209832149	0.007317610512572793	0.0001732627064527855	0.005033749852628877	0.002820413531371257	0.001694356506583059	0.009797152863055441	0.01292982746895413	2.720174030521262e-05	0.0006427826024113381	0.005311700226954464	0.001589123121833149	0.003415261855623387	0.0002992707483745191	0.00343148893953532	0.0015190919725112	0.003056957838098559	0.0002459968233631425	0.0006068602738629034	9.888066472411526e-05	0.01483320868708183	0.006187381255648139	0.00385539328018785	0.0003889784487163956	0.003153450343521863	0.004329870665254802	0.00203584691479584	0.01359321753967554	0.001953206589598369	0.0005288071636663561	5.89946822580263e-05	0.005385984565894801	0.00121846164897643	0.001588464086747584	0.0005152757227680623	0.0003917696979304027	0.002262406999180723	0.05685073305787902	0.003304847557013675	0.02142283678949287	0.02433319330208425	0.03748307315092016	0.01389907752240981	0.004446939330415486	6.099121864396125e-05	0.00292404425806902	0.01853362866916496	0.008523300931123697	0.004948393099098987
Acetobacter	0.001131626786637947	9.574941993804533e-07	2.787534147293305e-06	2.545293050998896e-05	6.820975662253579e-06	4.96121843114697e-06	2.65123689900986e-05	2.378055894717521e-05	6.097129715215265e-06	4.821159103071561e-06	1.061541074562645e-05	4.116603751239335e-06	4.135945780508115e-06	4.198505332101772e-06	1.912584457990952e-05	0.0001667272367909311	2.78506846812322e-06	2.355555381069972e-06	3.304659900926296e-06	2.777137759248204e-05	9.370697504976593e-06	6.325255333528281e-06	4.193910923638633e-07	8.780099277836834e-06	6.704917633615775e-06	7.583339312892055e-05	1.136233308466394e-05	1.604610237766331e-07	0.0001049861693353926	4.468971650519713e-06	8.818238468683496e-06	5.589730290931717e-05	1.873542510031019e-06	1.743879853653603e-06	1.56293678501224e-06	1.343129222462493e-05	6.123789964618783e-06	3.969907466220852e-06	1.728293991904307e-05	1.142968174051194e-05	2.095064399551891e-05	4.864300775004721e-06	6.036022985175527e-06	1.270056664283664e-06	5.664336736155861e-06	2.798557553473001e-06	1.56274654217122e-05	2.624072503123261e-05	3.259016884966481e-06	3.500601626124926e-06	3.284553028639425e-06	2.53737320054106e-06	3.177107999729375e-05	1.756704830893811e-05	1.082637738586292e-05	4.489782723903832e-07	9.213131988864394e-06	2.785447280696379e-06	9.562955236514904e-06	4.791306203078668e-06	7.306457113241032e-06	6.682846340667362e-06	4.835629693280844e-07	0	1.13662467255264e-07	0.0001335233738677672	1.359878556932351e-05	1.861770458596619e-06	1.610636212041331e-05	1.244897476468325e-06	6.984661132731905e-06	2.812903256052723e-06	3.685032870493205e-06	2.154571084147851e-06	5.670694131109954e-06	5.0602404761214e-06	2.216966752001823e-06	5.983515415031588e-07	3.880427792470489e-06	3.230844088655476e-05	4.460020819377185e-06
