taxonomy_id	name	rank	ISR.29_ERR1713366_db6.diamond	HUN.61_ERR1713361_db6.diamond	HRV.68_ERR1713360_db6.diamond	FIN.25_ERR1713356_db6.diamond	IRN.12_ERR1713364_db6.diamond	ISL.28_ERR1713365_db6.diamond	GEO.59_ERR1713357_db6.diamond	IRL.69_ERR1713363_db6.diamond	IND.11_ERR1713362_db6.diamond	GHA.4_ERR1713358_db6.diamond
1224	Pseudomonadota	phylum	86100	153061	1249492	1391170	1355503	1761852	1424659	2161730	947700	1370851
171552	Prevotellaceae	family	16518	8547	10793	27218	55885	26932	8429	46287	1201321	22109
0			865713	1247931	3233317	4122373	5520419	3042299	2873399	5909757	10321881	15479959
2011099	Aliarcobacter vitoriensis	species	7	25	68	39	83	6	6	26	101	10
1679466	Apibacter adventoris	species	10	7	76	26	42	28	18	20	68	25
286	Pseudomonas	genus	18210	3034	19089	44151	21225	34284	1899632	155938	34279	32009
1678	Bifidobacterium	genus	16361	8589	26045	60593	17145	14414	2461	107727	415838	4492
1760	Actinomycetes	class	13077	21475	53086	100108	33405	25033	9578	91995	114323	267706
1903414	Morganellaceae	family	112	34	659	546	816	831	837	1677	1181	485
2	Bacteria	domain	490166	445519	1337396	2153232	1853868	1788304	1601271	3204427	4438536	6208094
735512	uncultured Reyranella sp.	species	601	11	28	16	8	12	9	45	60	20
3379134	Pseudomonadati	kingdom	40213	98250	287047	349227	428394	382395	372814	549767	842736	1960486
1805029	Candidatus Infernicultor aquiphilus	species	12	66	11	26	26	11	2	19	374	721
252130	Uruburuella suis	species	15702	13854	57546	60762	75926	14221	5141	176550	10841	6606
1766253	Agathobacter	genus	6287	3544	5888	26879	20565	11223	1708	53380	57445	1155
216851	Faecalibacterium	genus	56059	14442	21159	124931	134503	20791	3958	154480	88219	3290
28197	Aliarcobacter butzleri	species	410	2648	7749	4861	6946	1372	260	3406	14743	593
815	Bacteroidaceae	family	4598	5770	15124	31430	28706	38168	5836	46431	308651	20949
186803	Lachnospiraceae	family	15733	12040	21695	61080	33815	28107	3530	113974	175337	23179
469	Acinetobacter	genus	71196	35086	525749	277066	765662	1042367	4006202	4610129	78497	114910
1236	Gammaproteobacteria	class	57036	39362	325989	290988	449619	524171	2992658	2136884	696924	338399
