taxonomy_id	name	rank	NLD.43_ERR1713379_db6.diamond	MYS.54_ERR1713377_db6.diamond	NGA.50_ERR1713378_db6.diamond	POL.36_ERR1713383_db6.diamond	PER.35_ERR1713385_db6.diamond	NOR.34_ERR1713380_db6.diamond	NPL.33_ERR1713381_db6.diamond	PAK.7_ERR1713384_db6.diamond	SEN.8_ERR1713386_db6.diamond	NZL.56_ERR1713382_db6.diamond
0			3118476	2745918	6346348	8219468	9486946	5218314	14740581	17673871	11650854	9022768
2	Bacteria	domain	809152	1332534	2585519	2913617	2850923	2102556	4266595	5388960	6790624	3290169
239934	Akkermansia	genus	1459	14299	122303	59865	41563	21588	12201	21039	23842	14839
1471398	Prolixibacteraceae	family	7757	1287	2001	3328	961	1675	1781	20649	1452	2538
237	Flavobacterium	genus	52220	36682	27073	111352	131428	1952210	95415	55246	35747	6201968
469	Acinetobacter	genus	47775	172121	140755	227136	665736	1608176	169845	407515	14204503	4296708
323413	Dokdonella	genus	2281	1864	2071	1952	892	27587	429	3366	470	4700
3379134	Pseudomonadati	kingdom	281765	237788	563626	431894	496382	664027	362409	1072897	1001337	960705
3140694	Candidatus Flexifilum breve	species	3340	110	241	1195	43	992	194	519	57	77
80864	Comamonadaceae	family	86101	392896	340093	279649	451608	1696272	114310	423993	184646	975256
2480090	Sulfuritalea sp.	species	8868	109	90	1713	56	331	51	428	68	99
130788	Sedimentibacter saalensis	species	51	43	91	441	139	39	1539	590	178	95
3003483	Lentilactobacillus terminaliae	species	1	0	2	4	2	2	5	1	1	0
80840	Burkholderiales	order	85286	227447	278063	184903	244921	1087220	87194	295645	154557	529691
1224	Pseudomonadota	phylum	287848	817750	1012131	737837	1379822	2544097	503950	1520202	2913322	2765282
84566	Sphingobacteriaceae	family	4292	3022	1503	3815	3831	12740	2423	5225	724	17462
1239	Bacillota	phylum	53090	256911	485690	682908	615490	162249	1997485	1294833	451058	120021
1312852	Thermoanaerobaculum aquaticum	species	4404	82	329	228	74	37	62	1209	72	184
141948	Thermomonas	genus	4414	40117	36882	21770	32201	16019	6564	105587	19197	29823
2593015	Candidatus Syntrophosphaera thermopropionivorans	species	30299	90	170	17738	68	52	135	450	108	247
795750	Ignavibacterium	genus	3453	162	409	2307	59	505	115	710	137	128
