sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
MYS.54,ERR1713377,ILLUMINA,00-reads/ERR1713377_R1.fastq.gz,00-reads/ERR1713377_R2.fastq.gz,
NGA.50,ERR1713378,ILLUMINA,00-reads/ERR1713378_R1.fastq.gz,00-reads/ERR1713378_R2.fastq.gz,
NLD.43,ERR1713379,ILLUMINA,00-reads/ERR1713379_R1.fastq.gz,00-reads/ERR1713379_R2.fastq.gz,
NOR.34,ERR1713380,ILLUMINA,00-reads/ERR1713380_R1.fastq.gz,00-reads/ERR1713380_R2.fastq.gz,
NPL.33,ERR1713381,ILLUMINA,00-reads/ERR1713381_R1.fastq.gz,00-reads/ERR1713381_R2.fastq.gz,
NZL.56,ERR1713382,ILLUMINA,00-reads/ERR1713382_R1.fastq.gz,00-reads/ERR1713382_R2.fastq.gz,
POL.36,ERR1713383,ILLUMINA,00-reads/ERR1713383_R1.fastq.gz,00-reads/ERR1713383_R2.fastq.gz,
PAK.7,ERR1713384,ILLUMINA,00-reads/ERR1713384_R1.fastq.gz,00-reads/ERR1713384_R2.fastq.gz,
PER.35,ERR1713385,ILLUMINA,00-reads/ERR1713385_R1.fastq.gz,00-reads/ERR1713385_R2.fastq.gz,
SEN.8,ERR1713386,ILLUMINA,00-reads/ERR1713386_R1.fastq.gz,00-reads/ERR1713386_R2.fastq.gz,
