taxonomy_id	name	rank	TCD.1_ERR1713393_db6.diamond	SVK.9_ERR1713389_db6.diamond	SGP.52_ERR1713387_db6.diamond	SRB.37_ERR1713388_db6.diamond	SVN.38_ERR1713390_db6.diamond	TUR.46_ERR1713395_db6.diamond	SWE.41a_ERR1713392_db6.diamond	TZA.15_ERR1713396_db6.diamond	SWE.41_ERR1713391_db6.diamond	TGO.44_ERR1713394_db6.diamond
469	Acinetobacter	genus	1174372	486328	271231	1722003	738182	3355549	2419128	2234293	1584759	2427592
0			521156	6176277	6203810	4977289	10525165	5562298	6519702	11038382	10322774	18158262
2	Bacteria	domain	701962	2273363	2750477	2396051	3970601	2127545	2773855	4601808	4572587	6915874
91347	Enterobacterales	order	91340	25037	65855	15373	21375	47179	27376	115843	47882	10458
1236	Gammaproteobacteria	class	587545	388982	334985	843905	517159	2967530	1237173	1955835	1040849	1118617
59732	Chryseobacterium	genus	5684	6542	11285	11567	6843	78605	43989	63177	19626	6007
654	Aeromonas veronii	species	1272	748	240	142	275	975	278	6289	342	4383
642	Aeromonas	genus	125092	60297	6793	7159	12003	231824	28695	667328	22062	499920
501783	Cloacibacterium	genus	5791	41821	280179	201939	36977	7848	116079	1127971	226465	43067
562	Escherichia coli	species	12629	15955	11205	16517	16857	14861	17752	40798	21152	10824
543	Enterobacteriaceae	family	152516	30879	65809	23845	32842	15869	35159	137202	64491	15257
470	Acinetobacter baumannii	species	5162	10012	5425	24103	13660	16453	30332	28365	16922	8843
1239	Bacillota	phylum	9443	359940	204959	493610	1306684	44000	359857	730999	977255	1497503
1353941	Acinetobacter harbinensis	species	100	354	3952	1039	644	26615	8569	412	4039	162
1224	Pseudomonadota	phylum	137212	1642403	1338762	1607603	1157360	2300480	2179829	2251483	2856824	1970221
544	Citrobacter	genus	76323	4273	2335	867	1466	396	1461	5666	7317	5225
2053287	Acinetobacter pseudolwoffii	species	545	158	73	862	286	663	674	914	590	193
3379134	Pseudomonadati	kingdom	55291	451738	704819	372718	507399	628605	573775	997546	884647	2323557
497	Psychrobacter	genus	5863	53954	11048	16391	367413	1183333	99454	35091	411083	11584
468	Moraxellaceae	family	41875	38307	60849	175434	121092	281746	561192	1606931	175165	76682
369926	Brooklawnia	genus	44	692	703	784	1175	69	665	4024	2911	205
22	Shewanella	genus	14660	1484	7902	456	1253	141609	7757	1353	10001	174055
186802	Eubacteriales	order	1677	120536	44254	219272	516110	10700	206927	338074	538002	177270
158836	Enterobacter hormaechei	species	1781	628	1084	488	678	568	499	2465	750	760
2737	Vagococcus	genus	4597	2693	636	16474	49968	630	582	534	4099	543
135621	Pseudomonadaceae	family	1716	44401	23934	45079	15864	455004	46623	95041	84324	107128
1357	Lactococcus	genus	53547	6108	1112	5336	12932	181	9079	4255	7920	393
2024979	Bacteriovoracales	order	18	857	917	1007	1593	731	1198	1409	1450	1287
42895	Enterobacter sp.	species	133	187	936	214	362	30	424	388	582	35
84642	Aeromonadaceae	family	3484	6258	994	684	1106	7981	1500	102245	1349	14080
1962667	Nannocystis sp.	species	24	394	169	68	188	68	405	99	2415	143
1350	Enterococcus	genus	1845	21938	3397	40858	301888	3467	12263	21544	80036	3318
976	Bacteroidota	phylum	6752	215443	381106	232832	496524	1198990	476346	736329	641193	4152642
2712042	Aeromonas sp. 602396	species	4	2	0	0	0	0	0	0	0	4
546	Citrobacter freundii	species	4804	405	614	484	372	490	465	1385	864	400
1783272	Bacillati	kingdom	2611	88113	103655	121529	333388	13704	102753	231093	289471	878900
702	Plesiomonas	genus	17710	28	27	23	24	4	6	83	6	9
28090	Acinetobacter lwoffii	species	3332	765	402	3539	1324	3073	3172	2253	3328	860
1485	Clostridium	genus	4138	17849	4014	16337	29852	3157	13167	33132	14054	21477
2762215	Acinetobacter pecorum	species	90	4	3	18	15	42	31	13	50	43
283	Comamonas	genus	6897	65297	24872	129377	38470	496238	156692	226634	139739	62948
156973	Dysgonomonas	genus	5197	18568	3426	2449	2780	3268	7865	31215	25449	16657
28901	Salmonella enterica	species	3449	1871	1685	1701	2654	1547	1976	4746	2974	1873
712	Pasteurellaceae	family	123	3158	72913	4133	3366	715	4402	40142	10437	1270
1443941	Acinetobacter gandensis	species	1842	57	23	321	159	245	452	285	331	356
83654	Leclercia	genus	455	99	252	58	84	35	116	262	100	39
1760	Actinomycetes	class	1713	88497	72194	87997	127361	72753	99661	151533	227151	109930
131567	cellular organisms	cellular root	8578	144843	325158	113157	389249	73493	128400	279445	341365	995861
165697	Sphingopyxis	genus	101	17191	30642	22902	25557	2569	21784	3110	34773	1799
91061	Bacilli	class	5564	36063	17868	71702	203574	8942	44685	54514	97822	37274
1363	Lactococcus garvieae	species	2265	109	19	637	1062	10	657	139	438	114
547	Enterobacter	genus	6418	1155	8600	1012	1380	256	1564	16923	1625	1127
396323	Acinetobacter brisouii	species	209	308	148	1219	383	1302	2086	625	947	121
2630389	unclassified Dysgonomonas	no rank	898	2938	389	204	412	473	781	2038	2893	4092
237	Flavobacterium	genus	4729	208062	40502	448067	202588	4604925	1121202	68860	932142	153362
286	Pseudomonas	genus	27461	42865	12723	38126	42739	1895863	39619	46023	134048	36395
2808963	Arcobacteraceae	family	1558	260469	10539	91037	181926	354225	335826	385357	268351	352063
40214	Acinetobacter johnsonii	species	10835	5088	1066	23288	6612	22064	20012	10269	12736	2985
3436058	Pseudolactococcus	genus	1093	45782	2812	159284	267396	3093	286653	29019	199905	3594
80840	Burkholderiales	order	3846	537355	348320	498225	334039	424225	816110	506308	925836	423768
171552	Prevotellaceae	family	1946	476332	16011	52944	75071	3903	87410	2377944	58737	21743
1300	Streptococcaceae	family	3298	12206	4623	39830	79104	874	60356	26571	54443	1222
414371	Aureimonas	genus	1	88	35	25	97	28	34	39	64	34
1176535	Lysobacter hankyongensis	species	5	1215	603	1765	934	97	2172	486	3257	106
1903434	Atlantibacter	genus	1002	45	74	21	83	9	175	106	85	66
2895353	Telluria group	no rank	150	6116	431	324	415	1807	507	541	877	456
108980	Acinetobacter ursingii	species	303	1020	781	2288	1502	1393	2830	4950	1652	965
879969	Macellibacteroides fermentans	species	1078	30444	5891	10936	8880	27096	7358	162903	28677	1106394
61645	Enterobacter asburiae	species	302	116	409	98	98	85	150	843	165	70
171549	Bacteroidales	order	3815	419260	79785	97332	120664	34898	176653	1586550	201286	2061782
12916	Acidovorax	genus	4162	791802	388418	1147066	248796	337173	705613	837047	1076860	59690
28211	Alphaproteobacteria	class	964	106386	128889	84978	141213	52655	103231	46223	235538	514198
117506	Comamonas denitrificans	species	451	61724	20236	106053	31138	3828	20483	52047	146307	9349
2758572	Schaalia sp. JY-X169	species	18	3216	27	525	1855	173	78	195	563	74
165179	Segatella copri	species	319	8627	3410	13333	19538	746	10900	269675	10781	2497
584	Proteus mirabilis	species	1015	1994	1118	1979	1669	3248	4094	6023	2688	1851
57706	Citrobacter braakii	species	355	70	55	33	71	30	76	169	103	77
539813	Enterobacter mori	species	66	9	48	6	14	12	14	87	15	1
31979	Clostridiaceae	family	1052	2525	883	2352	7157	1725	2739	4375	9463	44332
2804610	Pseudomonas sp. TWR2-1-1	species	25	84	2	104	136	249	2	108	7	4
351676	Xenorhabdus kozodoii	species	482	336	293	460	333	1694	1058	2188	806	2516
1159323	Macellibacteroides	genus	239	6009	1190	2187	1853	5137	1505	33461	5721	227118
165433	uncultured Acinetobacter sp.	species	1177	538	218	1814	831	1435	2561	1733	1270	659
1965304	Intestinibacter sp.	species	104	6855	2357	4635	7540	191	1500	3330	7548	1602
39	Archangiaceae	family	5	91	407	62	200	25	140	193	450	177
196816	unclassified Acinetobacter	no rank	5688	14800	3684	28166	13700	179115	361597	56471	118884	29375
909768	Acinetobacter calcoaceticus/baumannii complex	species group	890	1101	433	3049	1174	2740	3708	3073	2273	2058
299568	Uruburuella	genus	147	13901	3084	9712	9702	2072	5795	10483	20024	456
216851	Faecalibacterium	genus	746	53600	17765	215120	542020	2642	170704	226146	380992	6040
3383638	Serratia sp. CY54781	species	646	430	307	684	415	2108	1668	2164	1294	1751
1773	Mycobacterium tuberculosis	species	53	109	60	47	129	102	70	303	96	73
1678	Bifidobacterium	genus	743	42449	15778	54720	114179	5439	45392	305682	159953	2949
279	Xanthobacter	genus	29	381	378	177	584	124	681	1300	9111	174
545	Citrobacter koseri	species	81	30	18	22	33	24	18	89	38	22
1263	Ruminococcus	genus	75	5195	1645	16933	25568	434	11570	30225	25086	3609
628	Xenorhabdus nematophila	species	525	268	210	426	296	1719	1152	1499	814	923
2738	Vagococcus fluvialis	species	1413	645	181	2716	7713	146	184	177	931	215
82802	Trichococcus	genus	3020	217761	5124	497482	1320209	28483	168129	6881	591843	8629
1207057	Ottowia beijingensis	species	253	24416	49809	20616	30080	1847	35671	6558	129815	1600
59734	Empedobacter	genus	1407	1643	734	26042	2630	6760	14815	22105	27970	14088
80864	Comamonadaceae	family	7237	1245474	609545	1187652	567635	775745	1543068	967810	1665938	193470
2419605	Acinetobacter sp. WCHAc060007	species	103	2	7	11	13	52	19	18	16	32
2892396	Vescimonas	genus	93	4769	3754	10329	21347	417	13614	27092	26395	8277
