taxonomy_id	name	rank	USA.74g_ERR1713404_db6.diamond	USA.74f_ERR1713403_db6.diamond	USA.74e_ERR1713402_db6.diamond	USA.74i_ERR1713406_db6.diamond	USA.74h_ERR1713405_db6.diamond
0			1184486	2217801	4493411	12378811	13284944
3379134	Pseudomonadati	kingdom	90251	197589	350597	1155496	1321350
28200	Aliarcobacter skirrowii	species	616	64	165	502	2764
2	Bacteria	domain	592903	1013791	2192195	4666281	5683073
1239	Bacillota	phylum	126699	129023	424820	501149	1034008
906	Megasphaera	genus	2806	1702	8386	11243	9278
318456	Photobacterium kishitanii	species	49	79	241	196	491
28196	Arcobacter	genus	7506	1900	3213	10413	118793
976	Bacteroidota	phylum	42645	33178	135264	278668	1020254
1224	Pseudomonadota	phylum	200043	286608	1084370	2951671	3675831
1300	Streptococcaceae	family	3715	3943	35876	5664	92217
469	Acinetobacter	genus	92960	76919	758757	433144	744692
1760	Actinomycetes	class	10654	26710	51331	1486938	174982
186801	Clostridia	class	116698	100944	383329	407027	744351
239934	Akkermansia	genus	6992	14283	70997	90671	168194
1236	Gammaproteobacteria	class	80566	87247	507979	907614	862678
1604696	Faucicola	genus	185	114	2107	251	528
80840	Burkholderiales	order	43317	50640	184707	646392	872353
501783	Cloacibacterium	genus	48535	19799	178375	76974	201429
28197	Aliarcobacter butzleri	species	6756	808	2263	4531	34183
252130	Uruburuella suis	species	55951	206797	581620	297453	1388434
200644	Flavobacteriales	order	28161	18899	134209	68460	227132
2981633	Gallintestinimicrobium	genus	16123	36406	90663	34050	104425
39948	Dialister	genus	17492	62026	100903	86215	360233
2321111	Aliarcobacter	genus	125996	10577	37940	106006	604771
2292053	Parabacteroides sp. AM08-6	species	10	9	20	55	191
28198	Aliarcobacter cryaerophilus	species	18046	1814	6126	17338	91489
2808963	Arcobacteraceae	family	162304	15657	59116	131124	1018434
2375	Sporomusa	genus	336	725	1195	1552	4948
80864	Comamonadaceae	family	81373	79823	355761	1167320	1980126
186803	Lachnospiraceae	family	38533	28349	127435	112937	168805
1301	Streptococcus	genus	64431	78508	829093	99894	76962
196816	unclassified Acinetobacter	no rank	1853	1409	10946	5860	10618
28231	Geobacter	genus	37	105	60	240	283
216851	Faecalibacterium	genus	22489	21390	90075	99277	222625
192066	Neisseria sp.	species	10324	8058	151531	14593	14428
75654	Duganella	genus	9	9	32	131	222
1766253	Agathobacter	genus	24707	4992	44987	17483	53792
237	Flavobacterium	genus	30796	24569	108341	82529	550441
131567	cellular organisms	cellular root	34357	108957	107137	385821	432801
2222	Methanothrix	genus	3726	30209	12427	9521	12204
29369	Clostridium sardiniense	species	4	3	6	10	26
2606635	Waltera intestinalis	species	21	11	55	190	205
40323	Stenotrophomonas	genus	2330	8809	20295	14112	29140
29465	Veillonella	genus	6670	6863	60071	10200	21510
