taxonomy_id	name	rank	USA.74b_ERR1713399_db6.diamond	USA.74a_ERR1713398_db6.diamond	USA.74d_ERR1713401_db6.diamond	USA.74c_ERR1713400_db6.diamond	USA.74_ERR1713397_db6.diamond
0			5213277	7927135	5241274	5662915	14283461
1236	Gammaproteobacteria	class	172502	592169	442325	345546	461860
69	Lysobacter enzymogenes	species	109	30	62	460	201
2	Bacteria	domain	1763687	1728792	3088703	3608839	4636371
2171986	Candidatus Saccharimonadaceae	family	915	809	1376	908	2683
80864	Comamonadaceae	family	254966	520374	701839	334372	703945
3140683	Candidatus Villigracilis proximus	species	1369	33	39	34	249
1903157	Piscinibacter sp.	species	2465	397	266	333	18980
2939420	Phascolarctobacterium sp. ET69	species	339	142	478	331	1135
2008795	Azonexaceae	family	24443	4540	6766	9333	18225
80840	Burkholderiales	order	220363	311706	361825	191966	556109
2981633	Gallintestinimicrobium	genus	6845	32504	62337	153072	26334
1993553	Pseudorhodoferax sp.	species	758	202	233	210	707
1301	Streptococcus	genus	11272	41042	330568	585080	54648
3044600	Anaerobaca lacustris	species	2107	311	156	316	403
131567	cellular organisms	cellular root	214418	101022	135744	166376	432743
1224	Pseudomonadota	phylum	674999	894708	1123319	1244426	2102984
28117	Alistipes putredinis	species	1838	4599	5972	7115	7394
91061	Bacilli	class	15357	36707	124864	78514	36378
68336	Bacteroidota/Chlorobiota group	clade	26874	9751	5921	5715	23890
32011	Methylophilaceae	family	10092	221	350	242	147477
186801	Clostridia	class	94617	349476	550116	573794	653187
31989	Paracoccaceae	family	9175	17964	11731	4855	23337
216851	Faecalibacterium	genus	16216	155276	182801	173121	73836
85009	Propionibacteriales	order	24903	10386	11941	3040	12880
3379134	Pseudomonadati	kingdom	493768	262584	288358	465782	958323
976	Bacteroidota	phylum	439178	189933	163056	140737	517448
28211	Alphaproteobacteria	class	153389	90814	81513	75521	660343
3386177	Candidatus Skiveiella danica	species	29392	994	1001	953	5442
497	Psychrobacter	genus	66721	19150	13785	72684	75157
563835	Chitinophagaceae	family	75403	28355	8411	3142	52052
239934	Akkermansia	genus	11812	56755	72695	86316	63467
32003	Nitrosomonadales	order	2497	172	336	508	21151
200795	Chloroflexota	phylum	15301	3037	2929	1521	13482
91347	Enterobacterales	order	23515	33405	100943	60840	33757
2982024	Candidatus Brachybacter algidus	species	238467	2989	1272	624	2713
3024411	Desulfobulbales	order	1777	1159	2358	23206	4166
