taxonomy_id	name	rank	LVA.31_ERR1713373_db6.diamond	MDA.65_ERR1713374_db6.diamond	MLT.63_ERR1713376_db6.diamond	MKD.62_ERR1713375_db6.diamond	KAZ.6_ERR1713368_db6.diamond	KEN.72_ERR1713369_db6.diamond	KHM.21_ERR1713370_db6.diamond	LUX.32_ERR1713372_db6.diamond	LKA.40_ERR1713371_db6.diamond	ITA.30_ERR1713367_db6.diamond
80864	Comamonadaceae	family	254422	646890	367005	950260	1701991	1180717	67294	3389913	81739	3048367
1236	Gammaproteobacteria	class	178389	2118311	1233915	510624	1162789	752673	926453	1009228	10421597	1168014
12916	Acidovorax	genus	139186	577358	76592	712620	1915560	1243780	14086	1712974	44019	2159477
1224	Pseudomonadota	phylum	458619	1363665	1282424	1267269	2809356	2310124	790876	4172427	4412592	4196007
82802	Trichococcus	genus	178013	276405	6861	221612	360677	43308	6302	295777	58706	77774
31953	Bifidobacteriaceae	family	2931	4243	3309	5415	4972	20603	9893	6136	7343	2791
84567	Pedobacter	genus	1960	1669	287	1791	3463	1301	581	8462	345	9145
0			2082867	4445732	4398394	4282696	10284133	8661795	14448898	8375172	5950887	13852330
1239	Bacillota	phylum	218674	271476	305797	371414	360565	759086	910086	448964	148108	250108
976	Bacteroidota	phylum	127333	186571	236266	271090	935195	316953	147317	311601	51577	1896814
31989	Paracoccaceae	family	3591	7790	4725	5199	7587	5092	4069	33117	985	21853
28196	Arcobacter	genus	39038	38845	12763	80823	191341	26904	1970	17887	1096	170683
2	Bacteria	domain	989433	2611780	2510614	1989722	3742385	3455854	5739084	3482439	4911834	4548460
1730	Eubacterium	genus	7482	9465	2736	14920	11174	12127	8622	14308	1848	8686
239	Flavobacterium sp.	species	11975	20340	6878	46886	84451	15283	7134	75947	2415	144250
2762318	Weeksellaceae	family	55729	174731	143025	104538	1049989	360598	14184	100270	36245	313629
186802	Eubacteriales	order	89771	112386	84402	196687	110816	261673	123518	280648	33200	90234
239759	Alistipes	genus	25974	24025	88247	37333	75465	7603	2564	90378	29846	51922
482	Neisseria	genus	2892	12967	11564	5352	13324	74642	779	5065	2025	4295
497	Psychrobacter	genus	25289	25413	214111	10592	169299	43609	260664	75308	23442	22109
3024411	Desulfobulbales	order	4614	3908	11338	3757	9044	17829	36049	5679	805	7354
216851	Faecalibacterium	genus	90924	81372	56422	204082	79817	93167	5194	298393	15355	41997
893	Desulfobulbus	genus	12318	11112	23416	10274	17273	38848	67024	10922	1596	11964
1243	Leuconostoc	genus	936	360	153	163	1093	5450	1084	516	2418	166
2541731	Flavobacterium cellulosilyticum	species	27	32	12	90	182	8	17	107	5	340
40323	Stenotrophomonas	genus	8894	12503	44498	8456	7839	16504	2408	26686	4010	10521
49546	Flavobacteriaceae	family	34919	50742	39184	158415	238723	23225	12848	153173	4726	639402
213121	Desulfobulbaceae	family	7449	6541	15004	5763	11592	28027	38290	5844	1106	6986
2684926	unclassified Acidovorax	no rank	26470	108777	12287	265067	210144	40380	2978	763959	5087	619460
237	Flavobacterium	genus	119526	202608	57011	721595	1096629	67465	22765	656445	16304	2807075
135614	Lysobacterales	order	14248	14520	8963	14106	15261	16980	17866	41480	5443	51875
1301	Streptococcus	genus	45513	78313	13466	17375	528505	589290	17274	30731	39434	40715
83766	Propionivibrio	genus	6167	6679	5116	17140	36529	53732	5615	4968	5340	42926
28216	Betaproteobacteria	class	77587	152909	153042	217642	560520	511760	91383	524144	47611	829221
84034	Propionispira	genus	1930	740	1033	1060	6097	1015	2214	781	750	430
239934	Akkermansia	genus	35843	39480	32050	54199	41482	59968	19963	61427	28768	17829
189330	Dorea	genus	4205	6681	2508	7889	3638	22319	3372	12033	1732	2700
3379134	Pseudomonadati	kingdom	161961	433463	484240	363443	942062	685855	1419131	741226	625361	1654100
171549	Bacteroidales	order	125848	144286	441306	162740	293681	287371	91224	375416	81773	333760
200644	Flavobacteriales	order	75022	172574	144339	163444	1148702	374199	21571	159762	41619	562019
387090	Phocaeicola coprophilus	species	542	618	1469	297	631	962	613	2018	233	515
32033	Lysobacteraceae	family	74348	75607	58656	78916	82299	92078	96653	200362	25590	142070
410072	Coprococcus comes	species	264	431	173	582	225	1365	171	907	79	186
28211	Alphaproteobacteria	class	37844	65962	46801	50818	68903	69537	139830	241582	20921	299690
2809020	Paralysiella testudinis	species	4323	1839	12085	4148	4304	33856	394	4398	2037	3101
33024	Phascolarctobacterium	genus	24481	38198	56426	31524	24855	77003	96764	68213	7810	21952
2321111	Aliarcobacter	genus	37946	169386	367272	210648	449392	59029	6056	86964	7024	491969
80840	Burkholderiales	order	123786	285105	199996	408486	852096	662681	86340	1595313	52569	1512836
909932	Negativicutes	class	29599	41931	71649	34297	49098	112135	505765	31707	48219	37233
41275	Brevundimonas	genus	14489	23919	38721	26660	14386	27369	32099	77140	12322	59290
117506	Comamonas denitrificans	species	34658	43258	693588	33003	82612	72754	2054	257522	3286	123102
3136601	Owariibacterium komagatae	species	9	15	23	34	31	43	28	47	7	20
181070	Proteocatella sphenisci	species	19953	18458	1212	16762	11957	51894	12610	8428	561	7742
83618	Pseudoxanthomonas	genus	57035	82106	24981	74762	93897	23045	14933	115651	7854	98667
28050	Lachnospira	genus	4118	3237	2788	13007	7527	22982	1425	14324	3773	3589
2610897	unclassified Hydrogenophaga	no rank	270	908	459	965	1507	1368	179	8386	77	6689
469	Acinetobacter	genus	223490	4907387	1964949	1011885	1981067	794308	2083712	1771383	756898	2044407
1785996	Leptotrichia sp. oral taxon 847	species	43	174	73	156	215	57	8	18	4	87
543314	Anaerovoracaceae	family	1028	1154	2635	1691	2304	3853	6054	1423	427	3187
2023866	Petrimonas sp.	species	3993	3842	4095	1143	3759	5248	2509	1884	2124	1600
310297	Phocaeicola plebeius	species	10315	6484	10821	53326	18934	11147	3198	37993	3243	8752
356	Hyphomicrobiales	order	9206	17412	8210	15179	19928	30531	68521	93021	6095	77570
296051	Terrimonas	genus	97	85	106	62	85	77	24	266	29	9038
186801	Clostridia	class	153738	175612	191083	311770	177836	698511	302064	443715	71217	186038
358023	Lutibacter	genus	1046	340	8379	53	193	97	65	31	7	261
1871053	Phenylobacterium sp.	species	3594	5319	3856	3792	4467	2258	9933	39136	1194	6275
879969	Macellibacteroides fermentans	species	20919	35789	68534	37247	98361	27528	8859	6402	1524	141055
501783	Cloacibacterium	genus	93894	225015	308377	93527	2084578	660985	15316	39210	57435	480489
712359	Leptotrichia sp. oral taxon 215	species	238	820	364	635	1341	413	32	155	51	385
84107	Coriobacteriaceae	family	1112	1565	1451	1821	1617	4725	7205	1768	1317	876
91061	Bacilli	class	25588	50315	12670	30704	91919	54977	22098	55893	63654	21871
39948	Dialister	genus	67130	133623	57613	167391	118243	153756	37035	134040	40720	32158
1760	Actinomycetes	class	33943	53590	18131	42351	89385	178300	129910	163608	30386	126119
32011	Methylophilaceae	family	293	228	152	266	556	450	315	825	164	3645
2892396	Vescimonas	genus	6794	9577	6533	9188	8201	20298	8357	13000	2579	5623
131567	cellular organisms	cellular root	69266	106785	147098	118501	210153	276342	899796	153654	99789	346263
2808963	Arcobacteraceae	family	109762	265235	558077	387995	904386	129195	14665	169292	11209	930077
1766253	Agathobacter	genus	14949	15725	24102	29956	12995	73093	3388	43709	4821	9869
1920175	Polaribacter sp.	species	32	59	46	102	344	89	121	148	14	377
59732	Chryseobacterium	genus	4415	9792	4953	9092	69815	20542	5622	11065	3132	42130
171552	Prevotellaceae	family	72051	99374	19288	46257	128274	308325	49106	228276	46392	73674
186803	Lachnospiraceae	family	33731	37378	44117	75286	32454	183789	41534	106434	18290	32571
490185	Gemmobacter aquaticus	species	1229	1843	84	747	1921	718	666	2052	107	928
2826938	Brucella/Ochrobactrum group	no rank	95	91	183	619	153	477	551	5333	130	388
2820270	Candidatus Kaistella beijingensis	species	2555	768	330	1610	2758	3201	356	2207	1143	2044
2974251	Segatella	genus	13316	19906	2766	10212	27199	55011	7766	65958	10515	11864
252130	Uruburuella suis	species	57357	74085	421307	64633	88490	329573	3303	157510	10091	79873
649776	Synergistales	order	4037	2889	33580	3171	4546	17377	175248	2795	2997	3613
346096	Paludibacter	genus	4092	3208	364	5386	11630	4542	1135	1986	925	20064
649777	Synergistaceae	family	14354	7561	39493	11401	15443	71627	268720	6642	7586	14775
29465	Veillonella	genus	11904	9143	10429	12433	32881	128868	32991	30401	14088	7427
2691889	unclassified Schaalia	no rank	3297	6773	6440	10889	4218	21425	6204	5056	334	13800
33057	Thauera	genus	9266	10304	43016	20033	20578	6295	3483	44952	995	58893
207244	Anaerostipes	genus	5100	5602	1432	9596	2174	18631	1177	20396	678	2219
1129771	Leptotrichiaceae	family	52545	183967	73868	173137	249185	68485	3395	24059	3755	87100
2053492	Accumulibacter sp.	species	956	999	1012	2493	5326	4681	3800	2619	743	22271
1366	Pseudolactococcus raffinolactis	species	8656	22862	687	11723	71863	8398	591	20336	900	11423
2222	Methanothrix	genus	8576	3318	1429	4984	5801	56336	114095	2714	1616	7113
1678	Bifidobacterium	genus	20025	25823	24720	38927	34009	143564	64726	45303	43638	19534
283	Comamonas	genus	25634	57749	514848	51819	147913	199860	5468	282474	10328	169810
468	Moraxellaceae	family	20079	234576	98974	99015	526335	1122335	122083	99400	162839	519451
3141190	Dialister sp. i34-0019-2H8	species	11934	17578	3048	7265	34066	136368	30766	7903	16854	3339
909656	Phocaeicola	genus	8293	4485	15081	12268	12975	4974	1365	43070	4903	14473
3436058	Pseudolactococcus	genus	29058	61452	2329	33631	273549	27470	1961	56129	3164	31796
286	Pseudomonas	genus	23747	150748	134605	20976	169282	20621	42902	73466	20227230	71641
84566	Sphingobacteriaceae	family	3303	2694	1654	2452	4960	2893	1429	8464	853	15489
136	Spirochaetales	order	433	378	1259	903	1145	2341	6848	836	352	4020
2212460	Propionivibrio sp.	species	8367	10073	13348	26113	50518	67617	6327	8832	4084	97745
1898956	Ottowia sp.	species	32728	31504	7533	32625	41254	22519	18545	129691	7364	28982
33882	Microbacterium	genus	5809	8818	3093	12312	19916	13928	19916	49249	3653	14376
171550	Rikenellaceae	family	3485	3794	25963	6377	7172	1292	1344	14164	5290	6298
543	Enterobacteriaceae	family	14515	23522	127003	15799	44572	49244	41430	47591	91213	19408
32068	Sebaldella	genus	19160	53472	88256	39175	57278	77712	3735	21021	1929	21427
2737	Vagococcus	genus	1579	36380	979	8132	497	7869	280	2658	1228	3860
3374101	Proteiniclasticum sp. C24MP	species	148	132	36	61	118	88	37	45	6	48
1485	Clostridium	genus	6360	6375	4011	11771	13375	41356	16331	12174	4038	7619
352450	Simplicispira	genus	1427	1780	856	5071	5922	1593	236	66600	445	58544
487174	Barnesiella intestinihominis	species	1000	2185	1808	2297	3497	1127	1079	3073	6643	2563
203491	Fusobacteriales	order	13444	49006	17544	47927	67351	19176	1319	8253	1120	24094
1843491	Selenomonadaceae	family	10264	24227	11102	4329	16764	47407	92493	15078	36235	4466
1689272	Vitreoscilla massiliensis	species	12689	84897	33212	40925	73058	40369	1298	119081	1704	57796
33951	Acetobacterium	genus	2993	2588	1955	4880	4339	11329	2980	2792	302	3972
2172	Methanobrevibacter	genus	9553	19782	7429	14852	9363	81092	17551	7267	5936	14828
485907	Allorhizobium borbori	species	88	143	40	393	162	1099	191	680	96	362
1263	Ruminococcus	genus	4008	10037	4317	11607	6814	19429	3124	15791	1774	6605
704125	Clostridium gelidum	species	249	152	18	426	520	661	98	203	15	153
445219	Reyranella	genus	1010	2494	2316	1677	1836	3974	14490	3898	1574	7673
816	Bacteroides	genus	26789	18209	178815	48207	64986	34110	9512	113207	21354	133303
2782232	Chryseobacterium group	no rank	37850	66480	18524	115074	188786	45959	6318	170069	10027	126717
246787	Bacteroides cellulosilyticus	species	552	529	1453	1870	2396	3550	6250	1590	494	3352
216572	Oscillospiraceae	family	39538	68200	32551	88268	52587	107374	28803	135819	14896	49388
2685852	unclassified Moraxella	no rank	199	1133	145	1208	6316	14263	181	180	1593	6661
83770	Succinivibrio	genus	2778	3908	15469	1892	6430	8422	645	3204	4306	1012
219181	Ottowia	genus	54114	58019	26830	40366	61831	54645	24227	170486	15214	37855
162156	uncultured Bacteroides sp.	species	1120	959	2356	3151	2832	1935	1253	1770	613	3145
204455	Rhodobacterales	order	12577	22842	12739	14843	24699	15498	15775	91257	3307	84408
39485	Lachnospira eligens	species	2385	1766	3550	4930	3277	8759	5847	6239	1625	1840
2233533	Flavobacterium tibetense	species	67	143	7330	484	592	138	24	273	10	2096
2630389	unclassified Dysgonomonas	no rank	925	536	1770	487	1228	1006	248	440	144	800
2067452	Tabrizicola sp. TH137	species	26	20	6	7	25	4	18	33	4	34
200940	Thermodesulfobacteriota	phylum	6816	6234	22389	6310	13185	34921	280740	7901	4638	13474
2810280	Coprobacillaceae	family	8768	8065	2188	4947	5183	38125	7210	8874	4197	2512
1502	Clostridium perfringens	species	339	589	865	663	1505	1307	901	1385	152	1277
815	Bacteroidaceae	family	39607	24472	103509	66976	73670	28971	7360	195248	24413	82930
186826	Lactobacillales	order	41608	78014	6910	50906	160206	80607	6888	110291	42955	24803
2213010	Simplicispira lacusdiani	species	150	242	99	641	1141	287	37	1690	62	31024
22	Shewanella	genus	429	8161	20392	3897	1238	5971	776	3692	328	915
204457	Sphingomonadales	order	16200	26409	23180	18960	18735	25087	53636	99395	9732	123069
28026	Bifidobacterium pseudocatenulatum	species	77	133	111	254	151	1360	771	245	224	67
629	Yersinia	genus	475	317	2196	567	1593	207	132	1944	1120	448
3082720	Peptostreptococcales	order	1242	1277	458	1119	1182	4370	2073	812	115	1054
909926	Tabrizicola aquatica	species	473	535	88	428	953	40	63	636	7	544
1849015	Arcobacter acticola	species	10953	14788	3125	19379	24294	574	111	4875	154	8417
2758440	Changpingibacter yushuensis	species	220	197	51	212	315	11413	303	225	111	552
2137577	Ellagibacter	genus	557	809	122	440	276	2671	1510	757	240	451
68336	Bacteroidota/Chlorobiota group	clade	4810	5851	9955	8753	25321	10746	23890	9078	2186	93246
838	Prevotella	genus	1291	2506	657	1458	3472	9633	3230	5269	1253	1563
3070997	Anaerocolumna sp. MB42-C2	species	34	9	50	68	43	163	125	35	14	72
3019556	Erythrobacter oryzae	species	8	21	4	11	14	11	16	19	1	39
642	Aeromonas	genus	9144	33055	227138	28854	85142	21537	8181	57968	5668	91501
213849	Campylobacterales	order	21898	41040	81385	64455	152237	25678	6136	31203	2073	149813
3016050	Vulcanimicrobium alpinum	species	9	10	7	5	6	27	168	37	15	62
1843490	Sporomusaceae	family	9770	4917	11511	10397	18310	52790	306326	5583	56122	11350
1527608	Hydromonas duriensis	species	840	3238	211	1158	32878	8781	452	1081	1475	11444
2569097	Anaerobutyricum	genus	2535	4816	1234	5516	1475	13270	1078	8301	623	831
2841525	Pseudoflavonifractor sp. MSJ-30	species	1372	2670	1079	2218	2418	8930	1053	3384	390	1498
84993	Acidimicrobiales	order	329	339	821	395	483	848	1523	1083	256	37155
119060	Burkholderiaceae	family	7596	38986	3670	16136	382361	97227	9196	21768	17417	160585
134533	Acinetobacter parvus	species	917	2112	460	1131	2454	2141	257	2509	152	1999
82803	Trichococcus flocculiformis	species	6942	8726	264	6788	13099	1427	358	8158	1556	2523
1827	Rhodococcus	genus	111	919	229	336	308	677	819	1898	86	493
85006	Micrococcales	order	5315	11122	2046	9126	16802	16654	11311	38596	2492	14971
165179	Segatella copri	species	8267	15807	1929	5988	20127	66320	10216	36356	9594	6284
186828	Carnobacteriaceae	family	19269	30915	1297	23344	37347	5529	747	32642	5934	8371
278064	uncultured Dialister sp.	species	4910	8339	6160	13080	7507	4470	7830	9939	3772	2533
2981630	Anthropogastromicrobium	genus	701	466	806	2546	392	12718	345	5546	291	783
1207057	Ottowia beijingensis	species	27116	32023	23722	8052	23666	23555	5027	32323	4686	8552
