taxonomy_id	name	rank	ZAF.39_ERR1713409_db6.diamond	ZMB.49b_ERR1713411_db6.diamond	ZMB.49_ERR1713410_db6.diamond	XK.60_ERR1713408_db6.diamond	VNM.48_ERR1713407_db6.diamond
3141190	Dialister sp. i34-0019-2H8	species	86790	78876	95365	104465	1120
1236	Gammaproteobacteria	class	288031	325415	338346	2370568	6147715
0			4618239	4330998	6263081	7859015	8099935
1689272	Vitreoscilla massiliensis	species	25158	10238	14167	146714	2337
2627136	unclassified Pleomorphomonas	no rank	1824	1276	1486	160	212
976	Bacteroidota	phylum	109168	146246	145650	192279	773816
186831	Acetoanaerobium	genus	82982	17704	47963	53367	2207
469	Acinetobacter	genus	306802	184977	276625	5679944	6155094
2	Bacteria	domain	2034398	1857742	2444352	3985067	4444152
501783	Cloacibacterium	genus	123785	176743	181501	33543	627868
32068	Sebaldella	genus	58819	24281	46773	41455	1474
252130	Uruburuella suis	species	316035	36018	132916	249229	5448
2762318	Weeksellaceae	family	78400	81204	81348	105925	312078
482	Neisseria	genus	64187	9404	21706	8592	1992
468	Moraxellaceae	family	100265	18587	72205	233537	477749
1239	Bacillota	phylum	465263	339509	574506	770609	78334
3379134	Pseudomonadati	kingdom	298846	425867	504592	596536	908832
1306	Streptococcus sp.	species	75603	394	3351	669	510
40324	Stenotrophomonas maltophilia	species	680	517	673	1440	3764
186801	Clostridia	class	409525	302139	496852	771633	23529
291645	Bacteroides nordii	species	12178	4688	10518	8595	303
3085775	Priestia sp. SIMBA_032	species	1467	1187	1995	3509	7234
171549	Bacteroidales	order	102839	248358	376384	252698	50750
204455	Rhodobacterales	order	35522	9786	28113	42956	43498
278064	uncultured Dialister sp.	species	16519	4898	7746	8164	758
1378	Gemella	genus	344	115	347	639	7
3120395	Acetobacterales	order	8858	7188	12318	9702	17322
216851	Faecalibacterium	genus	103954	25859	99825	402478	3485
101571	Burkholderia ubonensis	species	80	191	161	175	62
194924	Desulfovibrionaceae	family	20840	43588	50920	9992	17183
1129771	Leptotrichiaceae	family	203176	54689	41937	103376	2894
1224	Pseudomonadota	phylum	1002467	1110266	1365779	2169395	2265208
1519439	Oscillibacter sp. ER4	species	1173	2793	3039	19498	300
893	Desulfobulbus	genus	12683	28377	45921	7023	3252
