taxonomy_id	name	rank	CAN.22a_ERR1713340_db6.diamond	CAN.22_ERR1713339_db6.diamond	AUS.18a_ERR1713333_db6.diamond	AUS.18_ERR1713332_db6.diamond	AUT.70_ERR1713334_db6.diamond	BWA.19_ERR1713338_db6.diamond	BRA.53_ERR1713336_db6.diamond	BGR.66_ERR1713335_db6.diamond	BRA.53a_ERR1713337_db6.diamond	ALB.17_ERR1713331_db6.diamond	DEU.27_ERR1713348_db6.diamond	CHE.67_ERR1713343_db6.diamond	ECU.14a_ERR1713353_db6.diamond	CAN.22b_ERR1713341_db6.diamond	ESP.75_ERR1713354_db6.diamond	COL.2_ERR1713346_db6.diamond	CIV.13_ERR1713345_db6.diamond	DNK.71_RL_ERR1713351_db6.diamond	CAN.22c_ERR1713342_db6.diamond	ETH.24_ERR1713355_db6.diamond	DNK.71_RA_ERR1713349_db6.diamond	CHN.64_ERR1713344_db6.diamond	CZE.23_ERR1713347_db6.diamond	DNK.71_RD_ERR1713350_db6.diamond	ECU.14_ERR1713352_db6.diamond	ISR.29_ERR1713366_db6.diamond	HUN.61_ERR1713361_db6.diamond	HRV.68_ERR1713360_db6.diamond	FIN.25_ERR1713356_db6.diamond	IRN.12_ERR1713364_db6.diamond	ISL.28_ERR1713365_db6.diamond	GEO.59_ERR1713357_db6.diamond	IRL.69_ERR1713363_db6.diamond	IND.11_ERR1713362_db6.diamond	GHA.4_ERR1713358_db6.diamond	LVA.31_ERR1713373_db6.diamond	MDA.65_ERR1713374_db6.diamond	MLT.63_ERR1713376_db6.diamond	MKD.62_ERR1713375_db6.diamond	KAZ.6_ERR1713368_db6.diamond	KEN.72_ERR1713369_db6.diamond	KHM.21_ERR1713370_db6.diamond	LUX.32_ERR1713372_db6.diamond	LKA.40_ERR1713371_db6.diamond	ITA.30_ERR1713367_db6.diamond	NLD.43_ERR1713379_db6.diamond	MYS.54_ERR1713377_db6.diamond	NGA.50_ERR1713378_db6.diamond	POL.36_ERR1713383_db6.diamond	PER.35_ERR1713385_db6.diamond	NOR.34_ERR1713380_db6.diamond	NPL.33_ERR1713381_db6.diamond	PAK.7_ERR1713384_db6.diamond	SEN.8_ERR1713386_db6.diamond	NZL.56_ERR1713382_db6.diamond	TCD.1_ERR1713393_db6.diamond	SVK.9_ERR1713389_db6.diamond	SGP.52_ERR1713387_db6.diamond	SRB.37_ERR1713388_db6.diamond	SVN.38_ERR1713390_db6.diamond	TUR.46_ERR1713395_db6.diamond	SWE.41a_ERR1713392_db6.diamond	TZA.15_ERR1713396_db6.diamond	SWE.41_ERR1713391_db6.diamond	TGO.44_ERR1713394_db6.diamond	USA.74b_ERR1713399_db6.diamond	USA.74a_ERR1713398_db6.diamond	USA.74d_ERR1713401_db6.diamond	USA.74c_ERR1713400_db6.diamond	USA.74_ERR1713397_db6.diamond	USA.74g_ERR1713404_db6.diamond	USA.74f_ERR1713403_db6.diamond	USA.74e_ERR1713402_db6.diamond	USA.74i_ERR1713406_db6.diamond	USA.74h_ERR1713405_db6.diamond	ZAF.39_ERR1713409_db6.diamond	ZMB.49b_ERR1713411_db6.diamond	ZMB.49_ERR1713410_db6.diamond	XK.60_ERR1713408_db6.diamond	VNM.48_ERR1713407_db6.diamond
6	Azorhizobium	genus	6.0	3.0	70.0	28.0	16.0	108.0	50.0	24.0	88.0	15.0	3.0	9.0	97.0	23.0	19.0	76.0	21.0	14.0	4387.0	79.0	15.0	30.0	17.0	29.0	7.0	17.0	4.0	9.0	41.0	1.0	21.0	2.0	27.0	135.0	19.0	8.0	8.0	8.0	15.0	12.0	45.0	207.0	37.0	14.0	20.0	1.0	42.0	86.0	25.0	5.0	22.0	15.0	15.0	24.0	20.0	2.0	9.0	69.0	12.0	18.0	5.0	33.0	51.0	61.0	7.0	3.0	37.0	146.0	28.0	105.0	4.0	24.0	34.0	33.0	79.0	60.0	13.0	32.0	15.0	60.0
10	Cellvibrio	genus	60.0	134.0	42.0	219.0	557.0	297.0	229.0	678.0	413.0	1863.0	364.0	923.0	563.0	486.0	836.0	340.0	294.0	1870.0	1077.0	383.0	26423.0	5065.0	744.0	4172.0	1125.0	60.0	355.0	645.0	652.0	281.0	736.0	45.0	1082.0	378.0	186.0	336.0	372.0	307.0	841.0	506.0	1638.0	217.0	12356.0	107.0	5123.0	1100.0	212.0	517.0	372.0	2887.0	863.0	1395.0	679.0	112.0	261.0	12.0	2627.0	261.0	1634.0	1382.0	63.0	1008.0	1476.0	1480.0	207.0	1055.0	396.0	1219.0	584.0	1269.0	213.0	105.0	302.0	618.0	4394.0	715.0	481.0	1706.0	1446.0	66.0
13	Dictyoglomus	genus	9.0	2.0	5.0	5.0	7.0	34.0	1.0	6.0	113.0	4.0	5.0	8.0	15.0	9.0	1.0	63.0	49.0	10.0	34.0	20.0	37.0	128.0	1726.0	22.0	3.0	2.0	31.0	4.0	10.0	8.0	8.0	0.0	5.0	109.0	190.0	7.0	4.0	22.0	9.0	13.0	26.0	1353.0	15.0	6.0	30.0	75.0	8.0	103.0	123.0	15.0	11.0	35.0	172.0	12.0	4.0	1.0	8.0	283.0	7.0	142.0	7.0	12.0	25.0	50.0	129.0	68.0	9.0	24.0	16.0	45.0	1.0	99.0	6.0	19.0	27.0	9.0	29.0	39.0	11.0	23.0
16	Methylophilus	genus	14.0	116.0	6.0	9.0	11.0	23.0	26.0	48.0	50.0	38.0	9.0	11.0	25.0	26.0	28.0	27.0	30.0	21.0	130.0	91.0	69.0	303.0	60.0	32.0	217.0	2.0	9.0	15.0	20.0	29.0	25.0	13.0	22.0	113.0	37.0	10.0	14.0	13.0	15.0	50.0	58.0	29.0	69.0	10.0	156.0	23.0	27.0	44.0	19.0	51.0	2278.0	35.0	64.0	18.0	23.0	2.0	13.0	40.0	14.0	26.0	381.0	31.0	44.0	78.0	86.0	110.0	14.0	27.0	47.0	1950.0	11.0	16.0	72.0	75.0	72.0	24.0	59.0	53.0	25.0	2135.0
18	Pelobacter	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0
20	Phenylobacterium	genus	1323.0	2140.0	2048.0	11174.0	20076.0	33249.0	8032.0	13889.0	10832.0	17808.0	19596.0	4604.0	25892.0	7710.0	5642.0	5792.0	4836.0	6967.0	17066.0	21724.0	9979.0	24655.0	11590.0	7255.0	29439.0	882.0	2860.0	6714.0	10997.0	8115.0	2675.0	1061.0	22428.0	4505.0	4384.0	11740.0	17133.0	7920.0	6101.0	10805.0	5524.0	21921.0	44022.0	2188.0	12431.0	2940.0	11569.0	23702.0	19492.0	13333.0	6819.0	10182.0	14235.0	22532.0	33697.0	106.0	20738.0	22730.0	16641.0	21962.0	5822.0	8193.0	2482.0	12025.0	639544.0	9157.0	7384.0	5473.0	13554.0	21843.0	1632.0	17059.0	12723.0	16950.0	18001.0	26573.0	22397.0	15396.0	13021.0	46449.0
22	Shewanella	genus	93.0	155.0	125.0	209.0	10225.0	539.0	4470.0	7808.0	10470.0	2503.0	224.0	4083.0	502.0	514.0	5998.0	1205.0	415.0	6574.0	740.0	888.0	8730.0	6634.0	948.0	7550.0	223691.0	181.0	1344.0	5080.0	682.0	454.0	288.0	5657.0	7244.0	1515.0	723.0	429.0	8161.0	20392.0	3897.0	1238.0	5971.0	776.0	3692.0	328.0	915.0	6862.0	5531.0	7021.0	1429.0	10846.0	660.0	1528.0	1201.0	3962.0	17231.0	14660.0	1484.0	7902.0	456.0	1253.0	141609.0	7757.0	1353.0	10001.0	174055.0	7984.0	5175.0	5869.0	4737.0	8621.0	6061.0	3736.0	4750.0	8203.0	21986.0	592.0	12248.0	6787.0	4909.0	10444118.0
32	Myxococcus	genus	5.0	1.0	4.0	10.0	26.0	88.0	7.0	44.0	208.0	38.0	16.0	50.0	40.0	14.0	19.0	210.0	50.0	85.0	72.0	37.0	246.0	2220.0	96.0	50.0	14.0	3.0	12.0	17.0	25.0	27.0	26.0	6.0	41.0	125.0	290.0	18.0	14.0	16.0	30.0	35.0	40.0	329.0	79.0	8.0	651.0	124.0	25.0	106.0	63.0	38.0	100.0	41.0	127.0	35.0	22.0	0.0	36.0	103.0	16.0	66.0	15.0	56.0	54.0	134.0	43.0	163.0	24.0	25.0	31.0	428.0	2.0	45.0	23.0	228.0	75.0	26.0	41.0	37.0	47.0	21.0
40	Stigmatella	genus	6.0	0.0	0.0	1.0	2.0	30.0	3.0	4.0	61.0	9.0	2.0	14.0	18.0	5.0	2.0	89.0	20.0	13.0	23.0	6.0	36.0	610.0	17.0	13.0	2.0	0.0	3.0	2.0	4.0	3.0	5.0	1.0	3.0	25.0	75.0	4.0	8.0	5.0	1.0	4.0	27.0	120.0	14.0	6.0	146.0	37.0	20.0	31.0	11.0	8.0	28.0	9.0	65.0	6.0	4.0	0.0	11.0	49.0	2.0	17.0	1.0	15.0	13.0	21.0	10.0	58.0	2.0	4.0	6.0	87.0	1.0	11.0	3.0	56.0	23.0	0.0	18.0	16.0	7.0	11.0
42	Cystobacter	genus	0.0	0.0	2.0	6.0	2.0	13.0	0.0	2.0	33.0	2.0	0.0	1.0	4.0	2.0	0.0	20.0	6.0	9.0	12.0	0.0	29.0	281.0	6.0	9.0	2.0	0.0	1.0	1.0	2.0	1.0	4.0	2.0	2.0	21.0	67.0	2.0	0.0	1.0	1.0	1.0	3.0	40.0	9.0	1.0	120.0	23.0	3.0	12.0	8.0	0.0	23.0	8.0	31.0	6.0	5.0	0.0	7.0	13.0	2.0	8.0	0.0	7.0	5.0	21.0	7.0	13.0	0.0	5.0	1.0	51.0	0.0	3.0	3.0	34.0	7.0	3.0	9.0	13.0	4.0	0.0
