genus	sum_abundance	ALB.17	AUS.18	AUS.18a	AUT.70	BGR.66	BRA.53	BRA.53a	BWA.19	CAN.22	CAN.22a	CAN.22b	CAN.22c	CHE.67	CHN.64	CIV.13	COL.2	CZE.23	DEU.27	DNK.71_RA	DNK.71_RD	DNK.71_RL	ECU.14	ECU.14a	ESP.75	ETH.24	FIN.25	GEO.59	GHA.4	HRV.68	HUN.61	IND.11	IRL.69	IRN.12	ISL.28	ISR.29	ITA.30	KAZ.6	KEN.72	KHM.21	LKA.40	LUX.32	LVA.31	MDA.65	MKD.62	MLT.63	MYS.54	NGA.50	NLD.43	NOR.34	NPL.33	NZL.56	PAK.7	PER.35	POL.36	SEN.8	SGP.52	SRB.37	SVK.9	SVN.38	SWE.41	SWE.41a	TCD.1	TGO.44	TUR.46	TZA.15	USA.74	USA.74a	USA.74b	USA.74c	USA.74d	USA.74e	USA.74f	USA.74g	USA.74h	USA.74i	VNM.48	XK.60	ZAF.39	ZMB.49	ZMB.49b
Abiotrophia	0.0004462113379311009	3.129499841438675e-06	5.123113541516175e-07	8.405904307185366e-06	7.591053260537663e-06	3.186653784087636e-07	3.611950354464768e-06	6.380079304385754e-06	5.533692739582291e-06	5.135236451962431e-06	8.402678773993149e-06	1.009690625984148e-05	8.639006870402803e-06	6.852304377252036e-06	4.77587367553626e-06	4.636375144836328e-06	1.060582458628998e-05	2.509939730441331e-06	1.282088638946356e-05	1.139329187832296e-06	4.351285444878984e-06	3.094291995958491e-06	7.313066947800463e-08	1.475600938482197e-05	3.180435349555867e-06	5.337731096573592e-06	2.204816421472708e-06	1.067194515303196e-06	7.824531122217438e-06	2.419839782408007e-06	1.477123965782423e-05	3.192613569246192e-06	2.216083447226592e-06	1.396608789452671e-06	2.955769277379439e-07	1.472748627582373e-05	1.4157836158795e-06	1.276638661469896e-06	4.597332570176126e-06	6.235049242637475e-06	2.516373940381146e-07	4.872481493635406e-06	7.89979504969218e-06	2.142273883289157e-06	2.257771403108459e-06	1.508351490812715e-06	2.278387858319211e-06	4.708291890555755e-05	4.764324736374031e-06	3.934987190960863e-07	1.65095107481533e-05	3.951817855972837e-07	4.846847691042541e-06	2.858105534037907e-05	9.117014141400635e-06	1.572788140853873e-06	6.846896193846442e-06	4.124004854717419e-06	2.977626799374149e-06	8.79644663202023e-06	4.677837342239935e-06	2.018237042192885e-06	0	1.578288568380416e-06	1.423876095441276e-07	1.091340779967224e-06	7.624284200586363e-06	1.655784613645131e-06	2.123805094158899e-06	2.27869490378649e-06	6.03831381152398e-06	2.677961346305928e-06	8.092101057394845e-06	6.521437362059954e-06	4.290302670127621e-06	6.575340518225689e-06	1.060451084784903e-07	5.875035313158686e-06	6.459946506025585e-06	8.791068943748881e-06	4.843115350092665e-06
Absicoccus	0.001122373017270231	1.858733239157516e-05	1.536934062454853e-06	1.222676990136053e-05	1.100702722777961e-05	3.823984540905163e-06	5.297527186548327e-06	1.566019465621958e-05	8.513373445511217e-06	6.846981935949908e-06	8.402678773993149e-06	3.029071877952444e-05	1.103134723451435e-05	4.216802693693561e-06	3.47336267311728e-06	6.853771953236311e-06	0.0001454986560431	9.153897840433091e-06	1.398642151577843e-05	1.128971649761093e-05	1.661399897135612e-05	1.092103057397114e-05	1.462613389560093e-07	3.236802058606109e-05	7.806523130728036e-06	5.812196082935689e-05	5.291559411534497e-06	2.134389030606392e-07	4.057164285594226e-06	7.25951934722402e-06	2.215685948673635e-05	1.773674205136773e-05	2.92120090770778e-06	4.713554664402764e-06	1.625673102558691e-06	3.129590833612542e-05	2.12367542381925e-06	6.723630283741454e-06	4.74099921299413e-06	2.084287889681671e-05	8.387913134603819e-07	5.892303201605607e-06	2.913049424573992e-05	6.307806434129184e-06	6.773314209325376e-06	1.189921731641142e-05	5.771915907742e-05	7.434145090351192e-06	1.270486596366408e-05	2.492158554275213e-06	7.481232842519817e-05	2.874049349798427e-07	2.975425943667782e-05	7.988493728677378e-06	4.041876269354281e-05	3.999375558171277e-06	5.045081405992115e-06	1.283023732578752e-05	5.497157168075351e-06	1.362829759890458e-05	1.422444416313776e-05	5.550151866030434e-06	0	6.587639241935648e-06	1.281488485897148e-06	1.114726653823664e-05	1.803794066967993e-05	5.67697581821188e-06	4.778561461857523e-06	7.887790051568618e-06	1.420779720358583e-05	4.531934586056185e-06	1.537499200905021e-05	1.024797299752278e-05	9.653181007787147e-06	1.777119058979916e-05	2.474385864498106e-07	2.543050999838688e-05	2.190764467260851e-05	3.767600975892377e-06	3.228743566728443e-06
Abyssalbus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abyssibacter	0.0001877773262637132	7.586666282275575e-07	2.561556770758088e-07	1.528346237670067e-06	3.795526630268832e-07	1.593326892043818e-07	4.815933805953024e-07	6.960086513875367e-06	4.682355395031169e-06	0	2.800892924664383e-06	1.202012649981128e-06	3.987233940185909e-07	3.16260202027017e-06	1.51959616948881e-05	2.217396808399983e-06	1.756589697104279e-05	1.18114810844298e-06	5.827675631574346e-07	8.286030456962151e-07	9.493713697917784e-07	7.280687049314095e-07	1.096960042170069e-07	3.332002119153348e-06	8.673914589697818e-07	1.186162465905243e-06	2.204816421472707e-07	1.067194515303196e-07	1.912663163208707e-05	6.049599456020017e-07	5.539214871684087e-06	1.418939364109419e-06	2.014621315660538e-07	5.237282960447515e-07	5.911538554758877e-07	0	3.450972563706281e-06	2.553277322939792e-07	3.304332784814091e-06	1.549855097455601e-05	4.19395656730191e-08	2.266270462156003e-07	9.874743812115223e-07	7.140912944297189e-07	0	3.351892201806033e-07	3.797313097198684e-07	5.575608817763394e-06	1.111675771820607e-05	2.623324793973908e-07	3.463533723388804e-07	3.592561687248034e-08	2.558058503605785e-06	5.325662485784919e-07	1.519502356900106e-06	1.348104120731891e-07	9.729799854413366e-06	1.527409205450896e-07	6.871446460094189e-07	1.238936145354962e-07	1.050126750298761e-06	0	0	6.862124210349635e-07	2.135814143161913e-07	3.897645642740085e-07	5.578744537014412e-06	0	7.964269103095871e-06	3.50568446736383e-07	0	4.11994053277835e-07	4.855260634436907e-06	9.316339088657078e-07	6.600465646350186e-07	6.397628612327697e-06	1.767418474641504e-07	1.678581518045339e-07	1.123468957569667e-06	4.186223306547086e-07	2.582994853382755e-06
Abyssibius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abyssicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaricomes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaryochloris	0.0003511955235894011	7.586666282275575e-07	5.123113541516175e-07	3.820865594175167e-06	5.693289945403247e-07	6.373307568175271e-07	4.815933805953024e-07	1.566019465621958e-05	5.959361411857852e-06	5.135236451962431e-06	0	9.616101199849028e-07	5.449219718254075e-06	3.689702356981865e-06	2.322811287647181e-05	2.015815280363621e-06	9.611528531325297e-06	3.395800811773566e-06	0	2.589384517800672e-06	2.768999828559353e-06	2.730257643492786e-06	1.096960042170069e-07	9.996006357460044e-06	2.891304863232606e-06	8.89621849428932e-07	8.819265685890828e-07	3.201583545909588e-07	3.912265561108718e-05	2.419839782408007e-06	1.661764461505226e-05	3.902083251300901e-06	4.029242631321076e-07	6.983043947263354e-07	1.330096174820748e-06	1.840935784477966e-06	5.132215607563187e-06	4.255462204899654e-07	1.43666642818004e-06	1.318267554157638e-05	1.258186970190573e-07	1.813016369724802e-06	1.481211571817284e-06	3.570456472148595e-07	3.078779186056989e-06	1.508351490812715e-06	3.797313097198684e-06	4.336584636038195e-06	3.01740566637022e-05	1.180496157288259e-06	2.193571358146243e-06	1.796280843624017e-07	9.693695382085082e-06	2.485309160032962e-06	6.989710841740486e-06	1.348104120731891e-07	8.288348024129903e-06	6.109636821803583e-07	1.603337507355311e-06	3.345127592458397e-06	2.577583841642413e-06	3.78419445411166e-07	0	1.029318631552445e-06	1.423876095441276e-07	1.091340779967224e-06	1.227323798143171e-05	1.182703295460808e-06	2.017614839450954e-05	1.577558010313724e-06	2.663961975672344e-06	1.441979186472422e-06	1.05197313746133e-05	1.863267817731416e-06	6.022924902294545e-06	6.397628612327697e-06	1.413934779713203e-07	4.196453795113348e-07	1.685203436354501e-06	2.721045149255606e-06	1.937246140037066e-06
Acerihabitans	7.048038155413028e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.897974489710162e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29048215336473e-07	0	0	0	0	0	0	0	1.859581512338137e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetatifactor	0.001931501739365085	1.06213327951858e-05	4.866957864440366e-06	1.37551161390306e-05	1.157635622231994e-05	9.400628663058524e-06	9.872664302203699e-06	3.828047582631452e-05	0.0001068428367411	2.22526912918372e-05	2.520803632197945e-05	7.21207589988677e-06	1.169588622454533e-05	1.05420067342339e-05	1.107134352056133e-05	3.08419737895634e-05	5.070909880319898e-05	9.744471894654582e-06	1.923132958419534e-05	1.646848553321227e-05	2.412985564887437e-05	2.712055925869501e-05	5.119146863460323e-07	3.379602149426967e-05	1.243261091190021e-05	3.004944913626615e-05	2.160720093043253e-05	4.268778061212784e-07	3.738387091726109e-05	1.149423896643803e-05	2.584966940119241e-05	5.817651392848617e-05	6.346057144330695e-06	8.379652736716024e-06	3.546923132855326e-06	4.050058725851525e-05	9.556539407186624e-06	8.681142897995295e-06	5.660465727029356e-05	1.532040671048065e-05	1.761461758266802e-06	1.677040141995442e-05	4.147392401088394e-05	6.78386729708233e-06	2.606699710861584e-05	3.08374082566155e-05	1.101220798187618e-05	3.779023754261856e-05	2.540973192732817e-05	1.101796413469041e-05	8.012308013439435e-05	1.07776850617441e-06	7.027929152011684e-05	7.615697354672435e-05	5.135917966322358e-05	7.863940704269365e-06	1.441451830283462e-05	1.832891046541075e-05	5.313918595806173e-05	3.753976520425535e-05	2.501210987075231e-05	1.425379911048725e-05	0	8.989382715558021e-06	9.255194620368292e-07	7.810881868051131e-05	5.020870083312971e-05	1.797709009100429e-05	1.911424584743009e-05	1.560029587976905e-05	1.687175917925818e-05	1.256581862497397e-05	1.861183243200814e-05	1.583777645071703e-05	1.509856516602605e-05	3.714178833268024e-05	3.534836949283008e-07	2.517872277068008e-05	2.134591019382367e-05	3.244323062573991e-05	3.454755616399434e-05
