taxonomy_id	name	rank	AUS.18a_ERR1713333_db1.kraken2.kraken2.report	AUS.18_ERR1713332_db1.kraken2.kraken2.report	AUT.70_ERR1713334_db1.kraken2.kraken2.report	BWA.19_ERR1713338_db1.kraken2.kraken2.report	BRA.53_ERR1713336_db1.kraken2.kraken2.report	BRA.53a_ERR1713337_db1.kraken2.kraken2.report	BGR.66_ERR1713335_db1.kraken2.kraken2.report	ALB.17_ERR1713331_db1.kraken2.kraken2.report	CAN.22_ERR1713339_db1.kraken2.kraken2.report	CAN.22a_ERR1713340_db1.kraken2.kraken2.report	CAN.22b_ERR1713341_db1.kraken2.kraken2.report	COL.2_ERR1713346_db1.kraken2.kraken2.report	CIV.13_ERR1713345_db1.kraken2.kraken2.report	DEU.27_ERR1713348_db1.kraken2.kraken2.report	CAN.22c_ERR1713342_db1.kraken2.kraken2.report	CZE.23_ERR1713347_db1.kraken2.kraken2.report	CHN.64_ERR1713344_db1.kraken2.kraken2.report	DNK.71_RL_ERR1713351_db1.kraken2.kraken2.report	DNK.71_RA_ERR1713349_db1.kraken2.kraken2.report	DNK.71_RD_ERR1713350_db1.kraken2.kraken2.report	ESP.75_ERR1713354_db1.kraken2.kraken2.report	ETH.24_ERR1713355_db1.kraken2.kraken2.report	ECU.14a_ERR1713353_db1.kraken2.kraken2.report	FIN.25_ERR1713356_db1.kraken2.kraken2.report	IND.11_ERR1713362_db1.kraken2.kraken2.report	GHA.4_ERR1713358_db1.kraken2.kraken2.report	IRN.12_ERR1713364_db1.kraken2.kraken2.report	ISR.29_ERR1713366_db1.kraken2.kraken2.report	ISL.28_ERR1713365_db1.kraken2.kraken2.report	CHE.67_ERR1713343_db1.kraken2.kraken2.report	GEO.59_ERR1713357_db1.kraken2.kraken2.report	KAZ.6_ERR1713368_db1.kraken2.kraken2.report	HUN.61_ERR1713361_db1.kraken2.kraken2.report	IRL.69_ERR1713363_db1.kraken2.kraken2.report	HRV.68_ERR1713360_db1.kraken2.kraken2.report	KHM.21_ERR1713370_db1.kraken2.kraken2.report	KEN.72_ERR1713369_db1.kraken2.kraken2.report	ITA.30_ERR1713367_db1.kraken2.kraken2.report	LKA.40_ERR1713371_db1.kraken2.kraken2.report	NLD.43_ERR1713379_db1.kraken2.kraken2.report	LVA.31_ERR1713373_db1.kraken2.kraken2.report	MKD.62_ERR1713375_db1.kraken2.kraken2.report	MDA.65_ERR1713374_db1.kraken2.kraken2.report	MLT.63_ERR1713376_db1.kraken2.kraken2.report	NGA.50_ERR1713378_db1.kraken2.kraken2.report	NOR.34_ERR1713380_db1.kraken2.kraken2.report	LUX.32_ERR1713372_db1.kraken2.kraken2.report	NPL.33_ERR1713381_db1.kraken2.kraken2.report	MYS.54_ERR1713377_db1.kraken2.kraken2.report	SGP.52_ERR1713387_db1.kraken2.kraken2.report	PAK.7_ERR1713384_db1.kraken2.kraken2.report	SEN.8_ERR1713386_db1.kraken2.kraken2.report	POL.36_ERR1713383_db1.kraken2.kraken2.report	PER.35_ERR1713385_db1.kraken2.kraken2.report	SWE.41_ERR1713391_db1.kraken2.kraken2.report	SRB.37_ERR1713388_db1.kraken2.kraken2.report	SVK.9_ERR1713389_db1.kraken2.kraken2.report	TCD.1_ERR1713393_db1.kraken2.kraken2.report	SVN.38_ERR1713390_db1.kraken2.kraken2.report	USA.74a_ERR1713398_db1.kraken2.kraken2.report	TUR.46_ERR1713395_db1.kraken2.kraken2.report	SWE.41a_ERR1713392_db1.kraken2.kraken2.report	USA.74c_ERR1713400_db1.kraken2.kraken2.report	USA.74b_ERR1713399_db1.kraken2.kraken2.report	USA.74g_ERR1713404_db1.kraken2.kraken2.report	USA.74_ERR1713397_db1.kraken2.kraken2.report	USA.74i_ERR1713406_db1.kraken2.kraken2.report	USA.74e_ERR1713402_db1.kraken2.kraken2.report	USA.74f_ERR1713403_db1.kraken2.kraken2.report	USA.74d_ERR1713401_db1.kraken2.kraken2.report	XK.60_ERR1713408_db1.kraken2.kraken2.report	ZAF.39_ERR1713409_db1.kraken2.kraken2.report	ZMB.49_ERR1713410_db1.kraken2.kraken2.report	ZMB.49b_ERR1713411_db1.kraken2.kraken2.report	ECU.14_ERR1713352_db1.kraken2.kraken2.report	NZL.56_ERR1713382_db1.kraken2.kraken2.report	TZA.15_ERR1713396_db1.kraken2.kraken2.report	TGO.44_ERR1713394_db1.kraken2.kraken2.report	USA.74h_ERR1713405_db1.kraken2.kraken2.report	VNM.48_ERR1713407_db1.kraken2.kraken2.report
0			5621231	13474434	19937058	19508495	20649916	37521371	23865777	37059787	2585513	1902976	16174655	26991122	27931947	8153021	42496176	36071527	50574224	26043098	50263531	56318737	15458194	48807081	15726653	20702965	37295219	48416587	22603059	2887441	20683904	10322675	23020993	46104251	3951351	33637781	15191151	40138600	36407434	57825924	51218326	7882290	9335668	20450654	24578544	23063288	22450138	30420590	41769301	45582446	12358487	20997330	51027888	57348661	24578688	31223385	46886727	24432099	24366023	3686261	38696741	21647627	37667606	32683636	25855293	16005044	4910216	42745473	43862446	20410226	7530123	23908983	39285192	18354386	24378852	17324888	64354551	64943720	53543992	79082447	60408314	55767018
1	root	no rank	29101	12725	14987	27425	24556	26348	15191	36347	8286	9166	13740	37530	38719	13920	44650	35737	22704	21156	22377	30933	32603	50335	32427	25320	46620	49827	30528	29526	72031	29307	24384	56769	6471	58095	14755	62361	23698	38303	41944	15257	15287	19254	33373	40067	30918	18434	28669	26204	17071	31839	35910	95740	50589	34687	32497	26412	24096	12551	30308	19967	25350	47327	154270	15866	17292	32964	18719	20168	17900	75536	29431	24899	31898	21186	51676	39376	45118	35419	30169	40375
131567	cellular organisms	cellular root	4941	17742	20764	8409	19696	14277	27911	55646	2105	1246	14691	7679	19216	6065	26901	26317	15683	20962	32953	49173	13388	37636	7626	16207	21325	9604	23159	2086	30492	7192	30592	46935	2025	42017	14303	15856	29250	44517	80633	1959	8253	19857	54476	31331	12481	25540	36121	31418	9444	10280	24330	159397	12091	23004	36330	28006	16522	8862	32045	17787	43145	33353	19889	5823	4797	18163	19687	19052	4132	21273	64721	13458	18473	11931	59267	66437	52585	33815	46506	77239
2	Bacteria	domain	12011	29902	43935	28077	44677	23370	45801	71126	4807	2492	35719	18738	46059	17391	76046	44269	38116	48967	70768	105461	31849	97115	17267	39411	51448	28125	39652	4528	65376	15739	52184	76411	4750	60973	26630	23705	62483	74828	227403	3388	17648	36749	61056	52373	34391	39151	81844	60346	30196	34394	59551	218731	26889	48652	80275	52685	36203	19394	68061	35764	66046	54971	46782	13789	8212	52224	49292	43544	11025	54307	82728	36202	44099	32589	80802	103487	103561	54751	111655	172805
3379134	Pseudomonadati	kingdom	1885	7908	8068	8494	10825	6909	13390	17347	1008	594	6453	4174	11815	3818	14524	10529	9658	11116	17197	25850	7380	23193	4591	7752	9726	8437	12099	750	15075	3435	13968	21708	1161	15156	6998	7564	14380	21929	44987	1247	3945	9427	15720	15115	7996	10859	20525	4039	4750	7364	12096	45822	4948	14390	17526	11808	10016	3148	7635	5465	19915	13250	13182	2844	2312	10224	10709	11426	3125	8605	17981	6693	9665	8246	26824	26965	24587	16012	34117	42535
1224	Pseudomonadota	phylum	9508	39741	36873	30565	62071	19344	54920	75082	4725	2607	32976	5819	59433	20253	90063	41045	36404	44410	72299	102540	36345	133246	12137	40284	23358	37801	53564	3062	73723	17005	66153	84835	4923	63216	35200	11398	72089	94952	306992	3107	16858	39109	57602	58585	45222	39990	111860	10939	28263	43487	40589	170040	20831	58899	82309	61719	44153	11259	36345	26325	88866	54033	50052	10634	7992	58862	60256	49299	13065	44485	84523	37065	46789	37560	99890	110519	87067	46934	151381	140911
1236	Gammaproteobacteria	class	5207	20057	21892	12598	19689	5066	28702	92211	1602	1159	12791	7767	15872	5333	22048	23187	10704	14524	24071	32706	16223	22059	6975	9994	27910	3630	17536	1876	16522	4248	59745	32913	1177	69898	9415	13941	21626	38732	268782	1483	5627	16763	71506	52776	7885	21434	37060	5296	9081	11814	20292	279911	7641	22471	28147	27318	11601	24630	14216	14566	62847	33033	15561	4920	3537	13846	15953	23904	3185	22751	97623	11365	14572	14638	84920	93766	80346	36287	44587	273849
2887326	Moraxellales	order	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
468	Moraxellaceae	family	1452	5812	2344	905	9861	206	4720	11244	337	145	956	135	3878	536	1371	3526	592	1816	2772	5103	972	3910	310	1192	256	337	2327	186	2777	637	7229	5899	97	11738	1444	2818	8124	6385	1547	108	685	2139	11049	5409	694	2693	3884	787	474	792	1167	44932	993	2220	6060	3928	1260	3074	3353	1967	8391	7149	2324	284	368	2494	4055	2564	278	963	11248	1446	1075	456	10465	28129	13819	4805	2160	14274
469	Acinetobacter	genus	14193	187684	142566	20502	76928	10471	230945	917757	6986	6078	46773	6109	73767	20227	61328	178361	29773	76187	81356	168785	59416	143037	16311	26859	10622	19318	115947	10693	111231	19237	466286	207992	4052	583773	59693	33187	103829	330238	47796	4107	25378	146313	945164	377659	16234	119759	237843	15987	15195	24782	56547	3056192	27492	68901	163898	229924	47507	194362	77857	112337	221702	230204	30996	10831	12682	49620	67244	98120	10447	51569	921782	40360	36982	24191	581310	194410	310459	319063	119907	915101
196816	unclassified Acinetobacter	no rank	202	1090	759	228	5690	531	1539	2467	85	37	334	56	1637	337	411	634	1951	664	832	1299	350	948	413	359	532	238	1244	54	3290	171	1630	1694	55	2557	728	339	5094	1409	1230	114	446	694	1576	697	570	877	1390	250	1345	1576	1908	10543	339	777	1706	1197	414	1600	1763	787	1060	1958	627	184	257	1411	539	7998	142	488	3576	1030	1123	1118	5904	1968	25675	93977	994	40530
2798861	Acinetobacter sp. CS-2	species	61	127	42	9	431	6	145	231	3	4	30	0	109	7	28	91	43	28	70	116	19	122	3	23	8	8	87	3	60	11	119	187	4	303	38	12	309	181	33	8	21	49	262	54	10	84	121	10	40	41	30	218	19	30	58	152	35	27	54	45	95	258	40	8	12	74	26	209	3	27	607	61	14	25	149	98	383	51	36	414
1646498	Acinetobacter sp. TTH0-4	species	36	489	1208	55	53	44	857	6964	49	62	50	46	111	98	287	1264	81	613	1451	1726	60	94	58	271	25	42	57	65	124	102	3862	673	21	11366	4035	1064	66	312	282	26	96	227	673	83	35	1768	2392	993	27	66	52	237	226	784	8152	249	325	15	13489	264	6231	1152	59	49	28	83	112	61	28	73	1474	101	32	24	51406	12886	67	77	112	354
2743575	Acinetobacter sp. NEB 394	species	35	681	403	15	82	13	1049	2972	19	16	186	10	24	43	184	469	62	271	254	605	193	325	26	73	13	15	469	33	472	77	913	733	10	2479	275	59	173	1352	10	10	69	596	2281	533	13	417	812	23	23	22	50	1877	72	94	265	939	159	16	229	211	518	866	41	31	36	199	186	203	11	161	4214	92	35	20	1584	530	249	17	382	175
1879049	Acinetobacter sp. WCHAc010034	species	14	131	100	0	61	7	246	716	6	3	25	8	13	14	75	180	70	97	237	279	42	122	16	36	3	2	69	9	40	29	162	257	3	471	96	27	224	581	6	11	9	141	288	112	8	264	327	9	3	13	32	65	27	29	150	201	47	2	95	75	225	441	17	13	11	75	58	85	3	47	1523	12	10	7	318	119	2034	37	132	139
362457	Acinetobacter sp. A2	species	11	6	4	30	90	4	16	12	3	1	4	1	185	6	2	28	6	5	13	30	0	16	28	4	2	48	37	2	11	0	66	27	2	20	5	23	47	15	1	0	6	6	53	138	16	10	12	3	4	33	118	554	5	76	28	6	3	13	20	2	26	59	41	2	14	1	7	102	6	4	20	26	50	27	48	24	549	92	7	140
2004646	Acinetobacter sp. WCHA55	species	8	43	24	9	78	7	34	85	4	1	17	0	15	9	32	15	21	17	15	26	7	88	8	16	11	4	30	4	22	3	58	33	0	66	7	11	160	41	164	3	5	17	77	53	5	16	24	3	4	8	18	6687	16	20	16	28	10	31	25	31	54	21	32	4	15	11	8	29	16	20	84	26	16	16	48	24	419	112	74	3906
1758189	Acinetobacter sp. ACNIH2	species	8	41	28	13	84	6	93	220	7	4	11	2	11	9	28	63	27	45	57	117	18	33	4	24	3	2	40	2	75	12	218	106	3	321	30	4	96	75	11	2	15	42	155	39	4	108	69	15	11	17	14	214	11	11	97	88	17	2	21	32	175	199	17	9	10	32	25	492	2	9	261	16	9	34	324	193	268	502	52	425
2004644	Acinetobacter sp. WCHA45	species	7	39	35	4	90	6	67	31	5	1	10	1	21	21	20	25	29	32	30	68	7	15	10	7	7	1	45	0	212	7	22	47	2	21	19	1	92	39	12	1	41	25	42	8	26	17	52	8	52	53	27	144	16	19	49	60	38	1	72	8	0	58	40	3	7	30	16	35	5	12	63	45	22	12	54	21	330	4	43	113
2925837	Acinetobacter sp. LUNF3	species	7	27	17	2	9	3	24	136	0	0	4	1	1	4	6	21	2	14	10	29	7	37	1	4	0	1	22	3	14	3	104	32	0	73	2	1	23	47	7	1	2	13	107	47	1	18	15	10	1	3	5	795	7	9	27	22	5	6	8	19	15	32	1	2	1	5	11	5	2	3	91	4	6	5	48	26	51	2	9	248
2908637	Acinetobacter sp. SCLZS86	species	7	22	26	31	79	5	22	81	3	1	5	3	101	14	6	11	8	21	20	45	10	42	25	13	2	9	56	5	15	4	17	82	5	65	11	5	68	45	7	1	23	23	46	76	11	19	31	11	20	21	67	335	13	45	61	34	24	82	42	7	15	53	53	2	11	10	22	73	8	9	74	65	39	22	72	16	241	37	28	106
3366266	Acinetobacter sp. P1332	species	6	18	38	0	0	0	12	161	0	1	9	0	2	3	9	18	1	17	20	29	4	15	2	1	0	2	9	5	7	2	70	18	1	52	13	12	3	63	5	4	2	21	174	48	1	7	32	1	0	0	4	755	10	16	9	45	2	8	14	14	16	9	4	0	1	3	4	6	0	3	305	1	3	1	40	10	9	2	32	83
2996862	Acinetobacter sp. YWS30-1	species	4	6	7	2	14	0	10	275	0	1	3	3	4	2	6	4	2	4	22	48	1	33	1	5	0	0	8	1	0	2	0	20	0	34	5	6	27	20	0	0	3	25	37	9	0	22	24	0	2	1	5	117	1	14	12	37	2	0	4	3	6	27	9	0	4	9	4	11	1	3	98	6	4	4	4	2	35	40	6	10
2953738	Acinetobacter sp. Z1	species	3	10	10	0	1	1	7	36	3	2	2	0	2	1	1	0	5	14	9	20	1	7	0	2	0	1	1	0	13	0	153	5	0	64	2	0	7	9	3	0	5	12	20	6	5	4	15	3	3	2	7	5	3	3	9	5	0	0	2	32	2	6	4	3	0	5	6	9	3	1	14	4	1	1	221	45	13	128	29	337
3003392	Acinetobacter sp. TR3	species	3	19	41	2	11	0	9	121	2	0	18	1	5	5	18	17	6	28	35	57	7	13	6	14	2	0	19	1	58	11	8	40	2	61	11	0	19	24	3	3	6	21	50	5	2	18	59	3	8	10	7	59	9	4	52	65	7	1	24	14	5	108	7	2	2	20	13	31	0	32	247	10	11	5	17	6	325	7	25	23
3157368	Acinetobacter sp. XH1639	species	3	33	17	10	80	7	37	63	4	3	7	1	31	12	10	22	25	30	27	37	5	18	6	19	8	2	41	0	102	6	55	61	5	59	7	2	82	40	21	1	15	18	49	19	22	26	35	5	61	47	21	260	9	21	30	26	17	5	24	11	19	42	20	5	3	30	13	25	0	15	71	40	18	14	137	70	317	6	29	111
2929509	Acinetobacter sp. NyZ410	species	3	25	4	0	3	1	13	48	0	0	1	0	1	4	0	9	0	4	6	8	6	3	0	8	0	0	4	0	2	12	5	3	0	33	4	2	7	15	13	0	3	2	8	1	0	4	24	0	4	2	5	18	2	1	8	73	8	0	7	60	12	35	0	0	0	3	5	4	0	4	12	1	1	0	8	20	11	2	2	48
3081771	Acinetobacter sp. 16	species	2	10	2	3	3	0	2	18	1	0	3	0	4	2	2	2	4	4	2	3	1	6	2	2	2	0	3	0	5	2	12	2	1	15	1	0	8	2	12	0	1	5	22	19	3	2	4	0	2	2	5	130	1	5	4	14	0	1	5	3	4	8	4	0	2	0	3	6	2	3	10	4	4	4	5	5	23	16	4	79
3027470	Acinetobacter sp. TAC-1	species	2	29	2	0	0	2	8	41	0	0	4	1	0	0	9	0	4	3	0	3	9	4	0	4	0	0	0	0	1	1	0	7	0	24	1	0	8	0	33	0	0	3	5	0	0	5	1	0	0	1	1	1	0	0	3	0	0	0	0	54	4	59	0	0	0	6	0	0	2	3	0	0	0	0	4	15	0	1	1	9
3403576	Acinetobacter sp. LF10	species	2	5	7	7	13	2	4	22	0	0	5	0	0	1	4	5	2	3	4	5	4	2	0	2	2	0	9	0	17	1	8	12	0	12	2	3	21	14	0	0	2	4	16	1	3	2	24	4	4	1	4	67	4	5	5	8	1	0	11	11	0	8	2	0	4	6	5	4	1	8	101	3	4	7	11	3	45	35	14	17
