genus	sum_abundance	ALB.17	AUS.18	AUS.18a	AUT.70	BGR.66	BRA.53	BRA.53a	BWA.19	CAN.22	CAN.22a	CAN.22b	CAN.22c	CHE.67	CHN.64	CIV.13	COL.2	CZE.23	DEU.27	DNK.71_RA	DNK.71_RD	DNK.71_RL	ECU.14	ECU.14a	ESP.75	ETH.24	FIN.25	GEO.59	GHA.4	HRV.68	HUN.61	IND.11	IRL.69	IRN.12	ISL.28	ISR.29	ITA.30	KAZ.6	KEN.72	KHM.21	LKA.40	LUX.32	LVA.31	MDA.65	MKD.62	MLT.63	MYS.54	NGA.50	NLD.43	NOR.34	NPL.33	NZL.56	PAK.7	PER.35	POL.36	SEN.8	SGP.52	SRB.37	SVK.9	SVN.38	SWE.41	SWE.41a	TCD.1	TGO.44	TUR.46	TZA.15	USA.74	USA.74a	USA.74b	USA.74c	USA.74d	USA.74e	USA.74f	USA.74g	USA.74h	USA.74i	VNM.48	XK.60	ZAF.39	ZMB.49	ZMB.49b
Abiotrophia	0.0004462113379311008	3.1294998414386746e-06	5.123113541516175e-07	8.405904307185366e-06	7.591053260537663e-06	3.1866537840876354e-07	3.611950354464768e-06	6.380079304385754e-06	5.533692739582291e-06	5.135236451962431e-06	8.402678773993149e-06	1.0096906259841478e-05	8.639006870402803e-06	6.852304377252036e-06	4.77587367553626e-06	4.636375144836328e-06	1.0605824586289984e-05	2.5099397304413315e-06	1.2820886389463562e-05	1.1393291878322958e-06	4.351285444878984e-06	3.0942919959584907e-06	7.313066947800462e-08	1.475600938482197e-05	3.1804353495558665e-06	5.337731096573592e-06	2.2048164214727073e-06	1.067194515303196e-06	7.824531122217438e-06	2.4198397824080067e-06	1.4771239657824234e-05	3.192613569246192e-06	2.2160834472265915e-06	1.3966087894526708e-06	2.9557692773794387e-07	1.4727486275823727e-05	1.4157836158794997e-06	1.2766386614698961e-06	4.597332570176126e-06	6.2350492426374754e-06	2.516373940381146e-07	4.872481493635406e-06	7.89979504969218e-06	2.1422738832891568e-06	2.2577714031084587e-06	1.5083514908127148e-06	2.2783878583192106e-06	4.708291890555755e-05	4.764324736374031e-06	3.9349871909608623e-07	1.65095107481533e-05	3.951817855972837e-07	4.846847691042541e-06	2.8581055340379065e-05	9.117014141400635e-06	1.572788140853873e-06	6.846896193846442e-06	4.124004854717419e-06	2.977626799374149e-06	8.79644663202023e-06	4.677837342239935e-06	2.018237042192885e-06	0.0	1.5782885683804159e-06	1.4238760954412756e-07	1.091340779967224e-06	7.624284200586363e-06	1.6557846136451317e-06	2.1238050941588987e-06	2.2786949037864897e-06	6.03831381152398e-06	2.6779613463059273e-06	8.092101057394845e-06	6.521437362059954e-06	4.290302670127621e-06	6.575340518225689e-06	1.0604510847849024e-07	5.875035313158686e-06	6.459946506025585e-06	8.79106894374888e-06	4.843115350092665e-06
Absicoccus	0.0011223730172702966	1.8587332391575158e-05	1.5369340624548526e-06	1.2226769901360534e-05	1.1007027227779611e-05	3.823984540905163e-06	5.297527186548327e-06	1.5660194656219575e-05	8.513373445511217e-06	6.846981935949908e-06	8.402678773993149e-06	3.0290718779524435e-05	1.1031347234514347e-05	4.216802693693561e-06	3.47336267311728e-06	6.853771953236311e-06	0.0001454986560431657	9.15389784043309e-06	1.3986421515778432e-05	1.128971649761093e-05	1.6613998971356122e-05	1.0921030573971143e-05	1.4626133895600924e-07	3.2368020586061094e-05	7.806523130728036e-06	5.812196082935689e-05	5.291559411534497e-06	2.1343890306063917e-07	4.0571642855942265e-06	7.25951934722402e-06	2.215685948673635e-05	1.7736742051367734e-05	2.92120090770778e-06	4.713554664402764e-06	1.6256731025586913e-06	3.1295908336125416e-05	2.12367542381925e-06	6.723630283741454e-06	4.7409992129941305e-06	2.0842878896816705e-05	8.38791313460382e-07	5.892303201605607e-06	2.9130494245739913e-05	6.307806434129184e-06	6.773314209325376e-06	1.1899217316411417e-05	5.771915907742e-05	7.434145090351192e-06	1.2704865963664084e-05	2.4921585542752127e-06	7.481232842519817e-05	2.874049349798427e-07	2.975425943667782e-05	7.988493728677378e-06	4.0418762693542814e-05	3.999375558171277e-06	5.045081405992115e-06	1.2830237325787524e-05	5.497157168075351e-06	1.3628297598904582e-05	1.4224444163137764e-05	5.550151866030434e-06	0.0	6.5876392419356485e-06	1.281488485897148e-06	1.1147266538236644e-05	1.8037940669679933e-05	5.67697581821188e-06	4.778561461857523e-06	7.887790051568618e-06	1.4207797203585834e-05	4.531934586056185e-06	1.5374992009050207e-05	1.0247972997522785e-05	9.653181007787147e-06	1.7771190589799158e-05	2.4743858644981055e-07	2.5430509998386884e-05	2.1907644672608508e-05	3.767600975892377e-06	3.228743566728443e-06
Abyssibacter	0.00018777732626371318	7.586666282275575e-07	2.5615567707580873e-07	1.5283462376700668e-06	3.7955266302688314e-07	1.5933268920438177e-07	4.815933805953024e-07	6.960086513875367e-06	4.6823553950311695e-06	0.0	2.800892924664383e-06	1.2020126499811283e-06	3.987233940185909e-07	3.1626020202701706e-06	1.51959616948881e-05	2.217396808399983e-06	1.7565896971042785e-05	1.1811481084429796e-06	5.827675631574346e-07	8.286030456962151e-07	9.493713697917783e-07	7.280687049314095e-07	1.0969600421700692e-07	3.332002119153348e-06	8.673914589697818e-07	1.1861624659052426e-06	2.204816421472707e-07	1.0671945153031958e-07	1.912663163208707e-05	6.049599456020017e-07	5.539214871684087e-06	1.4189393641094186e-06	2.0146213156605378e-07	5.237282960447515e-07	5.911538554758877e-07	0.0	3.450972563706281e-06	2.553277322939792e-07	3.304332784814091e-06	1.549855097455601e-05	4.19395656730191e-08	2.266270462156003e-07	9.874743812115225e-07	7.140912944297189e-07	0.0	3.351892201806033e-07	3.7973130971986843e-07	5.575608817763394e-06	1.1116757718206072e-05	2.6233247939739084e-07	3.4635337233888044e-07	3.5925616872480335e-08	2.5580585036057853e-06	5.325662485784919e-07	1.5195023569001058e-06	1.348104120731891e-07	9.729799854413366e-06	1.5274092054508958e-07	6.871446460094189e-07	1.238936145354962e-07	1.050126750298761e-06	0.0	0.0	6.862124210349635e-07	2.1358141431619134e-07	3.8976456427400854e-07	5.578744537014412e-06	0.0	7.964269103095871e-06	3.5056844673638304e-07	0.0	4.1199405327783497e-07	4.855260634436907e-06	9.316339088657078e-07	6.600465646350186e-07	6.397628612327697e-06	1.767418474641504e-07	1.6785815180453387e-07	1.123468957569667e-06	4.1862233065470857e-07	2.5829948533827547e-06
Acaryochloris	0.0003511955235894011	7.586666282275575e-07	5.123113541516175e-07	3.820865594175167e-06	5.693289945403247e-07	6.373307568175271e-07	4.815933805953024e-07	1.5660194656219575e-05	5.959361411857852e-06	5.135236451962431e-06	0.0	9.616101199849028e-07	5.449219718254075e-06	3.6897023569818654e-06	2.322811287647181e-05	2.015815280363621e-06	9.611528531325297e-06	3.3958008117735662e-06	0.0	2.589384517800672e-06	2.7689998285593533e-06	2.7302576434927857e-06	1.0969600421700692e-07	9.996006357460044e-06	2.891304863232606e-06	8.89621849428932e-07	8.819265685890828e-07	3.2015835459095873e-07	3.9122655611087184e-05	2.4198397824080067e-06	1.661764461505226e-05	3.9020832513009015e-06	4.0292426313210756e-07	6.983043947263354e-07	1.3300961748207475e-06	1.840935784477966e-06	5.132215607563187e-06	4.255462204899654e-07	1.4366664281800395e-06	1.3182675541576376e-05	1.258186970190573e-07	1.8130163697248023e-06	1.4812115718172837e-06	3.5704564721485946e-07	3.078779186056989e-06	1.5083514908127148e-06	3.7973130971986843e-06	4.336584636038195e-06	3.01740566637022e-05	1.1804961572882588e-06	2.193571358146243e-06	1.7962808436240168e-07	9.693695382085082e-06	2.4853091600329622e-06	6.989710841740486e-06	1.348104120731891e-07	8.288348024129903e-06	6.109636821803583e-07	1.6033375073553108e-06	3.3451275924583974e-06	2.5775838416424133e-06	3.7841944541116596e-07	0.0	1.029318631552445e-06	1.4238760954412756e-07	1.091340779967224e-06	1.2273237981431707e-05	1.1827032954608085e-06	2.017614839450954e-05	1.5775580103137237e-06	2.663961975672344e-06	1.4419791864724225e-06	1.05197313746133e-05	1.8632678177314155e-06	6.022924902294545e-06	6.397628612327697e-06	1.413934779713203e-07	4.1964537951133473e-07	1.6852034363545006e-06	2.721045149255606e-06	1.937246140037066e-06
Acerihabitans	7.04803815541303e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.897974489710162e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2904821533647297e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8595815123381373e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetatifactor	0.0019315017393651502	1.0621332795185805e-05	4.866957864440366e-06	1.37551161390306e-05	1.1576356222319936e-05	9.400628663058525e-06	9.8726643022037e-06	3.828047582631452e-05	0.00010684283674116578	2.22526912918372e-05	2.5208036321979448e-05	7.2120758998867705e-06	1.1695886224545332e-05	1.0542006734233901e-05	1.1071343520561331e-05	3.08419737895634e-05	5.070909880319898e-05	9.744471894654582e-06	1.9231329584195343e-05	1.6468485533212274e-05	2.4129855648874368e-05	2.7120559258695006e-05	5.119146863460323e-07	3.379602149426967e-05	1.2432610911900207e-05	3.0049449136266146e-05	2.1607200930432528e-05	4.2687780612127834e-07	3.738387091726109e-05	1.1494238966438031e-05	2.5849669401192408e-05	5.8176513928486166e-05	6.346057144330695e-06	8.379652736716024e-06	3.546923132855326e-06	4.050058725851525e-05	9.556539407186624e-06	8.681142897995295e-06	5.660465727029356e-05	1.5320406710480655e-05	1.7614617582668022e-06	1.677040141995442e-05	4.147392401088394e-05	6.78386729708233e-06	2.606699710861584e-05	3.08374082566155e-05	1.1012207981876185e-05	3.779023754261856e-05	2.5409731927328167e-05	1.1017964134690414e-05	8.012308013439435e-05	1.07776850617441e-06	7.027929152011684e-05	7.615697354672435e-05	5.1359179663223576e-05	7.863940704269365e-06	1.4414518302834616e-05	1.832891046541075e-05	5.313918595806173e-05	3.753976520425535e-05	2.5012109870752308e-05	1.4253799110487252e-05	0.0	8.989382715558021e-06	9.255194620368292e-07	7.810881868051131e-05	5.020870083312971e-05	1.797709009100429e-05	1.911424584743009e-05	1.5600295879769046e-05	1.687175917925818e-05	1.2565818624973967e-05	1.8611832432008143e-05	1.5837776450717033e-05	1.509856516602605e-05	3.7141788332680245e-05	3.534836949283008e-07	2.5178722770680083e-05	2.1345910193823672e-05	3.2443230625739915e-05	3.454755616399434e-05
Acetivibrio	0.0029515793182438507	6.638332996991128e-06	4.354646510288749e-06	1.9104327970875835e-05	1.556165918410221e-05	4.620647986927071e-06	7.223900708929536e-06	8.555106339971806e-05	2.3837445647431408e-05	1.8829200323862247e-05	3.3610715095972595e-05	9.231457151855066e-05	2.17968788730163e-05	1.6867210774774244e-05	3.321403056168399e-05	2.5600854060617986e-05	5.932633127955959e-05	3.425329514484641e-05	2.4476237652612254e-05	1.1911168781883091e-05	1.4082341985244712e-05	1.8565751975750944e-05	2.1939200843401384e-07	2.951201876964394e-05	9.830436534990861e-06	1.907744632664265e-05	2.2489127499021612e-05	6.403167091819175e-07	0.00011389039744560936	1.0284319075234028e-05	0.0003748202063172899	6.065965781567765e-05	3.727049433971995e-06	7.157620045944938e-06	2.5124038857725227e-06	4.9705266180905076e-05	9.645025883179092e-06	7.404504236525398e-06	2.643466227851273e-05	5.8965751408942984e-05	1.216247404517554e-06	8.38520070997721e-06	1.678706448059588e-05	9.16417161184806e-06	1.4367636201599282e-05	0.00010273549598535492	1.1391939291596052e-05	2.849755617967957e-05	0.00026680218523694575	4.328485910056949e-06	3.602075072324357e-05	5.029586362147247e-07	3.729380028941066e-05	2.2190260357437164e-05	4.892797589218341e-05	3.2354498897565385e-06	3.4594843926803075e-05	1.5426832975054046e-05	1.4888133996870744e-05	0.0004615037141447233	2.606223662105107e-05	1.1983282438020256e-05	6.280732408767652e-07	3.451648477805866e-05	7.119380477206378e-07	1.551262965810554e-05	4.4072081842413855e-05	3.358877359108696e-05	6.849271428662448e-05	1.2795748305877981e-05	1.4207797203585834e-05	6.7979018790842776e-06	3.236840422957938e-05	2.515411553937411e-05	1.9883902759629935e-05	1.7238054872105185e-05	8.83709237320752e-07	7.721474983008559e-06	2.3031113630178174e-05	1.9256627210116594e-05	1.9695335757043503e-05
Acetoanaerobium	0.5569531508695287	0.0032026163377341056	0.0030421048209523047	0.011649819196640083	0.0008101551592308821	0.001057969056317095	0.006453832893357647	0.0014929385572262663	0.016864567126885447	0.006330034799785689	0.004629876004470225	0.004455139685890054	0.0007743208311841035	0.0018364175731035457	0.0008043005439937202	0.004780505937382327	0.00338226374697154	0.002825306275395607	0.015314548792214226	0.0015360228959593587	0.0011069670171772136	0.0030176627647644596	0.00014505468290962215	0.0038127624249169024	0.008884690714227475	0.0042278784159749195	0.004373253371991115	8.035974700233065e-05	0.002361559411664811	0.008602832906433265	0.007247139457120014	0.0008712287695631831	0.0002714702222852575	0.007238099627437148	0.00022138711887571995	0.010404969053869463	0.001962099118657002	0.0015057527465816936	0.010031523334767126	0.00640713660173427	5.657647409290276e-05	0.0007726849140720891	0.0068693655328979555	0.002226655671247602	0.0035231496485778812	0.0004830076662802494	0.0042389406104028915	0.0019477460136720123	0.0027140769914877397	0.000214456801907367	0.0007915329069184548	8.78740588700869e-05	0.014168951416814362	0.007743868298496991	0.007933017904904072	0.000694048938156802	0.0035452507765821734	0.005074206121428421	0.0024082129360476767	0.021533081887112848	0.002549134953316138	0.0005706565236800383	0.00013943225947464185	0.004122078013157025	0.001337304428838446	0.0019122629052411408	0.000595995874704373	0.0006119306850714222	0.0022883999889562134	0.09126611300223313	0.0053657522113992355	0.031409808630822225	0.03469569249368614	0.05194045368708094	0.019548846622257084	0.003936674139452309	7.801385147067598e-05	0.00447904299367628	0.023306925259261528	0.010039191422595893	0.005716167610536036
Acetobacter	0.005250804856105126	7.017666311104907e-06	1.844320874945823e-05	0.0001627688743118621	2.998466037912377e-05	3.1069874394854445e-05	3.443392671256412e-05	7.830097328109788e-05	3.7458843160249356e-05	3.4234909679749535e-05	3.3610715095972595e-05	2.6444278299584823e-05	3.2961133905536844e-05	2.688211717229645e-05	9.681998451314418e-05	0.0006307486012257769	2.850315357565433e-05	3.0414563792406722e-05	1.9814097147352778e-05	9.218208883370392e-05	4.45413400993976e-05	5.205691240259578e-05	1.170090711648074e-06	2.808401786143536e-05	3.1226092522912145e-05	0.00028220782001328896	8.422398730025741e-05	7.470361607122371e-07	0.0003738387091726109	1.391407874884604e-05	1.4771239657824234e-05	0.0004576079449252875	1.490819773588798e-05	1.0125413723531863e-05	1.4631057923028222e-05	7.916023873255253e-05	1.8051241102463624e-05	1.8979361433852457e-05	7.62869873363601e-05	3.562885281507129e-05	6.932610205750057e-05	2.7421872592087634e-05	5.529856534784526e-05	5.950760786914324e-06	8.210077829485304e-06	3.1172597476796105e-05	1.9366296795713288e-05	0.00010779510381009228	4.7643247363740315e-05	2.8200741535219514e-05	9.697894425488652e-06	1.174767671730107e-05	0.00014823275855105103	5.2546536526411205e-05	8.05336249157056e-05	3.639881125976106e-06	3.747774758737e-05	2.107824703522236e-05	9.41388165032904e-05	3.208844616469352e-05	7.035849227001699e-05	7.757598630928902e-05	3.1403662043838256e-06	8.852140231351028e-06	1.4238760954412756e-06	0.000301521866922373	0.00019953309627388215	1.8923252727372936e-05	0.0001762758228151886	1.717785389008277e-05	5.203605725813312e-05	1.7303750237669068e-05	3.236840422957938e-05	4.099189199009114e-05	3.2012258384798405e-05	4.7626790780661745e-05	1.5023057034452783e-05	3.441092111992945e-06	1.5166830927190505e-05	0.00010130660401843948	2.2924079323771946e-05
Acetobacterium	0.1117404778812759	0.00041195597912756373	0.00018878673400487105	0.0015298745839077367	0.00026834373276000636	0.0002442570125503173	0.0002706554798945599	0.0006783184314981035	0.0005627339847482914	0.0032266402373163938	0.0019606250472650683	0.0019145657488899414	0.0030530250280003503	0.0010362792619751926	0.00025789717847895805	0.00038300490326908794	0.0019813006055262976	0.001075878283277999	0.006007750808589994	0.001725772993423792	0.0013458130309606617	0.002770483439440246	1.0311424396398651e-05	0.00045600829002127245	0.0036803419604087844	0.00044303168101560814	0.0045154640311761045	1.8782623469336248e-05	0.000679575017837033	0.0018115525571051941	0.0021418297503845137	0.00025877906652945523	8.541994378400681e-05	0.00014838968387934626	8.305711669436222e-05	0.0009922643878336236	0.0003514682826420858	0.000369289010141192	0.001627599396485167	0.0005308699069445622	1.2665748833251768e-05	0.000316371356516978	0.0014777554114830433	0.0003080113783306854	0.001001629495197207	0.00032764746272653973	0.00021113060820424683	0.0004336584636038195	0.0011434379367297675	0.0001457256923052506	0.008530106305086061	2.475275002513895e-05	0.0005958929966820635	0.00011006369137288834	0.0034286051181093985	0.0001125666940811129	0.0005992835984403491	0.0011307410347952981	0.001063928960237917	0.00522967336315783	0.002232474005066957	0.0003823297796804147	3.328788176646855e-05	0.00024490921306737843	1.865277685028071e-05	0.00011295377072660767	0.003790942871052527	0.00034534936227455606	0.0019241674153079623	0.0043176009900052935	0.0021894215490725773	0.0020743900582538993	0.0041391096908574634	0.0028759538766684398	0.007594578278511103	0.00202982538916686	1.2301232583504867e-05	0.000694513103091259	0.0007235140086748656	0.00046718252101065477	0.00023537540601450353
