genus	sum_abundance	ALB.17	AUS.18	AUS.18a	AUT.70	BGR.66	BRA.53	BRA.53a	BWA.19	CAN.22	CAN.22a	CAN.22b	CAN.22c	CHE.67	CHN.64	CIV.13	COL.2	CZE.23	DEU.27	DNK.71_RA	DNK.71_RD	DNK.71_RL	ECU.14	ECU.14a	ESP.75	ETH.24	FIN.25	GEO.59	GHA.4	HRV.68	HUN.61	IND.11	IRL.69	IRN.12	ISL.28	ISR.29	ITA.30	KAZ.6	KEN.72	KHM.21	LKA.40	LUX.32	LVA.31	MDA.65	MKD.62	MLT.63	MYS.54	NGA.50	NLD.43	NOR.34	NPL.33	NZL.56	PAK.7	PER.35	POL.36	SEN.8	SGP.52	SRB.37	SVK.9	SVN.38	SWE.41	SWE.41a	TCD.1	TGO.44	TUR.46	TZA.15	USA.74	USA.74a	USA.74b	USA.74c	USA.74d	USA.74e	USA.74f	USA.74g	USA.74h	USA.74i	VNM.48	XK.60	ZAF.39	ZMB.49	ZMB.49b
Absicoccus	9.747417129409051e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.747417129409051e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abyssicoccus	3.405097717206895e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.405097717206895e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetivibrio	0.0002892397399735467	0	0	0	0	0	0	0	0	0	0	0.0001773625955998706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001118771443736762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetoanaerobium	0.5599369750536005	0.004035308644694831	0.003303265028186428	0.009297256095566387	0.0008223897465257086	0.001024868541746391	0.004640921309789243	0.002798532265167067	0.0256079485939438	0.005922582702419176	0.004159883003290532	0.004738911560258904	0.0007099649039788635	0.001781687727303481	0.00105498302958729	0.004334602424124857	0.005630961554870233	0.002739474847656989	0.01468577200317931	0.001362389569010194	0.0007881000630997968	0.002202424599612119	0.000262453709426021	0.004950733665429614	0.008400111734183133	0.003942141196298193	0.003084460043320757	6.532625206772604e-05	0.002806887571768964	0.008497369779490359	0.007344274058165182	0.0009057906283721496	0.0001915362457857306	0.007179826659962633	0.0001872899319268987	0.01161382490147024	0.002090442382770578	0.001530415539662814	0.008419600664742517	0.009158756306896691	4.770157569468718e-05	0.000617308715491607	0.006267607521016781	0.002461318925076911	0.003475861659356109	0.0003723558256612894	0.004562218004023762	0.001719720628172035	0.003696735815237124	0.000206858561315849	0.000584845027764543	9.703628206479945e-05	0.01492417401252679	0.006870688069909623	0.005142235179016011	0.0008780476949658494	0.004806488521525423	0.00483855457399354	0.001832590054648601	0.01623833773383435	0.002040825793672193	0.0005987299704502938	0	0.005749029437379812	0.001800169205987075	0.001639400529527801	0.0006708737255222242	0.0007033495845429029	0.003260261635797848	0.0882534951711636	0.004908539098599313	0.03169952319106559	0.04017589419467979	0.0524446188552807	0.01608265599028069	0.003722953774978607	0.0001234853512077618	0.00474984918108339	0.02296760096013489	0.009723794296886421	0.006707771238312455
Acetobacter	0.0002113519278288714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001074893386383327	0	0	0	0	0	0	0	0	0	2.481187173626965e-06	0	0	0	0	0	7.695009142130264e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.443131059560913e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacterium	0.005983690066062404	7.208093624447308e-05	0	0	0	0	0	0	0	0	0	0	3.312433455577902e-06	0	0	0	0.0006502485746581417	9.824659018672202e-05	8.359455500894909e-05	8.651923596593103e-07	1.237250920529071e-05	1.617313477840749e-05	0	0	0	2.000457158736741e-05	7.075985749605324e-05	0	0	9.133093910865425e-05	0	0	0	0	0	0	2.745270027585927e-05	8.883462232370323e-06	3.10509379276604e-05	1.503042419255254e-05	0	0	9.779325383691201e-05	0	0.0001321502355149371	0	0	0	0	0	0.002734345453141827	0	0	0	0.0003381070080244919	0	2.379786366577873e-05	0.0001190777555805357	4.388009240098153e-05	0.000591837502819156	2.957298351393149e-05	2.382149595310849e-05	0	0	0	0	7.540037306412824e-05	0	0.0001518615742066027	6.508623811760038e-05	5.462042892139125e-05	0	0	0	0.0001256806745271584	6.604795771165751e-05	0	7.312808551789521e-05	0	3.607427082657205e-05	0
Acetobacteroides	0.01301560448813726	0	0	7.707964265972823e-05	0	0	6.62010418022076e-05	0.001681982710079892	0.001800941167796504	0	0	0	0	0	0.0001342957399868335	0.0001077422547292464	0	0	0	0	0	0	0	0.004081473577633244	0	3.48916946291292e-05	0	0	5.059706093541473e-05	0	0	0.001392630759006096	0	2.857745229832152e-05	0	0	4.844594166328106e-06	0	1.817615878692316e-05	2.378728002647446e-05	0	0	0	0	0	0	0.0003680342342162834	1.811125887823107e-05	0	0	0	0	0.0001040864370909073	4.842212735019492e-05	0	3.528721728501422e-05	0.000285234394508405	0	0	0	0	0	0	0	0	0.0001607699414315938	0.0002836629122045056	0	0	0.0003169366903751229	0	0.0001441827298149767	0.0002948773329111328	3.757254717272789e-05	0.0001396026191648213	0	7.102690702172003e-06	0	1.22335188448296e-05	0.0006677550765327088	0.0005885116251172897
Acetomicrobium	0.009354214071631931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00290070625680005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009453420577049414	0	0	0	0	0.005331427519762245	0	0	0	0	0	0	0	0	0	0	0	0	0.0001767382373646945	0	0	0	0	0	0	0	0
Acholeplasma	0.000131615830052309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000131615830052309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0.003191554809595446	0	0	0	0	0	0	0	0.0001978502483139963	0	0	0	0.0001041050514610198	0	0	0	0	0	0	0	0	0	1.272711303900757e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.311166245459432e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.613495824081035e-05	0	0	0	0	2.884815548662924e-05	0	0	0	0.001847997393033197	0	0	0	0	0	0	0	0	0	0	0	0.0008131566183886634	0	0	0.0001444241053866635	0
